round,run_id,agent_id,case,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,notes,shard_csv,shared_structure,inputs_or_fields,outputs_or_groups,expected_benefit,status,descriptor_bits,output_grouping,expected_verilog_path,expected_aig_path,structure_family,evidence_path
round89,frontend_best_mutation_round89_20260613_2357,sub-fp16-unknown-triage-r89,ex223,ex223_r89_triage_blocker,source_mutation_screen,,16,mutate r86 truthroot source only if multi-bit roots or interval correction can beat dense-residual evidence,,,,blocked before generation; r87 ADP 204440 and r88 dense residual screen make current-best mutation implausible without a new formula,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp16-unknown-triage-r89/shared_structure_report.csv,,,,,,,,,,,
round89,frontend_best_mutation_round89_20260613_2357,sub-fp16-unknown-triage-r89,ex225,ex225_r89_triage_blocker,source_mutation_screen,,16,mutate r79 log10 source only if root or low-bit residual regroup avoids dense nested replay,,,,blocked before generation; r87 ADP 220514 and r88 dense residual screen make current-best mutation implausible without a new formula,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp16-unknown-triage-r89/shared_structure_report.csv,,,,,,,,,,,
round89,frontend_best_mutation_round89_20260613_2357,sub-fp16-unknown-triage-r89,ex285,ex285_r89_triage_blocker,source_mutation_screen,,12,mutate current decision-tree source only if nonlinear routing state replaces tree body,,,,blocked before generation; r87 route DAGs and r88 spectral descriptors remain far above compactness gate,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp16-unknown-triage-r89/shared_structure_report.csv,,,,,,,,,,,
round89,frontend_best_mutation_round89_20260613_2357,sub-fp16-unknown-triage-r89,ex288,ex288_r89_triage_blocker,source_mutation_screen,,15,mutate keyBDD symcof source only if smaller route descriptor replaces keyBDD residual body,,,,blocked before generation; r87 route DAGs and r88 descriptors remain table-sized or area-heavy,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp16-unknown-triage-r89/shared_structure_report.csv,,,,,,,,,,,
round89,frontend_best_mutation_round89_20260613_2357,sub-fp16-unknown-triage-r89,ex297,ex297_r89_triage_blocker,source_mutation_screen,,14,mutate r73 pairsel source only if cyclic descriptor becomes compact rather than table-sized,,,,blocked before generation; r87 tile screen and r88 spectral descriptor fail compactness gates,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp16-unknown-triage-r89/shared_structure_report.csv,,,,,,,,,,,
round89,frontend_best_mutation_round89_20260613_2357,sub-fp16-unknown-triage-r89,ex299,ex299_r89_triage_blocker,source_mutation_screen,,16,mutate r78 pair89 source only if sel2 or cyclic descriptor body is reduced rather than output-cluster grafted,,,,blocked before generation; r87 tile screen and r88 spectral descriptor fail compactness gates,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp16-unknown-triage-r89/shared_structure_report.csv,,,,,,,,,,,
,,sub-fp8-arith-mutate-r89,ex240,ex240_r89_cancel_packed_select,,,,,,,,Mutates current r64 source by replacing separate sign/magnitude selectors with packed same/diff output branches; not a max-eff or LZD DAG replay.,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp8-arith-mutate-r89/shared_structure_report.csv,same-sign GRS and diff cancellation normalizer from current r64 source,same_sign;neg_zero;diff_sign;same_mag;diff_mag;nan,cancellation-selected packed output grouping,source-level output grouping may expose different sharing to Yosys,evaluated,,,,,,
,,sub-fp8-arith-mutate-r89,ex241,ex241_r89_product_round_field_stage,,,,,,,,Mutates current nested product source around product rounding/output grouping; not a product exception or round-bucket DAG replay.,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp8-arith-mutate-r89/shared_structure_report.csv,current nested exponent-sum/product table plus explicit rounded field staging,sign;exp_sum;sig_product;rounded_mag;rounded_exp;rounded_frac;nan,staged product-round field output grouping,source-level output grouping may expose different sharing to Yosys,evaluated,,,,,,
,,sub-fp8-arith-mutate-r89,ex245,ex245_r89_active_branch_packed,,,,,,,,Mutates current active-table source around output grouping; not a max-eff active or active-LZD DAG replay.,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp8-arith-mutate-r89/shared_structure_report.csv,current active same/diff class tables with explicit pass-through branch,same_sign;gap;maxc;same_mag_tbl;diff_mag_tbl;diff_sign;nan,active same/diff/pass packed branch output grouping,source-level output grouping may expose different sharing to Yosys,evaluated,,,,,,
89,frontend_best_mutation_round89_20260613_2357,sub-fp8-top-mutate-r89,ex247,ex247_r89_region_mux_ladder,region_mux_ladder,4,8,expose shared decode/mux boundary without r87 guarded or r88 descriptor replay,367,24,8808,official evaluate.py OK; nonwinning,student/frontend_campaigns/campaigns/frontend_best_mutation_round89_20260613_2357/agent_shards/sub-fp8-top-mutate-r89/shared_structure_report.csv,"denominator/numerator sig decode, exponent delta, bound_attr, low/linear magnitude mux",,,,,,full_word,student/work/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex247/verilog/ex247_r89_region_mux_ladder.v,student/work/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex247/aigs/ex247_r89_region_mux_ladder.aig,current_best_source_boundary_mutation,student/runs/float_fp8/frontend_best_mutation_round89_20260613_2357/sub-fp8-top-mutate-r89/ex247/logs/ex247_r89_region_mux_ladder.evaluate.py.log
