case,candidate_id,hypothesis,function_guess,variant,method_signature,verilog_path,aig_path,metadata_path,verified_truth,equivalent,official_status,area,delay,adp,reference_adp,ratio_to_reference,within_1p5_reference,beats_reference,classification,selection_reason,source_kind,source_csv,source_run,source_verilog_path,source_aig_path,source_evaluate_log,aig_sha256,verilog_sha256,notes
ex220,ex220_fp16_exp_positive_default_exp_mant_case,fp16_exp,fp16_exp,positive_default_exp_mant_case,fp16_exp,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/verilog/ex220_fp16_exp_positive_default_exp_mant_case.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/aigs/ex220_fp16_exp_positive_default_exp_mant_case.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex220/metadata/ex220_fp16_exp_positive_default_exp_mant_case.json,1,1,OK,10794,22,237468,180404,1.316312,1,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/fp16/ex220_ex224_frontend_fp16_semantic_20260606_2050/results/candidates.csv,ex220_ex224_frontend_fp16_semantic_20260606_2050,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/verilog/ex220_fp16_exp_positive_default_exp_mant_case.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/aigs/ex220_fp16_exp_positive_default_exp_mant_case.aig,,064d661b14f51988996fdabaf42ffdf36cad02487889a043f75e2361b86536ad,37b37f27c17b088ca7dcb25a7f0626ebae0bea67602d7d0c8669db6bcdbe38b6,structural_exact FP16 curated frontend candidate
ex221,ex221_varying_signexp_wordmode_mh5_abc_g_aig,,,active_signexp_wordmode_mh5,ex221|fp16_exp2_field_shell|active_signexp_wordmode_mh5|shared sign-exp decode plus per mant_hi mode default residuals|yosys_abc_g_aig|abc_xf_official_evaluate|wordmode_mant_hi5,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/verilog/ex221_varying_signexp_wordmode_mh5_abc_g_aig.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/aigs/ex221_varying_signexp_wordmode_mh5_abc_g_aig.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex221/metadata/ex221_varying_signexp_wordmode_mh5_abc_g_aig.json,1,1,OK,7042,18,126756,105655,1.199716,1,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp16-extra-r2/candidates.csv,ex204_ex299_frontend_continuation_20260614_1216,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/verilog/ex221_varying_signexp_wordmode_mh5.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/aigs/ex221_varying_signexp_wordmode_mh5_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/official_eval/ex221_varying_signexp_wordmode_mh5_abc_g_aig/ex221_varying_signexp_wordmode_mh5_abc_g_aig.evaluate.py.log,e2223dfcf73ca9428b26a09bb2ba83ec92fafc755585c64e25648937bfa0e25d,564c23cb8c4f03d377a60d7845d45a46c7d14540cf7004e0a6233890d7e4ea1e,truth-derived word-mode defaults by sign_exp and mant_hi; active_groups=31; mant_hi=5; buckets=992; const_buckets=367; overrides=14874; special_const_groups=33; special_full_groups=0; special_items=33; truth-derived source exact by construction; official_status=OK
ex222,ex222_fp16_exp10_sign_exp_default_expr_case,fp16_exp10,fp16_exp10,sign_exp_default_expr_case,fp16_exp10,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex222/verilog/ex222_fp16_exp10_sign_exp_default_expr_case.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex222/aigs/ex222_fp16_exp10_sign_exp_default_expr_case.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex222/metadata/ex222_fp16_exp10_sign_exp_default_expr_case.json,1,1,OK,10629,22,233838,173621,1.346830,1,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/fp16/ex220_ex239_semantic_20260604/results/candidates.csv,ex220_ex239_semantic_20260604,student/work/reverse_fp16_semantic_20260604_1522/ex222/verilog/ex222_fp16_exp10_sign_exp_default_expr_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex222/aigs/ex222_fp16_exp10_sign_exp_default_expr_case.aig,,513e4d16cba3bcbfca74c74cf4c5580665c8ff47812f3d99cd1a128e3a2b1707,52d5210821f3406591bd9125e7b70c2aff04a2dcf7def59b95e8fa5df93f7904,semantic_hybrid FP16 frontend candidate
ex223,ex223_nested_low15_hi5_synth_preset_aig,fp16_log,,truth-derived positive-normal nested mantissa LUT,ex223|fp16_log|truth-derived_positive-normal_nested_mantissa_LUT|shared_special_decode_plus_per-exp_high-bit_run_trees_and_nested_low_LUT|synth_preset_aig|abc_xf_official_evaluate|positive-normal_exp-group_high-bit_run_trees_plus_nested_low_LUT,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex223/verilog/ex223_nested_low15_hi5_synth_preset_aig.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex223/aigs/ex223_nested_low15_hi5_synth_preset_aig.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex223/metadata/ex223_nested_low15_hi5_synth_preset_aig.json,1,1,OK,10581,19,201039,120549,1.667695,0,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/fp16-agent/candidates.csv,ex223_ex299_frontend_parallel_deep_20260614_0943,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex223/verilog/ex223_nested_low15_hi5.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex223/aigs/ex223_nested_low15_hi5_synth_preset_aig.aig,student/runs/fp16/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex223/official_eval/ex223_nested_low15_hi5_synth_preset_aig/ex223_nested_low15_hi5_synth_preset_aig.evaluate.py.log,0be52a44569a7727cee5defe05695c32d71ec1b7d0f96575d946fdb6d57e02f2,1831df2de199c8ff78a6a323d5a67d57aac936d534f40525c4112e778c5fb719,official evaluate.py OK
ex224,ex224_cofactor_bdd_bits15_12_11_synth_preset_aig,fp16_log2,,cofactor_bdd_bits15_12_11,ex224|fp16_log2|grouped_cofactor_bdd|cofactor_bdd_bits15_12_11|group_selected_bits_by_sign-exp_cofactor_before_reduced_mantissa_decision_tree|synth_preset_aig|abc_xf_official_evaluate,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex224/verilog/ex224_cofactor_bdd_bits15_12_11_synth_preset_aig.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex224/aigs/ex224_cofactor_bdd_bits15_12_11_synth_preset_aig.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex224/metadata/ex224_cofactor_bdd_bits15_12_11_synth_preset_aig.json,1,1,OK,5844,16,93504,64708,1.445015,1,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/fp16-r2-agent/candidates.csv,ex223_ex299_frontend_parallel_deep_20260614_0943,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-r2-agent/ex224/verilog/ex224_r2_cofactor_bdd_bits15_12_11.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-r2-agent/ex224/aigs/ex224_cofactor_bdd_bits15_12_11_synth_preset_aig.aig,student/runs/fp16/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-r2-agent/ex224/official_eval/ex224_cofactor_bdd_bits15_12_11_synth_preset_aig/ex224_cofactor_bdd_bits15_12_11_synth_preset_aig.evaluate.py.log,4639890066ae0524d1ea696d3b011560b66da521921d270ea0bb8093584aabc7,73b1847167963412231bf5f8353d3ae52233e07d82bfab9e615322a88dd81df0,"grouped sign-exp cofactor reduced mantissa decision tree over selected bits 15,12,11; const_groups=59"
ex225,ex225_nested_low14_hi5_synth_preset_aig,fp16_log10,,truth-derived positive-normal nested mantissa LUT,ex225|fp16_log10|truth-derived_positive-normal_nested_mantissa_LUT|shared_special_decode_plus_per-exp_high-bit_run_trees_and_nested_low_LUT|synth_preset_aig|abc_xf_official_evaluate|positive-normal_exp-group_high-bit_run_trees_plus_nested_low_LUT,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex225/verilog/ex225_nested_low14_hi5_synth_preset_aig.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex225/aigs/ex225_nested_low14_hi5_synth_preset_aig.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex225/metadata/ex225_nested_low14_hi5_synth_preset_aig.json,1,1,OK,11364,19,215916,116676,1.850561,0,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/agent_shards/fp16-agent/candidates.csv,ex223_ex299_frontend_parallel_deep_20260614_0943,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex225/verilog/ex225_nested_low14_hi5.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex225/aigs/ex225_nested_low14_hi5_synth_preset_aig.aig,student/runs/fp16/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex225/official_eval/ex225_nested_low14_hi5_synth_preset_aig/ex225_nested_low14_hi5_synth_preset_aig.evaluate.py.log,fd5c12e2da568244f8f760fd00c9d247fdbfe2516f1f1e72d4be6d7ab463e670,fd5ee55a87786c19fc88583d684fa4b09082b9f1e48668c50129f3d589d9dd11,official evaluate.py OK
ex226,ex226_fp16_sin_positive_default_exp_mant_case,fp16_sin,fp16_sin,positive_default_exp_mant_case,fp16_sin,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex226/verilog/ex226_fp16_sin_positive_default_exp_mant_case.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex226/aigs/ex226_fp16_sin_positive_default_exp_mant_case.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex226/metadata/ex226_fp16_sin_positive_default_exp_mant_case.json,1,1,OK,33460,23,769580,587790,1.309277,1,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/fp16/ex220_ex239_semantic_20260604/results/best.csv,ex220_ex239_semantic_20260604,student/work/reverse_fp16_semantic_20260604_1522/ex226/verilog/ex226_fp16_sin_positive_default_exp_mant_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex226/aigs/ex226_fp16_sin_positive_default_exp_mant_case.aig,,b817924d564d2f74cf64d0521798b21c8bb2b4c83f39e14acf26168c0afdeb7e,053ac96dfc8cf2b73f82dca22306b1fd6d794b034a3a96d699529e19c0c61035,structural_exact FP16 frontend candidate
ex227,ex227_fp16_tan_positive_default_exp_mant_case,fp16_tan,fp16_tan,positive_default_exp_mant_case,fp16_tan,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex227/verilog/ex227_fp16_tan_positive_default_exp_mant_case.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex227/aigs/ex227_fp16_tan_positive_default_exp_mant_case.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex227/metadata/ex227_fp16_tan_positive_default_exp_mant_case.json,1,1,OK,40817,23,938791,721639,1.300915,1,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/fp16/ex220_ex239_semantic_20260604/results/best.csv,ex220_ex239_semantic_20260604,student/work/reverse_fp16_semantic_20260604_1522/ex227/verilog/ex227_fp16_tan_positive_default_exp_mant_case.v,student/work/reverse_fp16_semantic_20260604_1522/ex227/aigs/ex227_fp16_tan_positive_default_exp_mant_case.aig,,0e60c1a78058c8a71fd440f6e113509ea6098368b9d3d3528774302dc78c0fd3,a57c7fc1814b44110c3717379cf9133b4aaaf736de79424d71df54856df53920,structural_exact FP16 frontend candidate
ex228,ex228_fp16_sinh_odd_sinh_saturation_shell,fp16_sinh,fp16_sinh,odd_sinh_saturation_shell,fp16_sinh,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex228/verilog/ex228_fp16_sinh_odd_sinh_saturation_shell.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex228/aigs/ex228_fp16_sinh_odd_sinh_saturation_shell.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex228/metadata/ex228_fp16_sinh_odd_sinh_saturation_shell.json,1,1,OK,6653,21,139713,101205,1.380495,1,0,frontend_verified,backend_start_diverse_noncurrent,student_runs,student/runs/fp16/ex226_ex229_frontend_fp16_shells_fix_20260607_1128/results/best.csv,ex226_ex229_frontend_fp16_shells_fix_20260607_1128,student/work/ex226_ex229_frontend_fp16_shells_fix_20260607_1128/ex228/verilog/ex228_fp16_sinh_odd_sinh_saturation_shell.v,student/work/ex226_ex229_frontend_fp16_shells_fix_20260607_1128/ex228/aigs/ex228_fp16_sinh_odd_sinh_saturation_shell.aig,,662a24cf3baca320f7267583acd370b25839c8e9be2de72f280a955da85a7317,e6dcd9ac86b4a8ae9a49d733b8babebba33df6d26d15c9924f9993f2a31f1f23,sinh positive table only below exp>=19 saturation
ex229,ex229_odd_nested_low10_hi6_abc_g_aig,,,positive_exp_nested_low10_hi6,"ex229|fp16_tanh_odd_transition_shell|positive_exp_nested_low10_hi6|shared positive exp decode, high output run trees, and sign xor symmetry|yosys_abc_g_aig|abc_xf_official_evaluate|odd_positive_low10_hi6",student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex229/verilog/ex229_odd_nested_low10_hi6_abc_g_aig.v,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex229/aigs/ex229_odd_nested_low10_hi6_abc_g_aig.aig,student/new_seeds/fp16/ex220_ex239_backend_candidates_20260614_2011/ex229/metadata/ex229_odd_nested_low10_hi6_abc_g_aig.json,1,1,OK,3919,17,66623,57968,1.149307,1,0,frontend_verified,backend_start_diverse_noncurrent,frontend_campaign_shard,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/agent_shards/fp16-extra-r2/candidates.csv,ex204_ex299_frontend_continuation_20260614_1216,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/verilog/ex229_odd_nested_low10_hi6.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/aigs/ex229_odd_nested_low10_hi6_abc_g_aig.aig,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/official_eval/ex229_odd_nested_low10_hi6_abc_g_aig/ex229_odd_nested_low10_hi6_abc_g_aig.evaluate.py.log,6434c1661331b02535616083eda891f6f7e2bd57cd06a0f48375ddaf45262618,b86ec5e8d471005d1c8b0035ec66787f2d54d88c9e1518016d64d4ca8ae1e51e,odd tanh positive-domain nested active exps 1..17; pos_special_const_exp=14; pos_special_full_exp=1; pos_special_items=1038; pos_low_width=10; nested_hi=6; pos_low_items=16088; pos_b15_runs=17; pos_b14_runs=17; pos_b13_runs=17; pos_b12_runs=18; pos_b11_runs=20; pos_b10_runs=23; python model exact; official_status=OK
