case,domain,agent_id,candidate_id,hypothesis,variant,method_signature,representation,shared_structure,synth_flow,semantics,output_grouping,verilog_path,aig_path,evaluate_log,verified_truth,equivalent,area,delay,adp,current_frontend_adp,reference_adp,beats_current_frontend,beats_reference,notes,sharing_strategy,simulation_pass,synthesized,current_overall_adp,beats_frontend,beats_overall,yosys_log,official_output_dir,runtime_sec
ex285,unknown,unknown-worst-r27,ex285_r27_image_class_shared_bdd_decode,hamming_weight_preserving_lossy_routing_normalizer,image_class_shared_bdd_decode,ex285|hamming_weight_preserving_lossy_routing_normalizer|image_class_shared_bdd_decode|shared_output_image_class_id_and_constant_decoder|yosys_abc_g_aig_60s|exact_output_image_class|class_id_decode,output_image_class_shared_bdd_decode,single shared class-id BDD plus constant image decoder,yosys_abc_g_aig_60s,exact conservative output image under official truth convention,class_id_decode,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/verilog/ex285_r27_image_class_shared_bdd_decode.v,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/aigs/ex285_r27_image_class_shared_bdd_decode.aig,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_image_class_shared_bdd_decode.evaluate.py.log,1,1,6529,35,228515,13175,5499,0,0,official evaluate.py OK; unique_outputs=903; class_width=10; bdd_nodes=2301; order=0:11:1:10:2:9:3:8:4:7:5:6,all output bits share class-id decision graph before decode,1,1,9132,0,0,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_image_class_shared_bdd_decode.yosys.log,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/eval_output/ex285_r27_image_class_shared_bdd_decode,2.972
ex285,unknown,unknown-worst-r27,ex285_r27_layer_image_class_shared_bdd_decode,hamming_weight_preserving_lossy_routing_normalizer,layer_image_class_shared_bdd_decode,ex285|hamming_weight_preserving_lossy_routing_normalizer|layer_image_class_shared_bdd_decode|shared_layer_local_class_id_plus_popcount_decoder|yosys_abc_g_aig_60s|exact_popcount_layer_image_class|layer_class_decode,popcount_layer_image_class_shared_bdd_decode,shared local class-id BDD plus arithmetic popcount layer decoder,yosys_abc_g_aig_60s,exact conservative output image under official truth convention,class_id_decode,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/verilog/ex285_r27_layer_image_class_shared_bdd_decode.v,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/aigs/ex285_r27_layer_image_class_shared_bdd_decode.aig,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_layer_image_class_shared_bdd_decode.evaluate.py.log,1,1,5883,38,223554,13175,5499,0,0,"official evaluate.py OK; max_layer_classes=164; class_width=8; pc_width=4; bdd_nodes=1944; layer_sizes=0:1,1:6,2:27,3:65,4:113,5:162,6:164,7:156,8:108,9:66,10:28,11:6,12:1; order=0:11:1:10:2:9:3:8:4:7:5:6",popcount layer selects smaller class namespace shared by all outputs,1,1,9132,0,0,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_layer_image_class_shared_bdd_decode.yosys.log,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/eval_output/ex285_r27_layer_image_class_shared_bdd_decode,2.867
ex286,unknown,unknown-worst-r27,ex286_r27_image_class_shared_bdd_decode,hamming_weight_preserving_lossy_routing_normalizer,image_class_shared_bdd_decode,ex286|hamming_weight_preserving_lossy_routing_normalizer|image_class_shared_bdd_decode|shared_output_image_class_id_and_constant_decoder|yosys_abc_g_aig_60s|exact_output_image_class|class_id_decode,output_image_class_shared_bdd_decode,single shared class-id BDD plus constant image decoder,yosys_abc_g_aig_60s,exact conservative output image under official truth convention,class_id_decode,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/verilog/ex286_r27_image_class_shared_bdd_decode.v,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/aigs/ex286_r27_image_class_shared_bdd_decode.aig,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/logs/ex286_r27_image_class_shared_bdd_decode.evaluate.py.log,1,1,17006,40,680240,20190,2376,0,0,official evaluate.py OK; unique_outputs=2233; class_width=12; bdd_nodes=6830; order=0:12:1:11:2:10:3:9:4:8:5:7:6,all output bits share class-id decision graph before decode,1,1,18536,0,0,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/logs/ex286_r27_image_class_shared_bdd_decode.yosys.log,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/eval_output/ex286_r27_image_class_shared_bdd_decode,10.607
ex286,unknown,unknown-worst-r27,ex286_r27_layer_image_class_shared_bdd_decode,hamming_weight_preserving_lossy_routing_normalizer,layer_image_class_shared_bdd_decode,ex286|hamming_weight_preserving_lossy_routing_normalizer|layer_image_class_shared_bdd_decode|shared_layer_local_class_id_plus_popcount_decoder|yosys_abc_g_aig_60s|exact_popcount_layer_image_class|layer_class_decode,popcount_layer_image_class_shared_bdd_decode,shared local class-id BDD plus arithmetic popcount layer decoder,yosys_abc_g_aig_60s,exact conservative output image under official truth convention,class_id_decode,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/verilog/ex286_r27_layer_image_class_shared_bdd_decode.v,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/aigs/ex286_r27_layer_image_class_shared_bdd_decode.aig,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/logs/ex286_r27_layer_image_class_shared_bdd_decode.evaluate.py.log,1,1,15299,41,627259,20190,2376,0,0,"official evaluate.py OK; max_layer_classes=417; class_width=9; pc_width=4; bdd_nodes=5957; layer_sizes=0:1,1:8,2:36,3:103,4:219,5:336,6:417,7:417,8:336,9:214,10:102,11:36,12:7,13:1; order=0:12:1:11:2:10:3:9:4:8:5:7:6",popcount layer selects smaller class namespace shared by all outputs,1,1,18536,0,0,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/logs/ex286_r27_layer_image_class_shared_bdd_decode.yosys.log,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/eval_output/ex286_r27_layer_image_class_shared_bdd_decode,10.349
ex287,unknown,unknown-worst-r27,ex287_r27_image_class_shared_bdd_decode,hamming_weight_preserving_lossy_routing_normalizer,image_class_shared_bdd_decode,ex287|hamming_weight_preserving_lossy_routing_normalizer|image_class_shared_bdd_decode|shared_output_image_class_id_and_constant_decoder|yosys_abc_g_aig_60s|exact_output_image_class|class_id_decode,output_image_class_shared_bdd_decode,single shared class-id BDD plus constant image decoder,yosys_abc_g_aig_60s,exact conservative output image under official truth convention,class_id_decode,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/verilog/ex287_r27_image_class_shared_bdd_decode.v,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/aigs/ex287_r27_image_class_shared_bdd_decode.aig,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/logs/ex287_r27_image_class_shared_bdd_decode.evaluate.py.log,1,1,24726,41,1013766,27390,5782,0,0,official evaluate.py OK; unique_outputs=2609; class_width=12; bdd_nodes=10043; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7,all output bits share class-id decision graph before decode,1,1,23408,0,0,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/logs/ex287_r27_image_class_shared_bdd_decode.yosys.log,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/eval_output/ex287_r27_image_class_shared_bdd_decode,15.878
ex287,unknown,unknown-worst-r27,ex287_r27_layer_image_class_shared_bdd_decode,hamming_weight_preserving_lossy_routing_normalizer,layer_image_class_shared_bdd_decode,ex287|hamming_weight_preserving_lossy_routing_normalizer|layer_image_class_shared_bdd_decode|shared_layer_local_class_id_plus_popcount_decoder|yosys_abc_g_aig_60s|exact_popcount_layer_image_class|layer_class_decode,popcount_layer_image_class_shared_bdd_decode,shared local class-id BDD plus arithmetic popcount layer decoder,yosys_abc_g_aig_60s,exact conservative output image under official truth convention,class_id_decode,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/verilog/ex287_r27_layer_image_class_shared_bdd_decode.v,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/aigs/ex287_r27_layer_image_class_shared_bdd_decode.aig,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/logs/ex287_r27_layer_image_class_shared_bdd_decode.evaluate.py.log,1,1,22277,44,980188,27390,5782,0,0,"official evaluate.py OK; max_layer_classes=445; class_width=9; pc_width=4; bdd_nodes=8782; layer_sizes=0:1,1:7,2:31,3:88,4:200,5:326,6:427,7:445,8:422,9:318,10:203,11:98,12:35,13:7,14:1; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7",popcount layer selects smaller class namespace shared by all outputs,1,1,23408,0,0,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/logs/ex287_r27_layer_image_class_shared_bdd_decode.yosys.log,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/eval_output/ex287_r27_layer_image_class_shared_bdd_decode,17.121
ex288,unknown,unknown-worst-r27,ex288_r27_image_class_shared_bdd_decode,hamming_weight_preserving_lossy_routing_normalizer,image_class_shared_bdd_decode,ex288|hamming_weight_preserving_lossy_routing_normalizer|image_class_shared_bdd_decode|shared_output_image_class_id_and_constant_decoder|yosys_abc_g_aig_60s|exact_output_image_class|class_id_decode,output_image_class_shared_bdd_decode,single shared class-id BDD plus constant image decoder,yosys_abc_g_aig_60s,exact conservative output image under official truth convention,class_id_decode,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/verilog/ex288_r27_image_class_shared_bdd_decode.v,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/aigs/ex288_r27_image_class_shared_bdd_decode.aig,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/logs/ex288_r27_image_class_shared_bdd_decode.evaluate.py.log,1,1,47862,45,2153790,31598,16394,0,0,official evaluate.py OK; unique_outputs=6734; class_width=13; bdd_nodes=22132; order=0:14:1:13:2:12:3:11:4:10:5:9:6:8:7,all output bits share class-id decision graph before decode,1,1,26224,0,0,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/logs/ex288_r27_image_class_shared_bdd_decode.yosys.log,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/eval_output/ex288_r27_image_class_shared_bdd_decode,39.466
ex288,unknown,unknown-worst-r27,ex288_r27_layer_image_class_shared_bdd_decode,hamming_weight_preserving_lossy_routing_normalizer,layer_image_class_shared_bdd_decode,ex288|hamming_weight_preserving_lossy_routing_normalizer|layer_image_class_shared_bdd_decode|shared_layer_local_class_id_plus_popcount_decoder|yosys_abc_g_aig_60s|exact_popcount_layer_image_class|layer_class_decode,popcount_layer_image_class_shared_bdd_decode,shared local class-id BDD plus arithmetic popcount layer decoder,yosys_abc_g_aig_60s,exact conservative output image under official truth convention,class_id_decode,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/verilog/ex288_r27_layer_image_class_shared_bdd_decode.v,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/aigs/ex288_r27_layer_image_class_shared_bdd_decode.aig,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/logs/ex288_r27_layer_image_class_shared_bdd_decode.evaluate.py.log,1,1,43285,46,1991110,31598,16394,0,0,"official evaluate.py OK; max_layer_classes=1173; class_width=11; pc_width=4; bdd_nodes=19737; layer_sizes=0:1,1:9,2:45,3:147,4:364,5:669,6:989,7:1173,8:1170,9:960,10:660,11:347,12:147,13:44,14:8,15:1; order=0:14:1:13:2:12:3:11:4:10:5:9:6:8:7",popcount layer selects smaller class namespace shared by all outputs,1,1,26224,0,0,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/logs/ex288_r27_layer_image_class_shared_bdd_decode.yosys.log,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/eval_output/ex288_r27_layer_image_class_shared_bdd_decode,51.202
ex285,unknown,unknown-worst-r27,ex285_r27_directed_move_shared_bdd,hamming_weight_preserving_lossy_routing_normalizer,directed_move_shared_bdd,ex285|hamming_weight_preserving_lossy_routing_normalizer|directed_move_shared_bdd|single_drop_fill_move_node_pool|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,directed_drop_fill_move_shared_bdd,single shared BDD for directed drop/fill movement masks,yosys_abc_g_aig_60s,exact conservative output image under official truth convention,class_id_decode,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/verilog/ex285_r27_directed_move_shared_bdd.v,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/aigs/ex285_r27_directed_move_shared_bdd.aig,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_directed_move_shared_bdd.evaluate.py.log,1,1,1942,17,33014,13175,5499,0,0,official evaluate.py OK; directed_move_width=24; bdd_nodes=1298; order=0:11:1:10:2:9:3:8:4:7:5:6,all outputs share one directed movement node pool before in-gated reconstruction,1,1,9132,0,0,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_directed_move_shared_bdd.yosys.log,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/eval_output/ex285_r27_directed_move_shared_bdd,1.256
ex285,unknown,unknown-worst-r27,ex285_r27_directed_move_split_bdd,hamming_weight_preserving_lossy_routing_normalizer,directed_move_split_bdd,ex285|hamming_weight_preserving_lossy_routing_normalizer|directed_move_split_bdd|separate_drop_and_fill_move_node_pools|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,directed_drop_fill_move_split_bdd,separate shared BDD pools for drop and fill movement masks,yosys_abc_g_aig_60s,exact conservative output image under official truth convention,class_id_decode,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/verilog/ex285_r27_directed_move_split_bdd.v,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/aigs/ex285_r27_directed_move_split_bdd.aig,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_directed_move_split_bdd.evaluate.py.log,1,1,1978,16,31648,13175,5499,0,0,official evaluate.py OK; drop_nodes=723; fill_nodes=714; total_nodes=1437; order=0:11:1:10:2:9:3:8:4:7:5:6,drop and fill directions share within direction but remain separated for synthesis,1,1,9132,0,0,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_directed_move_split_bdd.yosys.log,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/eval_output/ex285_r27_directed_move_split_bdd,1.218
