case,domain,agent_id,status,best_candidate_id,best_area,best_delay,best_adp,current_frontend_adp,reference_adp,beats_current_frontend,beats_reference,evidence_path,next_action,notes,evaluated_candidates,equivalent_candidates,best_candidate,beat_current_frontend,beat_reference,outcome
ex285,unknown,unknown-worst-r27,tested_no_frontend_best,ex285_r27_directed_move_split_bdd,1978,16,31648,13175,5499,0,0,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_directed_move_split_bdd.evaluate.py.log,Extend only if a smaller nonlinear state replaces class decoding; direct image-class decode is table-scale.,official evaluate.py OK; drop_nodes=723; fill_nodes=714; total_nodes=1437; order=0:11:1:10:2:9:3:8:4:7:5:6,4,4,ex285_r27_directed_move_split_bdd,0,0,tested_no_frontend_best
ex286,unknown,unknown-worst-r27,tested_no_frontend_best,ex286_r27_directed_move_shared_bdd,3256,19,61864,20190,2376,0,0,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/logs/ex286_r27_directed_move_shared_bdd.evaluate.py.log,Extend only if a smaller nonlinear state replaces class decoding; direct image-class decode is table-scale.,official evaluate.py OK; directed_move_width=26; bdd_nodes=2155; order=0:12:1:11:2:10:3:9:4:8:5:7:6,4,4,ex286_r27_directed_move_shared_bdd,0,0,tested_no_frontend_best
ex287,unknown,unknown-worst-r27,tested_no_frontend_best,ex287_r27_directed_move_shared_bdd,4578,20,91560,27390,5782,0,0,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/logs/ex287_r27_directed_move_shared_bdd.evaluate.py.log,Extend only if a smaller nonlinear state replaces class decoding; direct image-class decode is table-scale.,official evaluate.py OK; directed_move_width=28; bdd_nodes=3171; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7,4,4,ex287_r27_directed_move_shared_bdd,0,0,tested_no_frontend_best
ex288,unknown,unknown-worst-r27,tested_no_frontend_best,ex288_r27_directed_move_split_bdd,6660,21,139860,31598,16394,0,0,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/logs/ex288_r27_directed_move_split_bdd.evaluate.py.log,Extend only if a smaller nonlinear state replaces class decoding; direct image-class decode is table-scale.,official evaluate.py OK; drop_nodes=2511; fill_nodes=2505; total_nodes=5016; order=0:14:1:13:2:12:3:11:4:10:5:9:6:8:7,4,4,ex288_r27_directed_move_split_bdd,0,0,tested_no_frontend_best
ex247,float_fp8,fp8-a-r27,,ex247_r27_delta_pair_flatmag_synth_preset_aig,672,20,13440,8349,2975,0,0,,avoid direct delta magnitude table if nonwinning; try a compact predicate/residual boundary structure,worker partial outcome,,,ex247_r27_delta_pair_flatmag_synth_preset_aig,0,0,
ex246,float_fp8,fp8-a-r27,,ex246_r27_product_exp_nested_mag_synth_preset_aig,454,24,10896,7502,2805,0,0,,avoid direct delta magnitude table if nonwinning; try a compact predicate/residual boundary structure,worker partial outcome,,,ex246_r27_product_exp_nested_mag_synth_preset_aig,0,0,
ex244,float_fp8,fp8-a-r27,,ex244_r27_maxeff_gap_sig_direct_delta_synth_preset_aig,485,37,17945,10234,4272,0,0,,avoid direct delta magnitude table if nonwinning; try a compact predicate/residual boundary structure,worker partial outcome,,,ex244_r27_maxeff_gap_sig_direct_delta_synth_preset_aig,0,0,
ex240,float_fp8,fp8-a-r27,,ex240_r27_field_override_gap_outer_synth_preset_aig,2913,41,119433,30090,13299,0,0,,avoid direct delta magnitude table if nonwinning; try a compact predicate/residual boundary structure,worker partial outcome,,,ex240_r27_field_override_gap_outer_synth_preset_aig,0,0,
ex249,float_fp8,fp8-b-r27,completed_no_frontend_improvement,ex249_r27b_hypot_split_bits_delta_synth_preset_aig,171,30,5130,4368,2079,0,0,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex249/logs/ex249_r27b_hypot_split_bits_delta_synth_preset_aig.evaluate.py.log,need new semantic coordinates or lower-delay source factoring; this shard avoided r26 replay signatures,,,,ex249_r27b_hypot_split_bits_delta_synth_preset_aig,0,0,
ex248,float_fp8,fp8-b-r27,completed_no_frontend_improvement,ex248_r27b_fmod_norm_by_eff_synth_preset_aig,301,30,9030,7938,4180,0,0,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/fp8-b-r27/ex248/logs/ex248_r27b_fmod_norm_by_eff_synth_preset_aig.evaluate.py.log,need new semantic coordinates or lower-delay source factoring; this shard avoided r26 replay signatures,,,,ex248_r27b_fmod_norm_by_eff_synth_preset_aig,0,0,
