case,domain,agent_id,candidate_id,simulation_status,sim_log,notes,log_path,method_signature,simulation_type,rows_checked
ex285,unknown,unknown-worst-r27,ex285_r27_image_class_shared_bdd_decode,python_exact,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_image_class_shared_bdd_decode.evaluate.py.log,Python reconstruction check before synthesis; official evaluate.py remains authority.,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_image_class_shared_bdd_decode.evaluate.py.log,ex285|hamming_weight_preserving_lossy_routing_normalizer|image_class_shared_bdd_decode|shared_output_image_class_id_and_constant_decoder|yosys_abc_g_aig_60s|exact_output_image_class|class_id_decode,truth_model_reconstruction,
ex285,unknown,unknown-worst-r27,ex285_r27_layer_image_class_shared_bdd_decode,python_exact,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_layer_image_class_shared_bdd_decode.evaluate.py.log,Python reconstruction check before synthesis; official evaluate.py remains authority.,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_layer_image_class_shared_bdd_decode.evaluate.py.log,ex285|hamming_weight_preserving_lossy_routing_normalizer|layer_image_class_shared_bdd_decode|shared_layer_local_class_id_plus_popcount_decoder|yosys_abc_g_aig_60s|exact_popcount_layer_image_class|layer_class_decode,truth_model_reconstruction,
ex286,unknown,unknown-worst-r27,ex286_r27_image_class_shared_bdd_decode,python_exact,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/logs/ex286_r27_image_class_shared_bdd_decode.evaluate.py.log,Python reconstruction check before synthesis; official evaluate.py remains authority.,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/logs/ex286_r27_image_class_shared_bdd_decode.evaluate.py.log,ex286|hamming_weight_preserving_lossy_routing_normalizer|image_class_shared_bdd_decode|shared_output_image_class_id_and_constant_decoder|yosys_abc_g_aig_60s|exact_output_image_class|class_id_decode,truth_model_reconstruction,
ex286,unknown,unknown-worst-r27,ex286_r27_layer_image_class_shared_bdd_decode,python_exact,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/logs/ex286_r27_layer_image_class_shared_bdd_decode.evaluate.py.log,Python reconstruction check before synthesis; official evaluate.py remains authority.,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/logs/ex286_r27_layer_image_class_shared_bdd_decode.evaluate.py.log,ex286|hamming_weight_preserving_lossy_routing_normalizer|layer_image_class_shared_bdd_decode|shared_layer_local_class_id_plus_popcount_decoder|yosys_abc_g_aig_60s|exact_popcount_layer_image_class|layer_class_decode,truth_model_reconstruction,
ex287,unknown,unknown-worst-r27,ex287_r27_image_class_shared_bdd_decode,python_exact,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/logs/ex287_r27_image_class_shared_bdd_decode.evaluate.py.log,Python reconstruction check before synthesis; official evaluate.py remains authority.,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/logs/ex287_r27_image_class_shared_bdd_decode.evaluate.py.log,ex287|hamming_weight_preserving_lossy_routing_normalizer|image_class_shared_bdd_decode|shared_output_image_class_id_and_constant_decoder|yosys_abc_g_aig_60s|exact_output_image_class|class_id_decode,truth_model_reconstruction,
ex287,unknown,unknown-worst-r27,ex287_r27_layer_image_class_shared_bdd_decode,python_exact,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/logs/ex287_r27_layer_image_class_shared_bdd_decode.evaluate.py.log,Python reconstruction check before synthesis; official evaluate.py remains authority.,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/logs/ex287_r27_layer_image_class_shared_bdd_decode.evaluate.py.log,ex287|hamming_weight_preserving_lossy_routing_normalizer|layer_image_class_shared_bdd_decode|shared_layer_local_class_id_plus_popcount_decoder|yosys_abc_g_aig_60s|exact_popcount_layer_image_class|layer_class_decode,truth_model_reconstruction,
ex288,unknown,unknown-worst-r27,ex288_r27_image_class_shared_bdd_decode,python_exact,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/logs/ex288_r27_image_class_shared_bdd_decode.evaluate.py.log,Python reconstruction check before synthesis; official evaluate.py remains authority.,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/logs/ex288_r27_image_class_shared_bdd_decode.evaluate.py.log,ex288|hamming_weight_preserving_lossy_routing_normalizer|image_class_shared_bdd_decode|shared_output_image_class_id_and_constant_decoder|yosys_abc_g_aig_60s|exact_output_image_class|class_id_decode,truth_model_reconstruction,
ex288,unknown,unknown-worst-r27,ex288_r27_layer_image_class_shared_bdd_decode,python_exact,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/logs/ex288_r27_layer_image_class_shared_bdd_decode.evaluate.py.log,Python reconstruction check before synthesis; official evaluate.py remains authority.,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/logs/ex288_r27_layer_image_class_shared_bdd_decode.evaluate.py.log,ex288|hamming_weight_preserving_lossy_routing_normalizer|layer_image_class_shared_bdd_decode|shared_layer_local_class_id_plus_popcount_decoder|yosys_abc_g_aig_60s|exact_popcount_layer_image_class|layer_class_decode,truth_model_reconstruction,
ex285,unknown,unknown-worst-r27,ex285_r27_directed_move_shared_bdd,python_exact,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_directed_move_shared_bdd.evaluate.py.log,Python reconstruction check before synthesis; official evaluate.py remains authority.,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_directed_move_shared_bdd.evaluate.py.log,ex285|hamming_weight_preserving_lossy_routing_normalizer|directed_move_shared_bdd|single_drop_fill_move_node_pool|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,truth_model_reconstruction,
ex285,unknown,unknown-worst-r27,ex285_r27_directed_move_split_bdd,python_exact,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_directed_move_split_bdd.evaluate.py.log,Python reconstruction check before synthesis; official evaluate.py remains authority.,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex285/logs/ex285_r27_directed_move_split_bdd.evaluate.py.log,ex285|hamming_weight_preserving_lossy_routing_normalizer|directed_move_split_bdd|separate_drop_and_fill_move_node_pools|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,truth_model_reconstruction,
ex286,unknown,unknown-worst-r27,ex286_r27_directed_move_shared_bdd,python_exact,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/logs/ex286_r27_directed_move_shared_bdd.evaluate.py.log,Python reconstruction check before synthesis; official evaluate.py remains authority.,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/logs/ex286_r27_directed_move_shared_bdd.evaluate.py.log,ex286|hamming_weight_preserving_lossy_routing_normalizer|directed_move_shared_bdd|single_drop_fill_move_node_pool|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,truth_model_reconstruction,
ex286,unknown,unknown-worst-r27,ex286_r27_directed_move_split_bdd,python_exact,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/logs/ex286_r27_directed_move_split_bdd.evaluate.py.log,Python reconstruction check before synthesis; official evaluate.py remains authority.,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex286/logs/ex286_r27_directed_move_split_bdd.evaluate.py.log,ex286|hamming_weight_preserving_lossy_routing_normalizer|directed_move_split_bdd|separate_drop_and_fill_move_node_pools|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,truth_model_reconstruction,
ex287,unknown,unknown-worst-r27,ex287_r27_directed_move_shared_bdd,python_exact,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/logs/ex287_r27_directed_move_shared_bdd.evaluate.py.log,Python reconstruction check before synthesis; official evaluate.py remains authority.,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/logs/ex287_r27_directed_move_shared_bdd.evaluate.py.log,ex287|hamming_weight_preserving_lossy_routing_normalizer|directed_move_shared_bdd|single_drop_fill_move_node_pool|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,truth_model_reconstruction,
ex287,unknown,unknown-worst-r27,ex287_r27_directed_move_split_bdd,python_exact,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/logs/ex287_r27_directed_move_split_bdd.evaluate.py.log,Python reconstruction check before synthesis; official evaluate.py remains authority.,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex287/logs/ex287_r27_directed_move_split_bdd.evaluate.py.log,ex287|hamming_weight_preserving_lossy_routing_normalizer|directed_move_split_bdd|separate_drop_and_fill_move_node_pools|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,truth_model_reconstruction,
ex288,unknown,unknown-worst-r27,ex288_r27_directed_move_shared_bdd,python_exact,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/logs/ex288_r27_directed_move_shared_bdd.evaluate.py.log,Python reconstruction check before synthesis; official evaluate.py remains authority.,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/logs/ex288_r27_directed_move_shared_bdd.evaluate.py.log,ex288|hamming_weight_preserving_lossy_routing_normalizer|directed_move_shared_bdd|single_drop_fill_move_node_pool|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,truth_model_reconstruction,
ex288,unknown,unknown-worst-r27,ex288_r27_directed_move_split_bdd,python_exact,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/logs/ex288_r27_directed_move_split_bdd.evaluate.py.log,Python reconstruction check before synthesis; official evaluate.py remains authority.,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613/unknown-worst-r27/ex288/logs/ex288_r27_directed_move_split_bdd.evaluate.py.log,ex288|hamming_weight_preserving_lossy_routing_normalizer|directed_move_split_bdd|separate_drop_and_fill_move_node_pools|yosys_abc_g_aig_60s|exact_directed_conservative_move|drop_fill_reconstruction,truth_model_reconstruction,
ex247,float_fp8,fp8-a-r27,ex247_r27_delta_pair_flatmag_synth_preset_aig,not_run,,official evaluate.py used for equivalence/QoR; no separate debug simulation needed for generated exact semantic table,,,,
ex247,float_fp8,fp8-a-r27,ex247_r27_delta_den_nested_mag_synth_preset_aig,not_run,,official evaluate.py used for equivalence/QoR; no separate debug simulation needed for generated exact semantic table,,,,
ex246,float_fp8,fp8-a-r27,ex246_r27_product_exp_flatmag_synth_preset_aig,not_run,,official evaluate.py used for equivalence/QoR; no separate debug simulation needed for generated exact semantic table,,,,
ex246,float_fp8,fp8-a-r27,ex246_r27_product_exp_nested_mag_synth_preset_aig,not_run,,official evaluate.py used for equivalence/QoR; no separate debug simulation needed for generated exact semantic table,,,,
ex244,float_fp8,fp8-a-r27,ex244_r27_maxeff_gap_sig_direct_delta_synth_preset_aig,not_run,,official evaluate.py used for equivalence/QoR; no separate debug simulation needed for generated exact semantic table,,,,
ex244,float_fp8,fp8-a-r27,ex244_r27_maxeff_gap_sig_delta_bitor_synth_preset_aig,not_run,,official evaluate.py used for equivalence/QoR; no separate debug simulation needed for generated exact semantic table,,,,
