case,metric,key,value,detail
ex286,topk_score_family,singleton_vote:identity:bias=center,84/8192,bit_matches=59236/106496;first=x=0x3;expected=0xc;got=0x60
ex286,topk_score_family,"local_window:identity:bias=asc,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"cyclic_window:identity:bias=asc,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=1,b=1,bias=asc",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=2,b=2,bias=asc",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=3,b=3,bias=asc",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"local_window:identity:bias=desc,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"cyclic_window:identity:bias=desc,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=1,b=1,bias=desc",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=2,b=2,bias=desc",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=3,b=3,bias=desc",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"local_window:identity:bias=center,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"cyclic_window:identity:bias=center,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=1,b=1,bias=center",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=2,b=2,bias=center",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=3,b=3,bias=center",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"local_window:identity:bias=edge,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"cyclic_window:identity:bias=edge,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=1,b=1,bias=edge",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=2,b=2,bias=edge",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=3,b=3,bias=edge",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"local_window:identity:bias=none,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"cyclic_window:identity:bias=none,radius=0",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=1,b=1,bias=none",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,topk_score_family,"prefix_suffix:identity:a=2,b=2,bias=none",82/8192,bit_matches=58810/106496;first=x=0x1;expected=0x40;got=0x1
ex286,block_counts,12:1,3681,output_conflicts=8153;keys=26;rows=8192
ex286,block_counts,1:12,3865,output_conflicts=8145;keys=26;rows=8192
ex286,block_counts,11:2,4074,output_conflicts=8134;keys=36;rows=8192
ex286,block_counts,3:10,4979,output_conflicts=8117;keys=44;rows=8192
ex286,block_counts,8:5,5221,output_conflicts=8106;keys=54;rows=8192
ex286,block_counts,10:3,5265,output_conflicts=8131;keys=44;rows=8192
ex286,block_counts,7:6,5340,output_conflicts=8092;keys=56;rows=8192
ex286,block_counts,9:4,5425,output_conflicts=8106;keys=50;rows=8192
ex286,block_counts,11:1:1,5507,output_conflicts=8117;keys=48;rows=8192
ex286,block_counts,2:11,5522,output_conflicts=8129;keys=36;rows=8192
ex286,block_counts,1:11:1,5816,output_conflicts=8116;keys=48;rows=8192
ex286,block_counts,1:10:2,5832,output_conflicts=8088;keys=66;rows=8192
ex286,block_counts,1:1:11,5861,output_conflicts=8114;keys=48;rows=8192
ex286,block_counts,2:2:2:2:2:3,6000,output_conflicts=6436;keys=972;rows=8192
ex286,block_counts,10:1:2,6048,output_conflicts=8104;keys=66;rows=8192
ex286,block_counts,6:7,6054,output_conflicts=8100;keys=56;rows=8192
ex286,block_counts,1:2:10,6148,output_conflicts=8089;keys=66;rows=8192
ex286,block_counts,9:2:2,6270,output_conflicts=8068;keys=90;rows=8192
ex286,block_counts,5:8,6285,output_conflicts=8117;keys=54;rows=8192
ex286,block_counts,9:1:3,6304,output_conflicts=8066;keys=80;rows=8192
ex286,block_counts,7:1:5,6329,output_conflicts=8049;keys=96;rows=8192
ex286,block_counts,2:1:10,6367,output_conflicts=8095;keys=66;rows=8192
ex286,block_counts,1:7:5,6397,output_conflicts=8028;keys=96;rows=8192
ex286,block_counts,1:8:4,6422,output_conflicts=8039;keys=90;rows=8192
ex286,block_counts,3:9:1,6422,output_conflicts=8067;keys=80;rows=8192
ex286,layer_image,w0,1,"rows=1;fixed=0=0,1=0,2=0,3=0,4=0,5=0,6=0,7=0,8=0,9=0,10=0,11=0,12=0"
ex286,layer_image,w1,8,"rows=13;fixed=0=0,4=0,7=0,10=0,12=0"
ex286,layer_image,w2,36,rows=78;fixed=
ex286,layer_image,w3,103,rows=286;fixed=
ex286,layer_image,w4,219,rows=715;fixed=
ex286,layer_image,w5,336,rows=1287;fixed=
