round,run_id,agent_id,case,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,notes,shared_structure,inputs_or_fields,outputs_or_groups,expected_benefit,status,shard_csv,descriptor_bits,output_grouping,expected_verilog_path,expected_aig_path,structure_family,evidence_path
,,sub-fp8-arith-flow-r90,ex241,ex241_r90_current_repo_default,,,,,,,,Baseline source-to-AIG recheck from the current frontend-best Verilog; included to anchor this sweep.,shared sign xor exponent sum and nested product magnitude table,sign;exp_sum;product;product_mag;nan,full_word,repo Yosys frontend default with abc -g AND,evaluated,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/shared_structure_report.csv,,,,,,
,,sub-fp8-arith-flow-r90,ex241,ex241_r90_current_abc_g_aig,,,,,,,,Frontend-only Yosys abc gate-set change from current source.,shared sign xor exponent sum and nested product magnitude table,sign;exp_sum;product;product_mag;nan,full_word,Yosys frontend with abc -g aig before aigmap,evaluated,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/shared_structure_report.csv,,,,,,
,,sub-fp8-arith-flow-r90,ex241,ex241_r90_current_d24,,,,,,,,Frontend-only Yosys delay target on the current nested source.,shared sign xor exponent sum and nested product magnitude table,sign;exp_sum;product;product_mag;nan,delay_targeted_full_word,Yosys frontend with abc -g AND -D 24,evaluated,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/shared_structure_report.csv,,,,,,
,,sub-fp8-arith-flow-r90,ex241,ex241_r90_current_no_flatten,,,,,,,,Source-boundary variant that omits flatten in the frontend script.,shared sign xor exponent sum and nested product magnitude table,sign;exp_sum;product;product_mag;nan,source_boundary_no_flatten,preserve source module boundary by omitting flatten,evaluated,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/shared_structure_report.csv,,,,,,
,,sub-fp8-arith-flow-r90,ex241,ex241_r90_keep_abc_g_aig,,,,,,,,Materially changes the source boundary from round89 by keeping product/exponent/magnitude wires and pairing it with abc -g aig.,shared product and exponent boundary wires kept before frontend mapping,sign;exp_sum;product;kept_mag;nan,kept_product_boundary,Yosys frontend with abc -g aig before aigmap,evaluated,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/shared_structure_report.csv,,,,,,
,,sub-fp8-arith-flow-r90,ex241,ex241_r90_keep_extra_opt,,,,,,,,Keep-boundary source paired with a source-level share/wreduce frontend pass.,shared product and exponent boundary wires kept before extra source opts,sign;exp_sum;product;kept_mag;nan,kept_product_boundary,extra opt_reduce/opt_muxtree/wreduce/share before techmap,evaluated,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/shared_structure_report.csv,,,,,,
,,sub-fp8-arith-flow-r90,ex241,ex241_r90_r89_abc_g_aig,,,,,,,,Uses the round89 equivalent source as a base with a different frontend ABC gate set.,round89 rounded exponent/fraction staging over nested product table,sign;exp_sum;product;rounded_exp;rounded_frac;nan,sign_exp_frac_output,Yosys frontend with abc -g aig before aigmap,evaluated,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/shared_structure_report.csv,,,,,,
,,sub-fp8-arith-flow-r90,ex241,ex241_r90_r89_no_internal_abc,,,,,,,,Tests whether skipping the internal abc frontend pass preserves a smaller source boundary.,round89 rounded exponent/fraction staging over nested product table,sign;exp_sum;product;rounded_exp;rounded_frac;nan,sign_exp_frac_output_noabc,skip Yosys internal abc pass before aigmap,evaluated,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/shared_structure_report.csv,,,,,,
,,sub-fp8-arith-flow-r90,ex240,ex240_r90_current_abc_g_aig,,,,,,,,Bounded lower-priority source-to-AIG flow check for ex240.,shared same-sign GRS and diff cancellation normalizer,same_sign;same_mag;diff_mag;diff_sign;nan,selected_sign_magnitude_output,Yosys frontend with abc -g aig before aigmap,evaluated,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/shared_structure_report.csv,,,,,,
,,sub-fp8-arith-flow-r90,ex240,ex240_r90_keep_no_flatten,,,,,,,,Small source-boundary check for ex240 without replaying backend remap.,kept same/diff magnitude and sign-selection source boundaries,same_sign;same_mag;diff_mag;diff_sign;nan,selected_sign_magnitude_output,preserve source module boundary by omitting flatten,evaluated,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/shared_structure_report.csv,,,,,,
