round,run_id,agent_id,case,domain,candidate_id,family,hypothesis,representation,sharing_strategy,shared_structure,synth_flow,method_signature,verilog_path,aig_path,log_path,evaluate_log,official_status,equivalent,simulation_pass,area,delay,adp,reference_adp,current_adp,frontend_best_adp,beats_frontend,beats_current,beats_reference,notes,variant,verified_truth,shard_csv
,,sub-fp8-arith-flow-r90,ex241,,ex241_r90_current_repo_default,,E4M3FN packed multiply high byte times low byte,,,,,ex241|E4M3FN packed multiply high byte times low byte|current nested product source copy|shared sign xor exponent sum and nested product magnitude table|repo_default|official_evaluate|full_word,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/verilog/ex241_r90_current_repo_default.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/aigs/ex241_r90_current_repo_default.aig,,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/official_eval/ex241_r90_current_repo_default/ex241_r90_current_repo_default.evaluate.py.log,,1,,554,30,16620,,,,,,,evaluate.py status=OK; exit=0; yosys_log=student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/logs/ex241_r90_current_repo_default.yosys.log; Baseline source-to-AIG recheck from the current frontend-best Verilog; included to anchor this sweep.,current nested product source copy+repo_default,official_evaluate.py,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/candidates.csv
,,sub-fp8-arith-flow-r90,ex241,,ex241_r90_current_abc_g_aig,,E4M3FN packed multiply high byte times low byte,,,,,ex241|E4M3FN packed multiply high byte times low byte|current nested product source copy|shared sign xor exponent sum and nested product magnitude table|abc_g_aig|official_evaluate|full_word,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/verilog/ex241_r90_current_abc_g_aig.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/aigs/ex241_r90_current_abc_g_aig.aig,,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/official_eval/ex241_r90_current_abc_g_aig/ex241_r90_current_abc_g_aig.evaluate.py.log,,1,,548,29,15892,,,,,,,evaluate.py status=OK; exit=0; yosys_log=student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/logs/ex241_r90_current_abc_g_aig.yosys.log; Frontend-only Yosys abc gate-set change from current source.,current nested product source copy+abc_g_aig,official_evaluate.py,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/candidates.csv
,,sub-fp8-arith-flow-r90,ex241,,ex241_r90_current_d24,,E4M3FN packed multiply high byte times low byte,,,,,ex241|E4M3FN packed multiply high byte times low byte|current nested product source copy|shared sign xor exponent sum and nested product magnitude table|abc_g_and_d24|official_evaluate|delay_targeted_full_word,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/verilog/ex241_r90_current_d24.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/aigs/ex241_r90_current_d24.aig,,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/official_eval/ex241_r90_current_d24/ex241_r90_current_d24.evaluate.py.log,,1,,554,30,16620,,,,,,,evaluate.py status=OK; exit=0; yosys_log=student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/logs/ex241_r90_current_d24.yosys.log; Frontend-only Yosys delay target on the current nested source.,current nested product source copy+abc_g_and_d24,official_evaluate.py,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/candidates.csv
,,sub-fp8-arith-flow-r90,ex241,,ex241_r90_current_no_flatten,,E4M3FN packed multiply high byte times low byte,,,,,ex241|E4M3FN packed multiply high byte times low byte|current nested product source copy|shared sign xor exponent sum and nested product magnitude table|no_flatten|official_evaluate|source_boundary_no_flatten,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/verilog/ex241_r90_current_no_flatten.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/aigs/ex241_r90_current_no_flatten.aig,,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/official_eval/ex241_r90_current_no_flatten/ex241_r90_current_no_flatten.evaluate.py.log,,1,,554,30,16620,,,,,,,evaluate.py status=OK; exit=0; yosys_log=student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/logs/ex241_r90_current_no_flatten.yosys.log; Source-boundary variant that omits flatten in the frontend script.,current nested product source copy+no_flatten,official_evaluate.py,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/candidates.csv
,,sub-fp8-arith-flow-r90,ex241,,ex241_r90_keep_abc_g_aig,,E4M3FN packed multiply high byte times low byte,,,,,ex241|E4M3FN packed multiply high byte times low byte|product/exp/mag keep-boundary source|shared product and exponent boundary wires kept before frontend mapping|abc_g_aig|official_evaluate|kept_product_boundary,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/verilog/ex241_r90_keep_abc_g_aig.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/aigs/ex241_r90_keep_abc_g_aig.aig,,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/official_eval/ex241_r90_keep_abc_g_aig/ex241_r90_keep_abc_g_aig.evaluate.py.log,,1,,552,31,17112,,,,,,,evaluate.py status=OK; exit=0; yosys_log=student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/logs/ex241_r90_keep_abc_g_aig.yosys.log; Materially changes the source boundary from round89 by keeping product/exponent/magnitude wires and pairing it with abc -g aig.,product/exp/mag keep-boundary source+abc_g_aig,official_evaluate.py,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/candidates.csv
,,sub-fp8-arith-flow-r90,ex241,,ex241_r90_keep_extra_opt,,E4M3FN packed multiply high byte times low byte,,,,,ex241|E4M3FN packed multiply high byte times low byte|product/exp/mag keep-boundary source|shared product and exponent boundary wires kept before extra source opts|extra_opt_share|official_evaluate|kept_product_boundary,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/verilog/ex241_r90_keep_extra_opt.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/aigs/ex241_r90_keep_extra_opt.aig,,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/official_eval/ex241_r90_keep_extra_opt/ex241_r90_keep_extra_opt.evaluate.py.log,,1,,561,32,17952,,,,,,,evaluate.py status=OK; exit=0; yosys_log=student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/logs/ex241_r90_keep_extra_opt.yosys.log; Keep-boundary source paired with a source-level share/wreduce frontend pass.,product/exp/mag keep-boundary source+extra_opt_share,official_evaluate.py,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/candidates.csv
,,sub-fp8-arith-flow-r90,ex241,,ex241_r90_r89_abc_g_aig,,E4M3FN packed multiply high byte times low byte,,,,,ex241|E4M3FN packed multiply high byte times low byte|round89 field-staged output source|round89 rounded exponent/fraction staging over nested product table|abc_g_aig|official_evaluate|sign_exp_frac_output,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/verilog/ex241_r90_r89_abc_g_aig.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/aigs/ex241_r90_r89_abc_g_aig.aig,,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/official_eval/ex241_r90_r89_abc_g_aig/ex241_r90_r89_abc_g_aig.evaluate.py.log,,1,,548,29,15892,,,,,,,evaluate.py status=OK; exit=0; yosys_log=student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/logs/ex241_r90_r89_abc_g_aig.yosys.log; Uses the round89 equivalent source as a base with a different frontend ABC gate set.,round89 field-staged output source+abc_g_aig,official_evaluate.py,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/candidates.csv
,,sub-fp8-arith-flow-r90,ex241,,ex241_r90_r89_no_internal_abc,,E4M3FN packed multiply high byte times low byte,,,,,ex241|E4M3FN packed multiply high byte times low byte|round89 field-staged output source|round89 rounded exponent/fraction staging over nested product table|no_internal_abc|official_evaluate|sign_exp_frac_output_noabc,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/verilog/ex241_r90_r89_no_internal_abc.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/aigs/ex241_r90_r89_no_internal_abc.aig,,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/official_eval/ex241_r90_r89_no_internal_abc/ex241_r90_r89_no_internal_abc.evaluate.py.log,,1,,1162,34,39508,,,,,,,evaluate.py status=OK; exit=0; yosys_log=student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex241/logs/ex241_r90_r89_no_internal_abc.yosys.log; Tests whether skipping the internal abc frontend pass preserves a smaller source boundary.,round89 field-staged output source+no_internal_abc,official_evaluate.py,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/candidates.csv
,,sub-fp8-arith-flow-r90,ex240,,ex240_r90_current_abc_g_aig,,E4M3FN packed add high byte plus low byte,,,,,ex240|E4M3FN packed add high byte plus low byte|current sign/magnitude selected-output source|shared same-sign GRS and diff cancellation normalizer|abc_g_aig|official_evaluate|selected_sign_magnitude_output,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex240/verilog/ex240_r90_current_abc_g_aig.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex240/aigs/ex240_r90_current_abc_g_aig.aig,,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex240/official_eval/ex240_r90_current_abc_g_aig/ex240_r90_current_abc_g_aig.evaluate.py.log,,1,,627,45,28215,,,,,,,evaluate.py status=OK; exit=0; yosys_log=student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex240/logs/ex240_r90_current_abc_g_aig.yosys.log; Bounded lower-priority source-to-AIG flow check for ex240.,current sign/magnitude selected-output source+abc_g_aig,official_evaluate.py,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/candidates.csv
,,sub-fp8-arith-flow-r90,ex240,,ex240_r90_keep_no_flatten,,E4M3FN packed add high byte plus low byte,,,,,ex240|E4M3FN packed add high byte plus low byte|same/diff keep-boundary source|kept same/diff magnitude and sign-selection source boundaries|no_flatten|official_evaluate|selected_sign_magnitude_output,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex240/verilog/ex240_r90_keep_no_flatten.v,student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex240/aigs/ex240_r90_keep_no_flatten.aig,,student/runs/float_fp8/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex240/official_eval/ex240_r90_keep_no_flatten/ex240_r90_keep_no_flatten.evaluate.py.log,,1,,635,47,29845,,,,,,,evaluate.py status=OK; exit=0; yosys_log=student/work/frontend_synthflow_mutation_round90_20260614_0014/sub-fp8-arith-flow-r90/ex240/logs/ex240_r90_keep_no_flatten.yosys.log; Small source-boundary check for ex240 without replaying backend remap.,same/diff keep-boundary source+no_flatten,official_evaluate.py,student/frontend_campaigns/campaigns/frontend_synthflow_mutation_round90_20260614_0014/agent_shards/sub-fp8-arith-flow-r90/candidates.csv
