round,run_id,agent_id,case,candidate_id,simulator,status,patterns,log_path,notes,sim_tool,sim_status,sim_log,shard_csv,simulation_used,simulation_pass,method_signature,patterns_checked,mismatches
,,sub-fp8-arith-r87,ex240,ex240_r87_diff_lzd_bucket_dag,,,,,official evaluate.py used for acceptance,,not_run,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-arith-r87/simulation_results.csv,,,,,
,,sub-fp8-arith-r87,ex241,ex241_r87_product_round_bucket_dag,,,,,official evaluate.py used for acceptance,,not_run,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-arith-r87/simulation_results.csv,,,,,
,,sub-fp8-arith-r87,ex245,ex245_r87_active_lzd_bucket_dag,,,,,official evaluate.py used for acceptance,,not_run,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-arith-r87/simulation_results.csv,,,,,
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex247,ex247_r87_guarded_lowpat_predicates,,,,,official evaluate.py used directly,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/simulation_results.csv,0,not_run,,,
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex247,ex247_r87_den_step_residual_dag,,,,,official evaluate.py used directly,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/simulation_results.csv,0,not_run,,,
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex246,ex246_r87_guarded_product_shell,,,,,official evaluate.py used directly,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/simulation_results.csv,0,not_run,,,
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex246,ex246_r87_product_boundary_dag,,,,,official evaluate.py used directly,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/simulation_results.csv,0,not_run,,,
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex244,ex244_r87_guarded_delta_sat,,,,,official evaluate.py used directly,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/simulation_results.csv,0,not_run,,,
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex244,ex244_r87_gap2_decision_dag,,,,,official evaluate.py used directly,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/simulation_results.csv,0,not_run,,,
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex249,ex249_r87_guarded_activegap_sat,,,,,official evaluate.py used directly,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/simulation_results.csv,0,not_run,,,
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex249,ex249_r87_sigbucket_delta_dag,,,,,official evaluate.py used directly,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/simulation_results.csv,0,not_run,,,
,,sub-unknown-route-r87,ex285,ex285_r87_popcount_route_decision_graph,not_run,skipped,,,Skipped debug simulation; official evaluate.py is authoritative.,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-route-r87/simulation_results.csv,,,ex285|hamming_weight_preserving_lossy_routing_normalizer|r87_popcount_route_decision_graph|shared_popcount_prefix_suffix_first_last_median_lane_parity|yosys_internal_abc_g_aig|official_evaluate|full_word,,
,,sub-unknown-route-r87,ex285,ex285_r87_small_cofactor_module_reuse,not_run,skipped,,,Skipped debug simulation; official evaluate.py is authoritative.,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-route-r87/simulation_results.csv,,,ex285|hamming_weight_preserving_lossy_routing_normalizer|r87_small_cofactor_module_reuse|compact_route_descriptor_shared_residual_modules|yosys_internal_abc_g_aig|official_evaluate|cofactor_residual_groups,,
,,sub-unknown-route-r87,ex288,ex288_r87_popcount_route_decision_graph,not_run,skipped,,,Skipped debug simulation; official evaluate.py is authoritative.,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-route-r87/simulation_results.csv,,,ex288|hamming_weight_preserving_lossy_routing_normalizer|r87_popcount_route_decision_graph|shared_popcount_prefix_suffix_first_last_median_lane_parity|yosys_internal_abc_g_aig|official_evaluate|full_word,,
,,sub-unknown-route-r87,ex288,ex288_r87_small_cofactor_module_reuse,not_run,skipped,,,Skipped debug simulation; official evaluate.py is authoritative.,,,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-unknown-route-r87/simulation_results.csv,,,ex288|hamming_weight_preserving_lossy_routing_normalizer|r87_small_cofactor_module_reuse|compact_route_descriptor_shared_residual_modules|yosys_internal_abc_g_aig|official_evaluate|cofactor_residual_groups,,
