round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,outcome,failure_reason,reuse_policy,next_action,expected_or_evidence_path,shard_csv,candidate_id,evidence_path,variant,sharing,area,delay,adp,aig_path,expected_next_artifact_path,evaluate_log,blocked_reason,next_non_repeated_route_hypothesis
,,sub-fp16-int-r87,ex223,,,,,ex223|fp16_log_truthroot_bit11_positive_normal_root|sign_exp_mantissa_run_root_for_bit11_over_frontend_best|single_exact_low_high_boundary_root|yosys_abc_g_aig|abc_xf_official_evaluate|round86_as_is,,,,,checkpoint row before r87 generation,BLOCKED_REPEAT,round86 single-bit truthroot already evaluated and only improved frontend by 95 ADP,do_not_repeat_as_is,continue only with multi-bit shared roots or a new shallow correction structure,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/verilog/ex223_r86_truthroot_bit11.v,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/failed_hypotheses.csv,,,,,,,,,,,,
,,sub-fp16-int-r87,ex223,,,,,ex223|fp16_log|full_output_reduced_decision_dag|shared_word_level_mtbdd|yosys_abc_g_aig|abc_xf_official_evaluate|round86_as_is,,,,,checkpoint row before r87 generation,BLOCKED_REPEAT,round86 full-output MTBDD decision DAG was exact but nonwinning,do_not_repeat_as_is,continue only with materially different structural sharing or output grouping,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex223/verilog/ex223_r86_mtbdd_word_dag.v,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/failed_hypotheses.csv,,,,,,,,,,,,
,,sub-fp16-int-r87,ex225,,,,,ex225|fp16_log10_truthroot_bit11_positive_normal_root|sign_exp_mantissa_run_root_for_bit11_over_frontend_best|single_exact_low_high_boundary_root|yosys_abc_g_aig|abc_xf_official_evaluate|round86_as_is,,,,,checkpoint row before r87 generation,BLOCKED_REPEAT,round86 single-bit truthroot was exact but nonwinning,do_not_repeat_as_is,continue only with multi-bit shared roots or a new shallow correction structure,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/verilog/ex225_r86_truthroot_bit11.v,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/failed_hypotheses.csv,,,,,,,,,,,,
,,sub-fp16-int-r87,ex225,,,,,ex225|fp16_log10|full_output_reduced_decision_dag|shared_word_level_mtbdd|yosys_abc_g_aig|abc_xf_official_evaluate|round86_as_is,,,,,checkpoint row before r87 generation,BLOCKED_REPEAT,round86 full-output MTBDD decision DAG was exact but nonwinning,do_not_repeat_as_is,continue only with materially different structural sharing or output grouping,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex225/verilog/ex225_r86_mtbdd_word_dag.v,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/failed_hypotheses.csv,,,,,,,,,,,,
,,sub-fp16-int-r87,ex260,,,,,ex260|signed_low4_high4_multiply|product_bit4_reduced_bdd_root|single_exact_product_bit_root|yosys_abc_g_aig|abc_xf_official_evaluate|round86_as_is,,,,,checkpoint row before r87 generation,BLOCKED_REPEAT,round86 product bit4 truthroot was exact but nonwinning,do_not_repeat_as_is,continue only with shared partial-product or compressor structure,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/verilog/ex260_r86_truthroot_bit4.v,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/failed_hypotheses.csv,,,,,,,,,,,,
,,sub-fp16-int-r87,ex260,,,,,ex260|signed_low4_high4_multiply|full_output_reduced_decision_dag|shared_word_level_mtbdd|yosys_abc_g_aig|abc_xf_official_evaluate|round86_as_is,,,,,checkpoint row before r87 generation,BLOCKED_REPEAT,round86 full-output MTBDD decision DAG was exact but nonwinning,do_not_repeat_as_is,continue only with materially different signed multiplier sharing,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex260/verilog/ex260_r86_mtbdd_word_dag.v,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/failed_hypotheses.csv,,,,,,,,,,,,
,,sub-fp16-int-r87,ex266,,,,,ex266|unsigned_low5_high5_divide_dbz_sat|quotient_bit2_reduced_bdd_root|single_exact_quotient_bit_root|yosys_abc_g_aig|abc_xf_official_evaluate|round86_as_is,,,,,checkpoint row before r87 generation,BLOCKED_REPEAT,round86 quotient bit2 truthroot was exact but nonwinning,do_not_repeat_as_is,continue only with shared threshold or trial-subtract structure,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/verilog/ex266_r86_truthroot_bit2.v,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/failed_hypotheses.csv,,,,,,,,,,,,
,,sub-fp16-int-r87,ex266,,,,,ex266|unsigned_low5_high5_divide_dbz_sat|full_output_reduced_decision_dag|shared_word_level_mtbdd|yosys_abc_g_aig|abc_xf_official_evaluate|round86_as_is,,,,,checkpoint row before r87 generation,BLOCKED_REPEAT,round86 full-output MTBDD decision DAG was exact but nonwinning,do_not_repeat_as_is,continue only with materially different divider sharing,student/work/frontend_truthroot_parallel_round86_20260613_2221/sub-fp16-int-root-r86/ex266/verilog/ex266_r86_mtbdd_word_dag.v,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/failed_hypotheses.csv,,,,,,,,,,,,
,,sub-fp8-arith-r87,ex240,,,,,ex240|E4M3FN packed add high byte plus low byte|maxeff guarded diff decision DAG|shared same-sign GRS roots plus diff gap/maxeff predicates|repo_yosys_frontend_default|official_evaluate|full_word,inherited_nonwinning,,,,,,official evaluate.py equivalent but ADP 30406 did not beat frontend best 26230,do_not_repeat_as_is,Use materially different cancellation-distance or cofactor residual structure,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-arith-r87/failed_hypotheses.csv,ex240_r86_maxeff_diff_dag,student/runs/float_fp8/frontend_truthroot_parallel_round86_20260613_2221/sub-fp8-addmul-struct-r86/ex240/official_eval/ex240_r86_maxeff_diff_dag/ex240_r86_maxeff_diff_dag.evaluate.py.log,,,,,,,,,,
,,sub-fp8-arith-r87,ex241,,,,,ex241|E4M3FN packed multiply high byte times low byte|product bit-exception decision DAG|shared product roots plus exact per-bit exception residuals|repo_yosys_frontend_default|official_evaluate|product_active_bits,inherited_nonwinning,,,,,,official evaluate.py equivalent but ADP 30135 did not beat frontend best 14094,do_not_repeat_as_is,Use product-round buckets or boundary cofactors instead of per-bit exception DAGs,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-arith-r87/failed_hypotheses.csv,ex241_r86_product_bit_exception_dag,student/runs/float_fp8/frontend_truthroot_parallel_round86_20260613_2221/sub-fp8-addmul-struct-r86/ex241/official_eval/ex241_r86_product_bit_exception_dag/ex241_r86_product_bit_exception_dag.evaluate.py.log,,,,,,,,,,
,,sub-fp8-arith-r87,ex245,,,,,ex245|E5M2FN packed add high byte plus low byte|maxeff split active-region decision DAG|shared sorted decode active roots plus maxeff predicates|repo_yosys_frontend_default|official_evaluate|active_region_bits,inherited_nonwinning,,,,,,official evaluate.py equivalent but ADP 25270 did not beat frontend best 22077,do_not_repeat_as_is,Use leading-distance or active residual cofactor structure instead,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-arith-r87/failed_hypotheses.csv,ex245_r86_maxeff_active_dag,student/runs/float_fp8/frontend_truthroot_parallel_round86_20260613_2221/sub-fp8-addmul-struct-r86/ex245/official_eval/ex245_r86_maxeff_active_dag/ex245_r86_maxeff_active_dag.evaluate.py.log,,,,,,,,,,
,,sub-fp8-arith-r87,ex240,,,,,ex240|E4M3FN packed add high byte plus low byte|diff-sign leading-zero bucket decision DAG|shared sorted decode same-sign GRS and compact cancellation buckets|repo_yosys_frontend_default|official_evaluate|full_word,not_equivalent,,,,,,official evaluate.py NOT_EQUIV; ADP ; frontend best 26230,repeat_only_with_new_structure,Change high-level sharing or residual basis before retrying,,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-arith-r87/failed_hypotheses.csv,ex240_r87_diff_lzd_bucket_dag,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-arith-r87/ex240/official_eval/ex240_r87_diff_lzd_bucket_dag/ex240_r87_diff_lzd_bucket_dag.evaluate.py.log,,,,,,,,,,
