round,run_id,agent_id,case,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,notes,shard_csv,shared_structure,descriptor_bits,output_grouping,expected_verilog_path,expected_aig_path,structure_family,evidence_path,method_signature,expected_outputs_affected,status,inputs_or_fields,outputs_or_groups,expected_benefit,structure_name,structure_kind,inputs_or_roots,sharing_scope,expected_artifact_path,shared_structures
,,sub-fp16-int-r87,ex223,,,,,,,,,aims to avoid per-bit isolated truthroot critical path,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/shared_structure_report.csv,shared sign-exp special decode plus positive-normal multi-bit predicate bank,,,,,,,ex223|fp16_log_r87_multioutput_positive_normal_roots|multi_bit_shared_root_bank_over_frontend_best_boundary|shared_sign_exp_mant_predicate_bank|yosys_abc_g_aig|abc_xf_official_evaluate|not_r86_single_bit_or_full_mtbdd,bits near high/low boundary,planned,,,,,,,,,
,,sub-fp16-int-r87,ex223,,,,,,,,,blocks dense nested low-table replay unless exact residuals remain compact,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/shared_structure_report.csv,shared exponent and mantissa interval predicates with small local residuals,,,,,,,ex223|fp16_log_r87_shallow_correction_predicates|exp_mant_interval_residual_lowbit_dag|shared_exponent_mantissa_interval_predicates_plus_local_low_residuals|yosys_abc_g_aig|abc_xf_official_evaluate|not_nested_table_replay,low residual bits plus selected high bits,planned,,,,,,,,,
,,sub-fp16-int-r87,ex225,,,,,,,,,aims to improve over nonwinning bit11-only root,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/shared_structure_report.csv,shared sign-exp special decode plus positive-normal multi-bit predicate bank,,,,,,,ex225|fp16_log10_r87_multioutput_positive_normal_roots|multi_bit_shared_root_bank_over_frontend_best_boundary|shared_sign_exp_mant_predicate_bank|yosys_abc_g_aig|abc_xf_official_evaluate|not_r86_single_bit_or_full_mtbdd,bits near high/low boundary,planned,,,,,,,,,
,,sub-fp16-int-r87,ex225,,,,,,,,,requires materially shallower correction than prior fixed-point normalizer,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/shared_structure_report.csv,shared exponent and mantissa interval predicates with small local residuals,,,,,,,ex225|fp16_log10_r87_shallow_correction_predicates|exp_mant_interval_residual_lowbit_dag|shared_exponent_mantissa_interval_predicates_plus_local_low_residuals|yosys_abc_g_aig|abc_xf_official_evaluate|not_nested_table_replay,low residual bits plus selected high bits,planned,,,,,,,,,
,,sub-fp16-int-r87,ex260,,,,,,,,,tries product sharing rather than selected product-bit root,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/shared_structure_report.csv,shared unsigned partial products plus sign-bias correction and low-bit ANF roots,,,,,,,ex260|signed_low4_high4_multiply_r87_explicit_pp_sign_correction|shared_partial_products_plus_sign_bias_and_lowbit_anf_roots|shared_pp_rows_sign_correction_and_lowbit_roots|yosys_abc_g_aig|abc_xf_official_evaluate|not_r86_bit4_or_full_mtbdd,all product bits,planned,,,,,,,,,
,,sub-fp16-int-r87,ex260,,,,,,,,,materially different final merge from prior Baugh/Wallace hCLA replay,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/shared_structure_report.csv,shared compressor rows plus final compare-style merge,,,,,,,ex260|signed_low4_high4_multiply_r87_compressor_compare_merge|balanced_compressor_rows_with_final_threshold_compare_merge|shared_pp_compressor_rows_and_final_merge_predicates|yosys_abc_g_aig|abc_xf_official_evaluate|not_baugh_wallace_replay,all product bits,planned,,,,,,,,,
,,sub-fp16-int-r87,ex266,,,,,,,,,targets common threshold boundaries before local quotient logic,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/shared_structure_report.csv,denominator class decode plus shared q>=k*b comparators,,,,,,,ex266|unsigned_low5_high5_divide_dbz_sat_r87_denclass_thresholds|denominator_class_qbit_predicates|shared_trial_subtract_boundary_comparators|yosys_abc_g_aig|abc_xf_official_evaluate|not_r86_bit2_or_full_mtbdd,quotient bits,planned,,,,,,,,,
,,sub-fp16-int-r87,ex266,,,,,,,,,avoids prior full wordmux and serial restore structures as-is,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/shared_structure_report.csv,shared trial-subtract boundaries plus local residual modules,,,,,,,ex266|unsigned_low5_high5_divide_dbz_sat_r87_trial_subtract_residuals|small_local_residual_modules_after_shared_thresholds|shared_q_ge_boundaries_plus_local_low_residuals|yosys_abc_g_aig|abc_xf_official_evaluate|not_prior_wordmux_or_serial_restore,quotient bits,planned,,,,,,,,,
,,sub-fp16-int-r87,ex260,,,,,,,,,area=103; delay=19; adp=1957,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/shared_structure_report.csv,explicit_partial_product_sign_correction,,,,,,,ex260|signed_low4_high4_multiply_r87_explicit_pp_sign_correction|abs_partial_product_rows_conditional_twos_complement|shared_abs_decode_pp_rows_and_sign_correction|yosys_abc_g_aig|abc_xf_official_evaluate|not_r86_bit4_or_full_mtbdd,all_outputs,official_OK,,,,,,,,,
,,sub-fp16-int-r87,ex266,,,,,,,,,area=693; delay=22; adp=15246,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/shared_structure_report.csv,denominator_threshold_quotient_classifier,,,,,,,ex266|unsigned_low5_high5_divide_dbz_sat_r87_denclass_thresholds|parallel_q_ge_kb_predicates|shared_denominator_multiple_comparators|yosys_abc_g_aig|abc_xf_official_evaluate|not_r86_bit2_or_full_mtbdd,all_outputs,official_OK,,,,,,,,,
,,sub-fp16-int-r87,ex223,,,,,,,,,area=10760; delay=19; adp=204440,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/shared_structure_report.csv,multioutput_positive_normal_root_bank,,,,,,,ex223|fp16_log_r87_multioutput_positive_normal_roots|bits12_11_10_run_root_bank_over_r86_bit11_base|shared_sign_exp_mantissa_root_bank|yosys_abc_g_aig|abc_xf_official_evaluate|not_r86_single_bit_or_full_mtbdd,selected_bits=12/11/10,official_OK,,,,,,,,,
,,sub-fp16-int-r87,ex225,,,,,,,,,area=11606; delay=19; adp=220514,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp16-int-r87/shared_structure_report.csv,multioutput_positive_normal_root_bank,,,,,,,ex225|fp16_log10_r87_multioutput_positive_normal_roots|bits12_11_10_run_root_bank_over_r86_bit11_base|shared_sign_exp_mantissa_root_bank|yosys_abc_g_aig|abc_xf_official_evaluate|not_r86_single_bit_or_full_mtbdd,selected_bits=12/11/10,official_OK,,,,,,,,,
,,sub-fp8-arith-r87,ex240,ex240_r87_diff_lzd_bucket_dag,,,,,,,,evaluate.py status=NOT_EQUIV; exit=1; Formula/bucket diff normalizer; materially different from round86 max-eff roots,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-arith-r87/shared_structure_report.csv,same-sign GRS path plus formula diff-sign leading bucket normalizer,,,,,,,,,not_equivalent,hi_sign;lo_sign;hi_exp;lo_exp;gap;max_sig;min_sig;diff_sig,out[7:0],ADP reduction from shared semantic residual structure,,,,,,
,,sub-fp8-arith-r87,ex241,ex241_r87_product_round_bucket_dag,,,,,,,,evaluate.py status=OK; exit=0; Product round bucket formula rather than per-bit exception DAG,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-arith-r87/shared_structure_report.csv,sign xor plus exponent sum plus product class plus rounding exception buckets,,,,,,,,,equivalent_nonwinning,sign_xor;exp_sum;sig_product;round_inc;underflow;overflow,out[7:0],ADP reduction from shared semantic residual structure,,,,,,
,,sub-fp8-arith-r87,ex245,ex245_r87_active_lzd_bucket_dag,,,,,,,,evaluate.py status=OK; exit=0; Leading-distance active normalizer instead of max-eff active DAG,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-arith-r87/shared_structure_report.csv,gap-limited active normalizer over sorted E5M2 fields,,,,,,,,,equivalent_nonwinning,same_sign;gap;max_eff;min_eff;max_sig;min_sig,out[7:0],ADP reduction from shared semantic residual structure,,,,,,
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex247,ex247_r87_guarded_lowpat_predicates,guarded_semantic_datapath,5,8,large ADP reduction through shared semantic fields,362,24,8688,official evaluate.py OK; nonwinning,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/shared_structure_report.csv,"denominator/numerator sig decode, exponent delta, lowpat predicates",,full_word,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex247/verilog/ex247_r87_guarded_lowpat_predicates.v,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex247/aigs/ex247_r87_guarded_lowpat_predicates.aig,guarded_semantic_datapath,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex247/logs/ex247_r87_guarded_lowpat_predicates.evaluate.py.log,,,,,,,,,,,,
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex247,ex247_r87_den_step_residual_dag,decision_graph_semantic_fields,5,8,large ADP reduction through shared semantic fields,378,26,9828,official evaluate.py OK; nonwinning,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/shared_structure_report.csv,"denominator/numerator sig decode, exponent delta, step-region mux DAG",,field_grouped,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex247/verilog/ex247_r87_den_step_residual_dag.v,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex247/aigs/ex247_r87_den_step_residual_dag.aig,decision_graph_semantic_fields,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex247/logs/ex247_r87_den_step_residual_dag.evaluate.py.log,,,,,,,,,,,,
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex246,ex246_r87_guarded_product_shell,guarded_semantic_datapath,5,8,large ADP reduction through shared semantic fields,355,24,8520,official evaluate.py OK; nonwinning,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/shared_structure_report.csv,"sign, exponent-sum, product, zero and saturation regions",,full_word,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex246/verilog/ex246_r87_guarded_product_shell.v,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex246/aigs/ex246_r87_guarded_product_shell.aig,guarded_semantic_datapath,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex246/logs/ex246_r87_guarded_product_shell.evaluate.py.log,,,,,,,,,,,,
87,frontend_structural_dag_parallel_round87_20260613_2305,sub-fp8-guard-r87,ex246,ex246_r87_product_boundary_dag,structural_rtl_cofactor,5,8,large ADP reduction through shared semantic fields,361,24,8664,official evaluate.py OK; nonwinning,student/frontend_campaigns/campaigns/frontend_structural_dag_parallel_round87_20260613_2305/agent_shards/sub-fp8-guard-r87/shared_structure_report.csv,product boundary region nodes and compact output muxes,,field_grouped,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex246/verilog/ex246_r87_product_boundary_dag.v,student/work/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex246/aigs/ex246_r87_product_boundary_dag.aig,structural_rtl_cofactor,student/runs/float_fp8/frontend_structural_dag_parallel_round87_20260613_2305/sub-fp8-guard-r87/ex246/logs/ex246_r87_product_boundary_dag.evaluate.py.log,,,,,,,,,,,,
