case,hypothesis,representation_family,sharing_strategy,source,confidence,novelty,expected_gain,status,reason,created_by,created_at
ex276,per-output prefix4 interval case may reduce word-mux coupling,prefix4 per-output casebits,shared hi decode and low interval predicates,ex200_ex299_frontend_refgap_round26_20260613_0539/coordinator-integer-r26,medium,explore,medium,tested_nonwinning,Best ADP 1120 worse than current frontend 1010,coordinator-integer-r26,2026-06-13
ex200,exact unary op remap,alternative high-level unary function mapping,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex200,shared special-case shell,shared special-case decode plus residual correction,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex200,grouped selected-bit correction,shared selected-output correction trees,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex201,exact unary op remap,alternative high-level unary function mapping,shared,auto_seed_from_gap_index,low,wildcard,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex201,shared special-case shell,shared special-case decode plus residual correction,shared,auto_seed_from_gap_index,medium,exploit,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex201,grouped selected-bit correction,shared selected-output correction trees,shared,auto_seed_from_gap_index,medium,explore,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex203,exact unary op remap,alternative high-level unary function mapping,shared,auto_seed_from_gap_index,low,wildcard,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex203,shared special-case shell,shared special-case decode plus residual correction,shared,auto_seed_from_gap_index,medium,exploit,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex203,grouped selected-bit correction,shared selected-output correction trees,shared,auto_seed_from_gap_index,medium,explore,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex204,exact unary op remap,alternative high-level unary function mapping,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex204,shared special-case shell,shared special-case decode plus residual correction,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex204,grouped selected-bit correction,shared selected-output correction trees,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex205,exact unary op remap,alternative high-level unary function mapping,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex205,shared special-case shell,shared special-case decode plus residual correction,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex205,grouped selected-bit correction,shared selected-output correction trees,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex218,exact unary op remap,alternative high-level unary function mapping,shared,auto_seed_from_gap_index,low,wildcard,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex218,shared special-case shell,shared special-case decode plus residual correction,shared,auto_seed_from_gap_index,medium,exploit,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex218,grouped selected-bit correction,shared selected-output correction trees,shared,auto_seed_from_gap_index,medium,explore,medium,proposed,add diverse frontend seeds before deeper backend,build_frontend_campaign_index.py,auto
ex223,exact unary op remap,alternative high-level unary function mapping,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex223,shared special-case shell,shared special-case decode plus residual correction,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex223,grouped selected-bit correction,shared selected-output correction trees,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex224,exact unary op remap,alternative high-level unary function mapping,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex224,shared special-case shell,shared special-case decode plus residual correction,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex224,grouped selected-bit correction,shared selected-output correction trees,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex225,exact unary op remap,alternative high-level unary function mapping,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex225,shared special-case shell,shared special-case decode plus residual correction,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex225,grouped selected-bit correction,shared selected-output correction trees,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex240,FP8 format/rounding variant inference,field-split decode with shared rounding predicates,shared,auto_seed_from_gap_index,medium,exploit,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex240,alternative saturation/FTZ/DAZ model,shared special-case shell,shared,auto_seed_from_gap_index,medium,explore,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
ex240,non-PPT conversion hypothesis,per-output truth clustering then shared predicates,shared,auto_seed_from_gap_index,low,wildcard,high,proposed,rethink high-level description and shared-structure RTL,build_frontend_campaign_index.py,auto
