case,domain,stage,method_hint,method_signature,run_count,best_adp,current_best_adp,reference_adp,ratio_to_reference,ratio_to_current_best,outcome,failure_reason,reuse_policy,judgment_confidence,next_action,case_notes_paths,summary_csvs,evidence_paths,source_roots,runs
ex200,bf16,backend,backend_portfolio_v1_abc_smoke,ex200|backend|backend_portfolio_v1_abc_smoke,2,58528,47698,40052,1.461300,1.227054,equivalent_but_gap_remains,verified result still has a large reference gap,repeat_only_with_new_structure,medium,Use only if the new attempt changes decomposition or shared intermediates.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,student/runs/bf16/ex200_backend_portfolio_v1_abc_smoke_20260610_1706/results/summary.csv;student/runs/bf16/ex200_backend_portfolio_v1_abc_smoke_20260610_1712/results/summary.csv,student/runs/bf16/ex200_backend_portfolio_v1_abc_smoke_20260610_1706/results/summary.csv;student/runs/bf16/ex200_backend_portfolio_v1_abc_smoke_20260610_1712/results/summary.csv;student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1706;student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1712,student/runs;student/work,ex200_backend_portfolio_v1_abc_smoke_20260610_1706;ex200_backend_portfolio_v1_abc_smoke_20260610_1712
ex200,bf16,backend,backend_portfolio_v1_full,ex200|backend|backend_portfolio_v1_full,1,53805,47698,40052,1.343379,1.128035,equivalent_but_gap_remains,verified result still has a large reference gap,repeat_only_with_new_structure,medium,Use only if the new attempt changes decomposition or shared intermediates.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,student/runs/bf16/ex200_ex219_backend_portfolio_v1_full_20260610_1738/results/summary.csv,student/runs/bf16/ex200_ex219_backend_portfolio_v1_full_20260610_1738/results/summary.csv;student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738,student/runs;student/work,ex200_ex219_backend_portfolio_v1_full_20260610_1738
ex200,bf16,backend,backend_portfolio_v1_seed_smoke,ex200|backend|backend_portfolio_v1_seed_smoke,3,63189,47698,40052,1.577674,1.324773,equivalent_but_bad_qor,verified result is far from reference,do_not_repeat_as_is,medium,Do not repeat this direction unchanged; rethink high-level structure or sharing.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,student/runs/bf16/ex200_backend_portfolio_v1_seed_smoke_20260610_1658/results/summary.csv;student/runs/bf16/ex200_backend_portfolio_v1_seed_smoke_20260610_1702/results/summary.csv;student/runs/bf16/ex200_backend_portfolio_v1_seed_smoke_20260610_1710/results/summary.csv,student/runs/bf16/ex200_backend_portfolio_v1_seed_smoke_20260610_1658/results/summary.csv;student/runs/bf16/ex200_backend_portfolio_v1_seed_smoke_20260610_1702/results/summary.csv;student/runs/bf16/ex200_backend_portfolio_v1_seed_smoke_20260610_1710/results/summary.csv;student/work/ex200_backend_portfolio_v1_seed_smoke_20260610_1658;student/work/ex200_backend_portfolio_v1_seed_smoke_20260610_1702;student/work/ex200_backend_portfolio_v1_seed_smoke_20260610_1710,student/runs;student/work,ex200_backend_portfolio_v1_seed_smoke_20260610_1658;ex200_backend_portfolio_v1_seed_smoke_20260610_1702;ex200_backend_portfolio_v1_seed_smoke_20260610_1710
ex200,bf16,backend,backend_portfolio_v2_all_tools_smoke,ex200|backend|backend_portfolio_v2_all_tools_smoke,1,53235,47698,40052,1.329147,1.116085,equivalent_but_gap_remains,verified result still has a large reference gap,repeat_only_with_new_structure,medium,Use only if the new attempt changes decomposition or shared intermediates.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,student/runs/bf16/ex200_backend_portfolio_v2_all_tools_smoke_20260610_1917/results/summary.csv,student/runs/bf16/ex200_backend_portfolio_v2_all_tools_smoke_20260610_1917/results/summary.csv;student/work/ex200_backend_portfolio_v2_all_tools_smoke_20260610_1917,student/runs;student/work,ex200_backend_portfolio_v2_all_tools_smoke_20260610_1917
ex200,bf16,backend,backend_portfolio_v2_cycles3_jobs16,ex200|backend|backend_portfolio_v2_cycles3_jobs16,1,52830,47698,40052,1.319035,1.107594,equivalent_but_gap_remains,verified result still has a large reference gap,repeat_only_with_new_structure,medium,Use only if the new attempt changes decomposition or shared intermediates.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,student/runs/bf16/ex200_ex219_backend_portfolio_v2_cycles3_jobs16_20260611_0753/results/summary.csv,student/runs/bf16/ex200_ex219_backend_portfolio_v2_cycles3_jobs16_20260611_0753/results/summary.csv,student/runs,ex200_ex219_backend_portfolio_v2_cycles3_jobs16_20260611_0753
ex200,bf16,backend,backend_portfolio_v2_cycles3_jobs16_20260611_0753_curr,ex200|backend|backend_portfolio_v2_cycles3_jobs16_20260611_0753_curr,1,,47698,40052,,,unscored_artifact,no summary ADP available from indexed artifact,inspect_before_reusing,low,Open the evidence path or case notes before deciding whether to repeat.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,,student/work/ex200_ex219_backend_portfolio_v2_cycles3_jobs16_20260611_0753_curr,student/work,ex200_ex219_backend_portfolio_v2_cycles3_jobs16_20260611_0753_curr
ex200,bf16,backend,backend_portfolio_v2_final_deepsyn_skip_smoke,ex200|backend|backend_portfolio_v2_final_deepsyn_skip_smoke,1,53805,47698,40052,1.343379,1.128035,equivalent_but_gap_remains,verified result still has a large reference gap,repeat_only_with_new_structure,medium,Use only if the new attempt changes decomposition or shared intermediates.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,student/runs/bf16/ex200_backend_portfolio_v2_final_deepsyn_skip_smoke_20260610_2142/results/summary.csv,student/runs/bf16/ex200_backend_portfolio_v2_final_deepsyn_skip_smoke_20260610_2142/results/summary.csv;student/work/ex200_backend_portfolio_v2_final_deepsyn_skip_smoke_20260610_2142,student/runs;student/work,ex200_backend_portfolio_v2_final_deepsyn_skip_smoke_20260610_2142
ex200,bf16,backend,backend_portfolio_v2_full,ex200|backend|backend_portfolio_v2_full,2,52740,47698,40052,1.316788,1.105707,equivalent_but_gap_remains,verified result still has a large reference gap,repeat_only_with_new_structure,medium,Use only if the new attempt changes decomposition or shared intermediates.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,student/runs/bf16/ex200_ex219_backend_portfolio_v2_full_20260610_2152/results/summary.csv,student/runs/bf16/ex200_ex219_backend_portfolio_v2_full_20260610_2152/results/summary.csv;student/work/ex200_ex219_backend_portfolio_v2_full_20260610_1950;student/work/ex200_ex219_backend_portfolio_v2_full_20260610_2152,student/runs;student/work,ex200_ex219_backend_portfolio_v2_full_20260610_1950;ex200_ex219_backend_portfolio_v2_full_20260610_2152
ex200,bf16,backend,backend_portfolio_v2_seed_resume_smoke,ex200|backend|backend_portfolio_v2_seed_resume_smoke,1,53805,47698,40052,1.343379,1.128035,equivalent_but_gap_remains,verified result still has a large reference gap,repeat_only_with_new_structure,medium,Use only if the new attempt changes decomposition or shared intermediates.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,student/runs/bf16/ex200_ex202_backend_portfolio_v2_seed_resume_smoke_20260610_1917/results/summary.csv,student/runs/bf16/ex200_ex202_backend_portfolio_v2_seed_resume_smoke_20260610_1917/results/summary.csv;student/work/ex200_ex202_backend_portfolio_v2_seed_resume_smoke_20260610_1917,student/runs;student/work,ex200_ex202_backend_portfolio_v2_seed_resume_smoke_20260610_1917
ex200,bf16,backend,backend_v3_ga,ex200|backend|backend_v3_ga,1,50848,47698,40052,1.269550,1.066041,equivalent_but_gap_remains,verified result still has a large reference gap,repeat_only_with_new_structure,medium,Use only if the new attempt changes decomposition or shared intermediates.,student/cases/ex200_ex219_bf16/CURRENT_PROGRESS.md;student/cases/ex200_ex219_bf16/README.md;student/cases/ex200_ex219_bf16/ex200/frontend_attempts.md,student/runs/bf16/ex200_ex219_backend_v3_ga_20260613_0956/results/summary.csv,student/runs/bf16/ex200_ex219_backend_v3_ga_20260613_0956/results/summary.csv;student/work/ex200_ex219_backend_v3_ga_20260613_0956,student/runs;student/work,ex200_ex219_backend_v3_ga_20260613_0956
