case,domain,status,assigned_agent,current_focus,next_hypothesis,next_representation,budget,blocked_reason,last_update,priority,current_best_adp,reference_adp,ratio_to_reference,recommendation
ex200,bf16,round2_evaluated_gap_remains,unary-agent,BF16 sparse residual source-level compression evaluated by official evaluate.py,derive smaller semantic residual formulas instead of sparse truth-table residuals,shared exponent-base normalizer or selected-bit residual predicate,continue,,2026-06-12 unary-agent shard,frontend_high,47698,40052,1.190902,rethink high-level description and shared-structure RTL
ex201,bf16,queued,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,medium,,auto,frontend_medium,19513,16300,1.197117,add diverse frontend seeds before deeper backend
ex202,bf16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,backend_close,45080,43344,1.040052,case is close; prefer backend micro-optimization
ex203,bf16,queued,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,medium,,auto,frontend_medium,64800,56948,1.137880,add diverse frontend seeds before deeper backend
ex204,bf16,round26_tested_no_frontend_best,mixed-r24,round26 official evaluate.py produced no frontend improvement; r24 improved bf16 log2 arithbase delta bitgroup flow to 24576,avoid r26 nonwinning family ex204_r26_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_pla_abc_g_gates ADP=25976; continue only with materially different semantic/shared-structure hypothesis,avoid equality/full-run selected-bit replays that raise delay above 16,medium,reference gap remains after official frontend improvement,2026-06-13 round26 coordinator merge,frontend_high,19586,15180,1.290250,rethink high-level description and shared-structure RTL
ex205,bf16,round97_frontend_improved_gap_remains,sub-bf16-logmodel-r97,"round97 official frontend improvement accepted: selected bit14+bit15 field decode ADP 71104->71040, still above <1.5 target 70691",current field-decode selected-bit family gives only tiny gain; continue only with materially different log10 semantic/high-level sharing,avoid more e3m3 selected-bit overlays; seek exponent/mantissa formula or alternative log10 residual representation,continue,small 64 ADP improvement not enough for <1.5 target,2026-06-14 round97 coordinator merge,frontend_high,63440,47128,1.346121,rethink high-level description and shared-structure RTL
ex206,bf16,low_priority,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,hold,,auto,already_beat_or_low_priority,444193,539049,0.824031,do not spend frontend time unless polishing
ex207,bf16,low_priority,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,hold,,auto,already_beat_or_low_priority,518760,627817,0.826292,do not spend frontend time unless polishing
ex208,bf16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,already_beat_or_low_priority,24167,24505,0.986207,do not spend frontend time unless polishing
ex209,bf16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,already_beat_or_low_priority,6941,7320,0.948224,do not spend frontend time unless polishing
ex210,bf16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,already_beat_or_low_priority,27014,27053,0.998558,do not spend frontend time unless polishing
ex211,bf16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,backend_close,2160,2136,1.011236,case is close; prefer backend micro-optimization
ex212,bf16,low_priority,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,hold,,auto,already_beat_or_low_priority,2169,2304,0.941406,do not spend frontend time unless polishing
ex213,bf16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,backend_close,3030,2900,1.044828,case is close; prefer backend micro-optimization
ex214,bf16,round96_frontend_target_met,sub-bf16-smallgap-flow-r96,round96 official frontend improvement accepted: bit13 exponent/mantissa formula ADP 3707->3564 crosses <1.5x target,frontend target met; revisit only for class-wide polishing or if trying to beat backend/reference further,"start from bit13 exponent/mantissa formula recut, not legacy duplicated casez/cmp replay",low,,2026-06-14 round96 coordinator merge,backend_close,2538,2424,1.047030,case is close; prefer backend micro-optimization
ex215,bf16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,backend_close,3290,3150,1.044444,case is close; prefer backend micro-optimization
ex216,bf16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,already_beat_or_low_priority,3177,3357,0.946381,do not spend frontend time unless polishing
ex217,bf16,low_priority,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,hold,,auto,already_beat_or_low_priority,5148,5785,0.889888,do not spend frontend time unless polishing
ex218,bf16,round26_tested_no_frontend_best,round19,round26 official evaluate.py produced no frontend improvement; round19 official frontend improvement accepted: ex218_field_selector_abc_g_aig ADP 6071->5941,avoid r26 nonwinning family ex218_r26_bf16_recip_cube_delta_pair_mode_hilo4_bits_8_15_bh2_abc_g_gates ADP=8970; continue only with materially different semantic/shared-structure hypothesis,"lower-delay/lower-area high-level source, not same round19 replay",continue,,2026-06-13 round26 coordinator merge,frontend_medium,3660,3222,1.135940,add diverse frontend seeds before deeper backend
ex219,bf16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,already_beat_or_low_priority,5424,5640,0.961702,do not spend frontend time unless polishing
ex220,fp16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,backend_close,187452,180404,1.039068,case is close; prefer backend micro-optimization
ex221,fp16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,backend_close,109939,105655,1.040547,case is close; prefer backend micro-optimization
ex222,fp16,backend_or_low_frontend,,derive exact unary high-level model and shared special-case/residual structure,minimal unary semantic shell plus shared output residual correction,shared special-case shell + grouped output correction,low,,auto,backend_close,184603,173621,1.063253,case is close; prefer backend micro-optimization
