round,run_id,agent_id,case,candidate_id,family,method_signature,stage,status,reason,verilog_path,aig_path,log_path,notes,area,delay,adp,frontend_adp,current_adp,reference_adp,improves_frontend,beats_current,beats_reference,eval_log,shard_csv,hypothesis,variant
79,frontend_source_parallel_round79_20260613_1838,sub-fp8-source-r79,ex247,ex247_r79_keep_highfanout_bitout,keep highfanout semantic wires plus bit-level output assignment,ex247|E5M2FN_packed_low-over-high_division|keep_highfanout_plus_bit_output|r78_highfanout_semantic_keeps_combined_with_distinct_final_bit_drivers|repo_yosys_frontend_default|official_evaluate|not_r78_keep_only_or_bitout_only,official_evaluate,EQUIVALENT_NONWINNING,did not improve frontend target,student/work/frontend_source_parallel_round79_20260613_1838/sub-fp8-source-r79/ex247/ex247_r79_keep_highfanout_bitout/verilog/ex247_r79_keep_highfanout_bitout.v,student/work/frontend_source_parallel_round79_20260613_1838/sub-fp8-source-r79/ex247/ex247_r79_keep_highfanout_bitout/official_output/ex247.aig,student/work/frontend_source_parallel_round79_20260613_1838/sub-fp8-source-r79/ex247/ex247_r79_keep_highfanout_bitout/logs/ex247_r79_keep_highfanout_bitout.evaluate.py.log,source-only; synth_sec=0.324; eval_sec=0.464; synth_code=0; eval_code=0,363,23,8349,7291,6804,2975,0,0,0,student/work/frontend_source_parallel_round79_20260613_1838/sub-fp8-source-r79/ex247/ex247_r79_keep_highfanout_bitout/logs/ex247_r79_keep_highfanout_bitout.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp8-source-r79/failed_hypotheses.csv,E5M2FN packed low-over-high division,keep highfanout semantic wires plus bit-level output assignment
79,frontend_source_parallel_round79_20260613_1838,sub-fp8-source-r79,ex246,ex246_r79_keep_highfanout_bitout,keep highfanout semantic wires plus bit-level output assignment,ex246|E5M2FN_packed_multiply_high_byte_times_low_byte|keep_highfanout_plus_bit_output|r78_highfanout_semantic_keeps_combined_with_distinct_final_bit_drivers|repo_yosys_frontend_default|official_evaluate|not_r78_keep_only_or_bitout_only,official_evaluate,EQUIVALENT_NONWINNING,did not improve frontend target,student/work/frontend_source_parallel_round79_20260613_1838/sub-fp8-source-r79/ex246/ex246_r79_keep_highfanout_bitout/verilog/ex246_r79_keep_highfanout_bitout.v,student/work/frontend_source_parallel_round79_20260613_1838/sub-fp8-source-r79/ex246/ex246_r79_keep_highfanout_bitout/official_output/ex246.aig,student/work/frontend_source_parallel_round79_20260613_1838/sub-fp8-source-r79/ex246/ex246_r79_keep_highfanout_bitout/logs/ex246_r79_keep_highfanout_bitout.evaluate.py.log,source-only; synth_sec=0.523; eval_sec=0.476; synth_code=0; eval_code=0,350,25,8750,6888,5984,2805,0,0,0,student/work/frontend_source_parallel_round79_20260613_1838/sub-fp8-source-r79/ex246/ex246_r79_keep_highfanout_bitout/logs/ex246_r79_keep_highfanout_bitout.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp8-source-r79/failed_hypotheses.csv,E5M2FN packed multiply high byte times low byte,keep highfanout semantic wires plus bit-level output assignment
79,frontend_source_parallel_round79_20260613_1838,sub-fp8-source-r79,ex244,ex244_r79_keep_highfanout_bitout,keep highfanout semantic wires plus bit-level output assignment,ex244|E4M3FN_packed_hypot_abs_high_low|keep_highfanout_plus_bit_output|r78_highfanout_semantic_keeps_combined_with_distinct_final_bit_drivers|repo_yosys_frontend_default|official_evaluate|not_r78_keep_only_or_bitout_only,official_evaluate,EQUIVALENT_NONWINNING,did not improve frontend target,student/work/frontend_source_parallel_round79_20260613_1838/sub-fp8-source-r79/ex244/ex244_r79_keep_highfanout_bitout/verilog/ex244_r79_keep_highfanout_bitout.v,student/work/frontend_source_parallel_round79_20260613_1838/sub-fp8-source-r79/ex244/ex244_r79_keep_highfanout_bitout/official_output/ex244.aig,student/work/frontend_source_parallel_round79_20260613_1838/sub-fp8-source-r79/ex244/ex244_r79_keep_highfanout_bitout/logs/ex244_r79_keep_highfanout_bitout.evaluate.py.log,source-only; synth_sec=0.289; eval_sec=0.499; synth_code=0; eval_code=0,309,37,11433,9120,8928,4272,0,0,0,student/work/frontend_source_parallel_round79_20260613_1838/sub-fp8-source-r79/ex244/ex244_r79_keep_highfanout_bitout/logs/ex244_r79_keep_highfanout_bitout.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp8-source-r79/failed_hypotheses.csv,"E4M3FN packed hypot abs(high),abs(low)",keep highfanout semantic wires plus bit-level output assignment
79,frontend_source_parallel_round79_20260613_1838,sub-fp8-source-r79,ex249,ex249_r79_delta_bit_split_keep,split compact delta semantic wire into kept bit predicates,ex249|E5M2FN_hypot_abs_high_low|delta_bit_split_keep|r78_sparse_semantic_keep_with_delta_raw_and_delta_split_into_kept_bit_predicates|repo_yosys_frontend_default|official_evaluate|not_r78_sparse_keep_as_is,official_evaluate,EQUIVALENT_NONWINNING,did not improve frontend target,student/work/frontend_source_parallel_round79_20260613_1838/sub-fp8-source-r79/ex249/ex249_r79_delta_bit_split_keep/verilog/ex249_r79_delta_bit_split_keep.v,student/work/frontend_source_parallel_round79_20260613_1838/sub-fp8-source-r79/ex249/ex249_r79_delta_bit_split_keep/official_output/ex249.aig,student/work/frontend_source_parallel_round79_20260613_1838/sub-fp8-source-r79/ex249/ex249_r79_delta_bit_split_keep/logs/ex249_r79_delta_bit_split_keep.evaluate.py.log,source-only; synth_sec=0.233; eval_sec=0.464; synth_code=0; eval_code=0,177,30,5310,4342,3339,2079,0,0,0,student/work/frontend_source_parallel_round79_20260613_1838/sub-fp8-source-r79/ex249/ex249_r79_delta_bit_split_keep/logs/ex249_r79_delta_bit_split_keep.evaluate.py.log,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp8-source-r79/failed_hypotheses.csv,"E5M2FN hypot abs(high,low)",split compact delta semantic wire into kept bit predicates
79,frontend_source_parallel_round79_20260613_1838,sub-fp8-source-r79,ex241,,mid source-boundary/output grouping,,source_selection,SKIPPED_DO_NOT_REPEAT_AS_IS,"r77/r78 already cover keep_boundary, sparse_semantic_keep, grouped_vector, perbit_decomp, split_44, split_field, and flat_staged_core; notes ask for smaller product/rounding basis, not more wrappers",,,,bounded r79 skip after r75-r78 record review,,,,14094,11592,7224,0,0,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp8-source-r79/failed_hypotheses.csv,,
79,frontend_source_parallel_round79_20260613_1838,sub-fp8-source-r79,ex240,,mid source-boundary/output grouping,,source_selection,SKIPPED_DO_NOT_REPEAT_AS_IS,r77/r78 already cover keep_boundary/sparse keep/output splits; r78 source already has sign/magnitude bit assignment; useful work needs smaller diff-sign cancellation normalizer,,,,bounded r79 skip after r75-r78 record review,,,,26230,21046,13299,0,0,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp8-source-r79/failed_hypotheses.csv,,
79,frontend_source_parallel_round79_20260613_1838,sub-fp8-source-r79,ex245,,mid source-boundary/output grouping,,source_selection,SKIPPED_DO_NOT_REPEAT_AS_IS,"r77/r78 already cover grouped_vector/perbit_decomp/split_44/split_field; useful work needs active-region residual change, not another shell/output wrapper",,,,bounded r79 skip after r75-r78 record review,,,,22077,17319,11050,0,0,0,,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-fp8-source-r79/failed_hypotheses.csv,,
,,sub-unknown-large-bitmix-r79,ex299,ex299_r79_static_celllocal_hightail_10_11,,ex299|round79_selected_output_cofactor_source_mix|ex299_r79_static_celllocal_hightail_10_11|celllocal_high_tail_bits_10_11_excluding_8_9|yosys_internal_abc_g_aig|official_evaluate|bounded_distinct_from_r78_pair89,,STOPPED_AFTER_SYNTH_SCRIPT_GENERATED,,student/work/frontend_source_parallel_round79_20260613_1838/sub-unknown-large-bitmix-r79/ex299/verilog/ex299_r79_static_celllocal_hightail_10_11.v,,student/work/frontend_source_parallel_round79_20260613_1838/sub-unknown-large-bitmix-r79/ex299/logs/ex299_r79_static_celllocal_hightail_10_11.yosys.ys,Stopped before AIG/evaluate; no official row claimed,,,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-unknown-large-bitmix-r79/failed_hypotheses.csv,bounded selected-output/cofactor source mix,celllocal_high_tail_bits_10_11_excluding_8_9
,,sub-unknown-large-bitmix-r79,ex299,ex299_r79_r78best_pairsel_add7,,ex299|round79_selected_output_cofactor_source_mix|ex299_r79_r78best_pairsel_add7|r78_celllocal_pair89_plus_pairsel_bit_7|yosys_internal_abc_g_aig|official_evaluate|bounded_distinct_from_r78_pair89,,SKIPPED_NOT_CHEAP_STOP_REQUEST,,,,,Skipped after generic wrappers proved expensive; no official row claimed,,,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-unknown-large-bitmix-r79/failed_hypotheses.csv,bounded selected-output/cofactor source mix,r78_celllocal_pair89_plus_pairsel_bit_7
,,sub-unknown-large-bitmix-r79,ex299,ex299_r79_r78best_pairsel_add10,,ex299|round79_selected_output_cofactor_source_mix|ex299_r79_r78best_pairsel_add10|r78_celllocal_pair89_plus_pairsel_bit_10|yosys_internal_abc_g_aig|official_evaluate|bounded_distinct_from_r78_pair89,,SKIPPED_NOT_CHEAP_STOP_REQUEST,,,,,Skipped after generic wrappers proved expensive; no official row claimed,,,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round79_20260613_1838/agent_shards/sub-unknown-large-bitmix-r79/failed_hypotheses.csv,bounded selected-output/cofactor source mix,r78_celllocal_pair89_plus_pairsel_bit_10
