case,domain,agent_id,hypothesis,variant,method_signature,stage,status,reason,verilog_path,aig_path,log_path,next_action,notes
ex200,bf16,bf16-agent,,,ex200|bf16_exp_unary_semantic_shell|separate_output_fields|shared special-case decode plus direct mantissa LUT|yosys_default_abc_and|DAZ+exp+BF16_RNE+FTZ|separate sign exponent mantissa outputs,,not_equivalent_or_synthesis_failed,"SynthError: Yosys failed with exit code 1:
/----------------------------------------------------------------------------\
 |  yosys -- Yosys Open SYnthesis Suite                                       |
 |  Copyright (C) 2012 - 2026  Claire Xenia Wolf <claire@yosyshq.com>         |
 |  Distributed under an ISC-like license, type ""license"" to see terms        |
 \----------------------------------------------------------------------------/
 Yosys 0.65 (git sha1 aec814bdf3071f7e0fd0fbe43f7f711e99d01e24, g++ 14.3.0-19 -fvisibility-inlines-hidden -fmessage-length=0 -march=nocona -mtune=haswell -ftree-vectorize -fPIC -fstack-protector-strong -fno-plt -O2 -ffunction-sections -fdebug-prefix-map=/home/conda/feedstock_root/build_artifacts/yosys_1778591527500/work=/usr/local/src/conda/yosys-0.65 -fdebug-prefix-map=/home/b10507053/ALS_Final_Project/student/tools/conda-env=/usr/local/src/conda-prefix -fPIC -O3) [conda-forge/yosys-feedstock]

-- Executing script file `/tmp/als_yosys_synth_83b3zej4.y",,,student/runs/bf16/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/results/candidates.csv,avoid this exact source factoring unless corrected semantically,"SynthError: Yosys failed with exit code 1:
/----------------------------------------------------------------------------\
 |  yosys -- Yosys Open SYnthesis Suite                                       |
 |  Copyright (C) 2012 - 2026  Claire Xenia Wolf <claire@yosyshq.com>         |
 |  Distributed under an ISC-like license, type ""license"" to see terms        |
 \----------------------------------------------------------------------------/
 Yosys 0.65 (git sha1 aec814bdf3071f7e0fd0fbe43f7f711e99d01e24, g++ 14.3.0-19 -fvisibility-inlines-hidden -fmessage-length=0 -march=nocona -mtune=haswell -ftree-vectorize -fPIC -fstack-protector-strong -fno-plt -O2 -ffunction-sections -fdebug-prefix-map=/home/conda/feedstock_root/build_artifacts/yosys_1778591527500/work=/usr/local/src/conda/yosys-0.65 -fdebug-prefix-map=/home/b10507053/ALS_Final_Project/student/tools/conda-env=/usr/local/src/conda-prefix -fPIC -O3) [conda-forge/yosys-feedstock]

-- Executing script file `/tmp/als_yosys_synth_83b3zej4.y"
ex200,bf16,bf16-agent,,,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_d20|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc delay target 20
ex200,bf16,bf16-agent,,,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_d21|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc delay target 21
ex200,bf16,bf16-agent,,,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_d22|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc delay target 22
ex200,bf16,bf16-agent,,,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_d24|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc delay target 24
ex200,bf16,bf16-agent,,,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_default_recheck|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",current project Yosys script sanity recheck
ex200,bf16,bf16-agent,,,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_extra_opt_share|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex200,bf16,bf16-agent,,,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_late_flatten|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",move flatten after techmap
ex200,bf16,bf16-agent,,,ex200|bf16_exp_unary_semantic_shell|shared_special_case_shell|shared special-case decode plus direct mantissa LUT|yosys_abc_g_gates|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/source_synthflow_candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",Yosys abc gate set gates
ex200,bf16,bf16-agent,,,ex200|bf16_exp_unary_semantic_shell|shared_special_case_shell|shared special-case decode plus direct mantissa LUT|yosys_default_abc_and|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,equivalent_but_no_frontend_improvement,best candidate in this group did not beat current frontend ADP,,,student/runs/bf16/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/results/candidates.csv,"change high-level decomposition, sharing, or output grouping before repeating",truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one casez all-special items=3863; exact over 65536 inputs
