case,domain,agent_id,candidate_id,method_signature,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes
ex200,bf16,bf16-agent,ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_aig|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,OK,,3702,16,59232,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/official_eval/ex200_semantic_exp_default_one_parallel_casez_saturation_abc_g_aig/evaluate.py.log,best_current_seed_synthflow
ex200,bf16,bf16-agent,ex200_semantic_exp_default_one_casez_all_special_abc_g_aig,ex200|bf16_exp_unary_semantic_shell|shared_special_case_shell|shared special-case decode plus direct mantissa LUT|yosys_abc_g_aig|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,OK,,3737,16,59792,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/aigs/ex200_semantic_exp_default_one_casez_all_special_abc_g_aig.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex200/official_eval/ex200_semantic_exp_default_one_casez_all_special_abc_g_aig/evaluate.py.log,best_source_variant_synthflow
ex204,bf16,bf16-agent,ex204_log2_arithbase_delta_hilo3_bits_11_14_bh3_abc_g_gates,ex204|bf16_log2_arithbase_delta_correction|mantissa_hilo_grouped_lut|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_gates|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,OK,,1510,17,25670,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/aigs/ex204_log2_arithbase_delta_hilo3_bits_11_14_bh3_abc_g_gates.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/official_eval/ex204_log2_arithbase_delta_hilo3_bits_11_14_bh3_abc_g_gates/evaluate.py.log,best_source_variant_synthflow
ex204,bf16,bf16-agent,ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_gates,ex204|bf16_log2_arithbase_delta_correction|current_frontend_seed_copy|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_gates|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,OK,,1534,17,26078,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/aigs/ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_gates.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex204/official_eval/ex204_log2_arithbase_delta_hilo3_formula_bits_11_14_abc_g_gates/evaluate.py.log,best_current_seed_synthflow
ex205,bf16,bf16-agent,ex205_sep_fields_e3_m3_s0_bits_15_bh1_abc_g_aig,ex205|bf16_log10_field_decode|current_frontend_seed_copy|shared sign/exponent/mantissa field decode plus sign predicate|yosys_abc_g_aig|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,OK,,4444,16,71104,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex205/aigs/ex205_sep_fields_e3_m3_s0_bits_15_bh1_abc_g_aig.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex205/official_eval/ex205_sep_fields_e3_m3_s0_bits_15_bh1_abc_g_aig/evaluate.py.log,best_current_seed_synthflow
ex205,bf16,bf16-agent,ex205_hilo3_word_mode_abc_g_aig,ex205|bf16_log10_field_decode|mantissa_hilo_grouped_lut|shared sign/exponent/mantissa field decode plus sign predicate|yosys_abc_g_aig|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|mantissa hi/lo grouped word outputs,OK,,4490,16,71840,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex205/aigs/ex205_hilo3_word_mode_abc_g_aig.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/bf16-agent/ex205/official_eval/ex205_hilo3_word_mode_abc_g_aig/evaluate.py.log,best_source_variant_synthflow
ex240,float_fp8,float-fp8-agent,ex240_semantic_add_same_grs_diff_param8_synth_preset_aig_fp8agent,ex240|E4M3FN packed add|same-sign GRS formula plus compact diff normalizer|shared byte decode gap clamp and sign/magnitude selection|synth_preset_aig|exact_e4m3fn_add_high_plus_low|full_output_shared_paths,OK,1,590,51,30090,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex240/verilog/ex240_semantic_add_same_grs_diff_param8.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex240/aigs/ex240_semantic_add_same_grs_diff_param8_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex240/logs/ex240_semantic_add_same_grs_diff_param8_synth_preset_aig_fp8agent.evaluate.log,
ex240,float_fp8,float-fp8-agent,ex240_semantic_add_same_grs_diff_param8_abc_g_aig_fp8agent,ex240|E4M3FN packed add|same-sign GRS formula plus compact diff normalizer|shared byte decode gap clamp and sign/magnitude selection|abc_g_aig|exact_e4m3fn_add_high_plus_low|full_output_shared_paths,OK,1,626,50,31300,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex240/verilog/ex240_semantic_add_same_grs_diff_param8.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex240/aigs/ex240_semantic_add_same_grs_diff_param8_abc_g_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex240/logs/ex240_semantic_add_same_grs_diff_param8_abc_g_aig_fp8agent.evaluate.log,
ex240,float_fp8,float-fp8-agent,ex240_semantic_add_nested_gap_synth_preset_aig_fp8agent,ex240|E4M3FN packed add|nested gap/max exponent table and significand pair correction|shared sorted magnitude decode with local table correction|synth_preset_aig|exact_e4m3fn_add_high_plus_low|nested_shared_table,OK,1,1624,38,61712,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex240/verilog/ex240_semantic_add_nested_gap.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex240/aigs/ex240_semantic_add_nested_gap_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex240/logs/ex240_semantic_add_nested_gap_synth_preset_aig_fp8agent.evaluate.log,
ex241,float_fp8,float-fp8-agent,ex241_semantic_mul_product_nested_exp_synth_preset_aig_fp8agent,ex241|E4M3FN packed multiply|outer exponent sum table with inner 4x4 product table|shared sign xor exponent sum and product key|synth_preset_aig|exact_e4m3fn_mul_high_times_low|nested_shared_table,OK,1,536,29,15544,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex241/verilog/ex241_semantic_mul_product_nested_exp.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex241/aigs/ex241_semantic_mul_product_nested_exp_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex241/logs/ex241_semantic_mul_product_nested_exp_synth_preset_aig_fp8agent.evaluate.log,
ex241,float_fp8,float-fp8-agent,ex241_semantic_mul_product_nested_exp_abc_g_aig_fp8agent,ex241|E4M3FN packed multiply|outer exponent sum table with inner 4x4 product table|shared sign xor exponent sum and product key|abc_g_aig|exact_e4m3fn_mul_high_times_low|nested_shared_table,OK,1,548,29,15892,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex241/verilog/ex241_semantic_mul_product_nested_exp.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex241/aigs/ex241_semantic_mul_product_nested_exp_abc_g_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex241/logs/ex241_semantic_mul_product_nested_exp_abc_g_aig_fp8agent.evaluate.log,
ex241,float_fp8,float-fp8-agent,ex241_semantic_mul_product_param_exception_synth_preset_aig_fp8agent,ex241|E4M3FN packed multiply|product normalization formula with exact rounding exceptions|shared product and exponent-sum decode|synth_preset_aig|exact_e4m3fn_mul_high_times_low|formula_with_exception_overlay,OK,1,534,40,21360,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex241/verilog/ex241_semantic_mul_product_param_exception.v,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex241/aigs/ex241_semantic_mul_product_param_exception_synth_preset_aig_fp8agent.aig,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/float-fp8-agent/ex241/logs/ex241_semantic_mul_product_param_exception_synth_preset_aig_fp8agent.evaluate.log,
