case,domain,frontend_best_adp,frontend_best_area,frontend_best_delay,frontend_best_run,reference_adp,beats_reference,current_overall_adp,current_overall_source,current_overall_run,agent_result,next_recommendation
ex223,fp16,204193,10747,19,ex200_ex299_frontend_parallel_shared_20260612_1422,120549,0,189468,backend,ex220_ex239_backend_portfolio_v2_cycles3_jobs20_20260611_1448,frontend_best_improved,shallow arithmetic exponent-base plus mantissa-correction normalizer
ex224,fp16,96224,6014,16,ex200_ex299_frontend_parallel_shared_20260612_1422,64708,0,88800,backend,ex220_ex239_backend_portfolio_v2_cycles3_jobs20_20260611_1448,frontend_best_improved,only revisit with shallow normalizer; nested frontier confirmed within 1.5x reference
ex225,fp16,219070,11530,19,ex200_ex299_frontend_parallel_shared_20260612_1422,116676,0,205656,backend,ex220_ex239_backend_portfolio_v2_cycles3_jobs20_20260611_1448,frontend_best_improved,shallow arithmetic exponent-base plus mantissa-correction normalizer
ex240,float_fp8,30090,590,51,ex240_frontend_fp8_diff_grs_20260608_1401,13299,0,21046,backend,ex240_ex254_backend_portfolio_v2_cycles3_jobs20_20260611_2003,no_frontend_best_improvement,try new source-level arithmetic factoring; synth-flow probes and known alternative families did not beat frontend best
ex241,float_fp8,15544,536,29,ex241_ex242_ex243_frontend_fp8_nested_tables_fix_20260608_1330,7224,0,11592,backend,ex240_ex254_backend_portfolio_v2_cycles3_jobs20_20260611_2003,no_frontend_best_improvement,try new source-level arithmetic factoring; synth-flow probes and known alternative families did not beat frontend best
ex242,float_fp8,25320,1266,20,ex242_frontend_fp8_div_clean_sparse_20260608_1330,11900,0,18540,backend,ex240_ex254_backend_portfolio_v2_cycles3_jobs20_20260611_2003,no_frontend_best_improvement,try new source-level arithmetic factoring; synth-flow probes and known alternative families did not beat frontend best
ex244,float_fp8,10234,301,34,ex240_ex244_frontend_fp8_magbdd_deltaeff_20260608_1401,4272,0,8928,backend,ex240_ex254_backend_portfolio_v2_cycles3_jobs20_20260611_2003,no_frontend_best_improvement,try new source-level arithmetic factoring; synth-flow probes and known alternative families did not beat frontend best
ex245,float_fp8,23834,701,34,ex245_ex249_frontend_fp8_e5m2_curated_20260608_1715,11050,0,17319,backend,ex240_ex254_backend_portfolio_v2_cycles3_jobs20_20260611_2003,no_frontend_best_improvement,try new source-level arithmetic factoring; synth-flow probes and known alternative families did not beat frontend best
ex246,float_fp8,7502,341,22,ex246_frontend_fp8_e5m2_dc_neighbor12_20260608_2000,2805,0,5984,backend,ex240_ex254_backend_portfolio_v2_cycles3_jobs20_20260611_2003,no_frontend_best_improvement,try new source-level arithmetic factoring; synth-flow probes and known alternative families did not beat frontend best
ex247,float_fp8,9125,365,25,ex246_ex247_frontend_fp8_e5m2_bound_smallpat_20260608_2055,2975,0,6804,backend,ex240_ex254_backend_portfolio_v2_cycles3_jobs20_20260611_2003,no_frontend_best_improvement,try new source-level arithmetic factoring; synth-flow probes and known alternative families did not beat frontend best
