case,domain,agent_id,method_signature,shared_structure,sharing_scope,estimated_benefit,evidence_path,notes
ex200,bf16,bf16-agent,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_aig|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,full word output grouped by sign_exp/mant,,,
ex204,bf16,bf16-agent,ex204|bf16_log2_arithbase_delta_correction|mantissa_hilo_grouped_lut|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_gates|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,grouped word output with selected-bit overrides,,,
ex205,bf16,bf16-agent,ex205|bf16_log10_field_decode|current_frontend_seed_copy|shared sign/exponent/mantissa field decode plus sign predicate|yosys_abc_g_aig|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides,,grouped word output with selected-bit overrides,,,
ex240,float_fp8,float-fp8-agent,ex240|E4M3FN packed add|same-sign GRS formula plus compact diff normalizer|shared byte decode gap clamp and sign/magnitude selection|synth_preset_aig|exact_e4m3fn_add_high_plus_low|full_output_shared_paths,,full_output_shared_paths,OK,,OK
ex240,float_fp8,float-fp8-agent,ex240|E4M3FN packed add|same-sign GRS formula plus compact diff normalizer|shared byte decode gap clamp and sign/magnitude selection|abc_g_aig|exact_e4m3fn_add_high_plus_low|full_output_shared_paths,,full_output_shared_paths,OK,,OK
ex240,float_fp8,float-fp8-agent,ex240|E4M3FN packed add|nested gap/max exponent table and significand pair correction|shared sorted magnitude decode with local table correction|synth_preset_aig|exact_e4m3fn_add_high_plus_low|nested_shared_table,,nested_shared_table,OK,,OK
ex241,float_fp8,float-fp8-agent,ex241|E4M3FN packed multiply|outer exponent sum table with inner 4x4 product table|shared sign xor exponent sum and product key|synth_preset_aig|exact_e4m3fn_mul_high_times_low|nested_shared_table,,nested_shared_table,OK,,OK
ex241,float_fp8,float-fp8-agent,ex241|E4M3FN packed multiply|outer exponent sum table with inner 4x4 product table|shared sign xor exponent sum and product key|abc_g_aig|exact_e4m3fn_mul_high_times_low|nested_shared_table,,nested_shared_table,OK,,OK
ex241,float_fp8,float-fp8-agent,ex241|E4M3FN packed multiply|product normalization formula with exact rounding exceptions|shared product and exponent-sum decode|synth_preset_aig|exact_e4m3fn_mul_high_times_low|formula_with_exception_overlay,,formula_with_exception_overlay,OK,,OK
ex242,float_fp8,float-fp8-agent,ex242|E4M3FN packed low-over-high division|sparse exponent-delta and significand-pair field table|shared divisor special decode and quotient field table|synth_preset_aig|exact_e4m3fn_div_low_over_high|sparse_shared_field_table,,sparse_shared_field_table,OK,,OK
ex242,float_fp8,float-fp8-agent,ex242|E4M3FN packed low-over-high division|sparse exponent-delta and significand-pair field table|shared divisor special decode and quotient field table|abc_g_aig|exact_e4m3fn_div_low_over_high|sparse_shared_field_table,,sparse_shared_field_table,OK,,OK
ex242,float_fp8,float-fp8-agent,ex242|E4M3FN packed low-over-high division|compact quotient formula with per-bit exception overlay|shared exponent-delta quotient decode|synth_preset_aig|exact_e4m3fn_div_low_over_high|formula_with_bit_exception_overlay,,formula_with_bit_exception_overlay,OK,,OK
ex244,float_fp8,float-fp8-agent,ex244|E4M3FN packed hypot|max magnitude plus max-eff/gap/sig delta BDD|shared abs max/min decode and delta correction|synth_preset_aig|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_shared_bdd,,max_plus_delta_shared_bdd,OK,,OK
ex244,float_fp8,float-fp8-agent,ex244|E4M3FN packed hypot|max magnitude plus max-eff/gap/sig delta BDD|shared abs max/min decode and delta correction|abc_g_aig|exact_e4m3fn_hypot_abs_high_low|max_plus_delta_shared_bdd,,max_plus_delta_shared_bdd,OK,,OK
ex244,float_fp8,float-fp8-agent,ex244|E4M3FN packed hypot|max-eff threshold pack with parallel min-sig predicates|shared max/min decode and packed threshold predicates|synth_preset_aig|exact_e4m3fn_hypot_abs_high_low|threshold_delta_predicate_bits,,threshold_delta_predicate_bits,OK,,OK
ex245,float_fp8,float-fp8-agent,ex245|E5M2FN packed add|small-gap class formula|shared gap max/min significand decode|synth_preset_aig|exact_e5m2fn_add_high_plus_low|gap_class_shared_formula,,gap_class_shared_formula,OK,,OK
ex245,float_fp8,float-fp8-agent,ex245|E5M2FN packed add|small-gap class formula|shared gap max/min significand decode|abc_g_aig|exact_e5m2fn_add_high_plus_low|gap_class_shared_formula,,gap_class_shared_formula,OK,,OK
ex245,float_fp8,float-fp8-agent,ex245|E5M2FN packed add|decoded integer add/sub with RNE normalizer|shared signed magnitude arithmetic path|synth_preset_aig|exact_e5m2fn_add_high_plus_low|single_normalizer_full_output,,single_normalizer_full_output,OK,,OK
ex246,float_fp8,float-fp8-agent,ex246|E5M2FN packed multiply|product-class formula with seed12 unreachable-code completion|shared sign xor exponent sum product class|synth_preset_aig|exact_e5m2fn_mul_high_times_low|product_class_shared_formula,,product_class_shared_formula,OK,,OK
ex246,float_fp8,float-fp8-agent,ex246|E5M2FN packed multiply|product-class formula with seed12 unreachable-code completion|shared sign xor exponent sum product class|abc_g_aig|exact_e5m2fn_mul_high_times_low|product_class_shared_formula,,product_class_shared_formula,OK,,OK
ex246,float_fp8,float-fp8-agent,ex246|E5M2FN packed multiply|sigpair product-code table plus product-class completion|shared product-code decode and boundary reassembly|synth_preset_aig|exact_e5m2fn_mul_high_times_low|factored_product_code,,factored_product_code,OK,,OK
ex247,float_fp8,float-fp8-agent,ex247|E5M2FN packed low-over-high division|denominator-nested bound/smallpat classifier|shared denominator decode and low-underflow pattern reconstruction|synth_preset_aig|exact_e5m2fn_div_low_over_high|nested_denominator_attribute_table,,nested_denominator_attribute_table,OK,,OK
ex247,float_fp8,float-fp8-agent,ex247|E5M2FN packed low-over-high division|denominator-nested bound/smallpat classifier|shared denominator decode and low-underflow pattern reconstruction|abc_g_aig|exact_e5m2fn_div_low_over_high|nested_denominator_attribute_table,,nested_denominator_attribute_table,OK,,OK
ex247,float_fp8,float-fp8-agent,ex247|E5M2FN packed low-over-high division|denominator-nested quotient class plus 2-bit underflow pattern|shared quotient classifier and pattern reassembly|synth_preset_aig|exact_e5m2fn_div_low_over_high|nested_quotient_class,,nested_quotient_class,OK,,OK
ex248,float_fp8,float-fp8-agent,ex248|E5M2FN packed fmod|periodic 2^delta modulo significand remainder|shared divisor period and remainder normalizer|abc_g_aig|exact_e5m2fn_fmod_low_by_high|periodic_remainder_shared_table,,periodic_remainder_shared_table,OK,,OK
ex248,float_fp8,float-fp8-agent,ex248|E5M2FN packed fmod|periodic 2^delta modulo significand remainder|shared divisor period and remainder normalizer|synth_preset_aig|exact_e5m2fn_fmod_low_by_high|periodic_remainder_shared_table,,periodic_remainder_shared_table,OK,,OK
ex248,float_fp8,float-fp8-agent,ex248|E5M2FN packed fmod|periodic remainder with formula normalizer|shared period decode and normalization path|synth_preset_aig|exact_e5m2fn_fmod_low_by_high|formula_normalizer_full_output,,formula_normalizer_full_output,OK,,OK
ex249,float_fp8,float-fp8-agent,ex249|E5M2FN packed hypot|raw-exponent gap0/gap1 threshold predicates|shared abs max/min decode and saturation guard|synth_preset_aig|exact_e5m2fn_hypot_abs_high_low|threshold_delta_predicate_bits,,threshold_delta_predicate_bits,OK,,OK
ex249,float_fp8,float-fp8-agent,ex249|E5M2FN packed hypot|raw-exponent gap0/gap1 threshold predicates|shared abs max/min decode and saturation guard|abc_g_aig|exact_e5m2fn_hypot_abs_high_low|threshold_delta_predicate_bits,,threshold_delta_predicate_bits,OK,,OK
ex249,float_fp8,float-fp8-agent,ex249|E5M2FN packed hypot|max magnitude plus delta BDD key-major order|shared abs max/min decode and delta BDD|synth_preset_aig|exact_e5m2fn_hypot_abs_high_low|max_plus_delta_shared_bdd,,max_plus_delta_shared_bdd,OK,,OK
ex253,float_fp8,float-fp8-agent,ex253|unsigned 2-bit lane reduction to E4M3FN|low/high bit popcounts plus reachable lane-sum qcase|shared weighted popcount and quantization table|default|exact_u2_sum8_times2_to_e4m3fn|popcount_shared_quant_case,,popcount_shared_quant_case,OK,,OK
ex253,float_fp8,float-fp8-agent,ex253|unsigned 2-bit lane reduction to E4M3FN|low/high bit popcounts plus reachable lane-sum qcase|shared weighted popcount and quantization table|abc_g_aig|exact_u2_sum8_times2_to_e4m3fn|popcount_shared_quant_case,,popcount_shared_quant_case,OK,,OK
ex253,float_fp8,float-fp8-agent,ex253|unsigned 2-bit lane reduction to E4M3FN|direct two-dimensional hi-count/lo-count quant table|shared weighted popcount with grouped quant output|default|exact_u2_sum8_times2_to_e4m3fn|2d_count_grouped_output_case,,2d_count_grouped_output_case,OK,,OK
ex223,fp16,fp16-agent,ex223|fp16_log positive-normal log-family semantic shell|nested_hi_lo_mantissa_lut_high_bit_run_trees|shared_special_sign_exp_decode_per_exp_mantissa_runs|yosys_abc_g_aig|abc_xf_official_evaluate|high_bits_run_trees_low11_nested_hi4,shared_special_sign_exp_decode_per_exp_mantissa_runs,,,,
