case,domain,agent_id,candidate_id,method_signature,sim_tool,sim_status,tests_run,failures,log_path,notes
ex200,bf16,bf16-agent,,,not_run,not_run,,,,No new iverilog debug was run; completed candidates were checked by ABC/evaluate.py.
ex204,bf16,bf16-agent,,,not_run,not_run,,,,No new iverilog debug was run; completed candidates were checked by ABC/evaluate.py.
ex205,bf16,bf16-agent,,,not_run,not_run,,,,No new iverilog debug was run; completed candidates were checked by ABC/evaluate.py.
ex240,float_fp8,float-fp8-agent,ex240_semantic_add_same_grs_diff_param8_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex240,float_fp8,float-fp8-agent,ex240_semantic_add_same_grs_diff_param8_abc_g_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex240,float_fp8,float-fp8-agent,ex240_semantic_add_nested_gap_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex241,float_fp8,float-fp8-agent,ex241_semantic_mul_product_nested_exp_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex241,float_fp8,float-fp8-agent,ex241_semantic_mul_product_nested_exp_abc_g_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex241,float_fp8,float-fp8-agent,ex241_semantic_mul_product_param_exception_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex242,float_fp8,float-fp8-agent,ex242_semantic_div_field_sparse_clean_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex242,float_fp8,float-fp8-agent,ex242_semantic_div_field_sparse_clean_abc_g_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex242,float_fp8,float-fp8-agent,ex242_semantic_div_formula_bit_exception_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex244,float_fp8,float-fp8-agent,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex244,float_fp8,float-fp8-agent,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_abc_g_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex244,float_fp8,float-fp8-agent,ex244_semantic_hypot_threshold_maxeff_packed_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex245,float_fp8,float-fp8-agent,ex245_semantic_add_gap_class_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex245,float_fp8,float-fp8-agent,ex245_semantic_add_gap_class_abc_g_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex245,float_fp8,float-fp8-agent,ex245_semantic_add_norm_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex246,float_fp8,float-fp8-agent,ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex246,float_fp8,float-fp8-agent,ex246_semantic_mul_product_dc_seed12_set11to10_abc_g_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex246,float_fp8,float-fp8-agent,ex246_semantic_mul_sigprodcode_dc_seed12_set11to10_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex247,float_fp8,float-fp8-agent,ex247_semantic_div_bound_smallpat_nested_den_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex247,float_fp8,float-fp8-agent,ex247_semantic_div_bound_smallpat_nested_den_abc_g_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex247,float_fp8,float-fp8-agent,ex247_semantic_div_qclass_smallpat_nested_den_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex248,float_fp8,float-fp8-agent,ex248_semantic_fmod_periodic_rem_abc_g_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex248,float_fp8,float-fp8-agent,ex248_semantic_fmod_periodic_rem_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex248,float_fp8,float-fp8-agent,ex248_semantic_fmod_periodic_formula_norm_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex249,float_fp8,float-fp8-agent,ex249_semantic_hypot_threshold_rawexp_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex249,float_fp8,float-fp8-agent,ex249_semantic_hypot_threshold_rawexp_abc_g_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex249,float_fp8,float-fp8-agent,ex249_semantic_hypot_delta_bdd_keymajor_synth_preset_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex253,float_fp8,float-fp8-agent,ex253_semantic_u2_sum8_popcount_laneqcase_default_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex253,float_fp8,float-fp8-agent,ex253_semantic_u2_sum8_popcount_laneqcase_abc_g_aig_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex253,float_fp8,float-fp8-agent,ex253_semantic_u2_sum8_popcount_2dcase_default_fp8agent,,not_run,not_run,,,,official evaluate.py equivalence used as final gate; no quick-debug simulation needed
ex223,fp16,fp16-agent,ex223_log_nested_low11_hi4_abc_g_aig,,not_run,not_run,,,,
ex223,fp16,fp16-agent,ex223_log_nested_low11_hi5_abc_g_aig,,not_run,not_run,,,,
ex223,fp16,fp16-agent,ex223_log_nested_low11_hi6_abc_g_aig,,not_run,not_run,,,,
ex223,fp16,fp16-agent,ex223_log_nested_low12_hi5_abc_g_aig,,not_run,not_run,,,,
