case,agent_id,hypothesis,representation,shared_structure,expected_sharing,observed_result,notes,candidate_id,synth_flow,domain,method_signature,sharing_scope,verification_status,evidence_path
ex286,unknown-sym-r25,,,fixed_popcount_layer_decision_forest,,,shared_popcount_layers=14; layer_tree_nodes=6123; leaves=6137,ex286_r25_weight_layer_decision_forest,,unknown,ex286|hamming_weight_preserving_lossy_routing_normalizer|fixed_popcount_layer_decision_forest|shared_popcount_layer_decoder_and_layer_trees|yosys_abc_g_aig|official_evaluate|full_word_layer_forest,,,
ex286,unknown-sym-r25,,,input_xor_delta_coordinate_shared_bdd,,,transform=delta; order=0:12:1:11:2:10:3:9:8:4:5:7:6; shared_bdd_nodes=1408,ex286_r25_delta_shared_bdd_pair_late,,unknown,ex286|hamming_weight_preserving_lossy_routing_normalizer|input_xor_delta_coordinate_shared_bdd|single_delta_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|delta_xor_reconstruction,,,
ex286,unknown-sym-r25,,,output_gray_coordinate_shared_bdd,,,transform=gray; order=0:12:1:11:2:10:3:9:8:4:5:7:6; shared_bdd_nodes=1504,ex286_r25_gray_output_shared_bdd_pair_late,,unknown,ex286|hamming_weight_preserving_lossy_routing_normalizer|output_gray_coordinate_shared_bdd|single_gray_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|gray_prefix_xor_reconstruction,,,
ex287,unknown-sym-r25,,,fixed_popcount_layer_decision_forest,,,shared_popcount_layers=15; layer_tree_nodes=12229; leaves=12244,ex287_r25_weight_layer_decision_forest,,unknown,ex287|hamming_weight_preserving_lossy_routing_normalizer|fixed_popcount_layer_decision_forest|shared_popcount_layer_decoder_and_layer_trees|yosys_abc_g_aig|official_evaluate|full_word_layer_forest,,,
ex287,unknown-sym-r25,,,input_xor_delta_coordinate_shared_bdd,,,transform=delta; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7; shared_bdd_nodes=2136,ex287_r25_delta_shared_bdd_pair_late,,unknown,ex287|hamming_weight_preserving_lossy_routing_normalizer|input_xor_delta_coordinate_shared_bdd|single_delta_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|delta_xor_reconstruction,,,
ex287,unknown-sym-r25,,,output_gray_coordinate_shared_bdd,,,transform=gray; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7; shared_bdd_nodes=2200,ex287_r25_gray_output_shared_bdd_pair_late,,unknown,ex287|hamming_weight_preserving_lossy_routing_normalizer|output_gray_coordinate_shared_bdd|single_gray_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|gray_prefix_xor_reconstruction,,,
ex285,unknown-sym-r25,,,fixed_popcount_layer_decision_forest,,,shared_popcount_layers=13; layer_tree_nodes=3046; leaves=3059,ex285_r25_weight_layer_decision_forest,,unknown,ex285|hamming_weight_preserving_lossy_routing_normalizer|fixed_popcount_layer_decision_forest|shared_popcount_layer_decoder_and_layer_trees|yosys_abc_g_aig|official_evaluate|full_word_layer_forest,,,
ex285,unknown-sym-r25,,,input_xor_delta_coordinate_shared_bdd,,,transform=delta; order=0:11:1:10:2:9:3:8:7:6:4:5; shared_bdd_nodes=939,ex285_r25_delta_shared_bdd_pair_late,,unknown,ex285|hamming_weight_preserving_lossy_routing_normalizer|input_xor_delta_coordinate_shared_bdd|single_delta_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|delta_xor_reconstruction,,,
ex285,unknown-sym-r25,,,output_gray_coordinate_shared_bdd,,,transform=gray; order=0:11:1:10:2:9:3:8:7:6:4:5; shared_bdd_nodes=945,ex285_r25_gray_output_shared_bdd_pair_late,,unknown,ex285|hamming_weight_preserving_lossy_routing_normalizer|output_gray_coordinate_shared_bdd|single_gray_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|gray_prefix_xor_reconstruction,,,
ex288,unknown-sym-r25,,,fixed_popcount_layer_decision_forest,,,shared_popcount_layers=16; layer_tree_nodes=24557; leaves=24573,ex288_r25_weight_layer_decision_forest,,unknown,ex288|hamming_weight_preserving_lossy_routing_normalizer|fixed_popcount_layer_decision_forest|shared_popcount_layer_decoder_and_layer_trees|yosys_abc_g_aig|official_evaluate|full_word_layer_forest,,,
ex288,unknown-sym-r25,,,input_xor_delta_coordinate_shared_bdd,,,transform=delta; order=0:14:1:13:2:12:3:11:10:4:5:9:6:8:7; shared_bdd_nodes=2851,ex288_r25_delta_shared_bdd_pair_late,,unknown,ex288|hamming_weight_preserving_lossy_routing_normalizer|input_xor_delta_coordinate_shared_bdd|single_delta_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|delta_xor_reconstruction,,,
ex288,unknown-sym-r25,,,output_gray_coordinate_shared_bdd,,,transform=gray; order=0:14:1:13:2:12:3:11:10:4:5:9:6:8:7; shared_bdd_nodes=2923,ex288_r25_gray_output_shared_bdd_pair_late,,unknown,ex288|hamming_weight_preserving_lossy_routing_normalizer|output_gray_coordinate_shared_bdd|single_gray_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|gray_prefix_xor_reconstruction,,,
ex297,unknown-large-r25,cyclic 2-bit-symbol exact split with alternate nonlocal cell basis,cell_grouped_symbol_plane_odd_outer_even_inner,odd plane selector with even plane inner table,,,ex297|cyclic_2bit_symbol_alternate_cell_basis|cell_grouped_symbol_plane_odd_outer_even_inner|shared_majority_defaults_and_selector_decoder|abc_g_aig|official_truth_exact_invertible_basis|cell_grouped_outputs,,yosys abc -g aig,unknown,,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-large-r25/ex297/notes/round25_dossier.md
ex299,unknown-large-r25,cyclic 2-bit-symbol exact split with alternate nonlocal cell basis,cell_grouped_symbol_plane_odd_outer_even_inner,odd plane selector with even plane inner table,,,ex299|cyclic_2bit_symbol_alternate_cell_basis|cell_grouped_symbol_plane_odd_outer_even_inner|shared_majority_defaults_and_selector_decoder|abc_g_aig|official_truth_exact_invertible_basis|cell_grouped_outputs,,yosys abc -g aig,unknown,,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-large-r25/ex299/notes/round25_dossier.md
ex294,unknown-large-r25,global state/permutation-like transform with materially regrouped BDD roots,grouped_scalar_bdd_pools_low_high_output_halves,output halves as independent scalar BDD pools,,,ex294|global_state_transform_regrouped_bdd_roots|low_high_output_halves|output_halves_as_independent_scalar_BDD_pools|abc_g_aig|official_truth_exact_bdd|low_high_output_halves,,yosys abc -g aig,unknown,,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-large-r25/ex294/notes/round25_dossier.md
