case,domain,agent_id,status,best_candidate_id,best_area,best_delay,best_adp,current_frontend_adp,reference_adp,beats_current_frontend,beats_reference,evidence_path,next_action,notes,evaluated_candidates,equivalent_candidates,best_candidate,beat_current_frontend,beat_reference,outcome
ex286,unknown,unknown-sym-r25,,ex286_r25_delta_shared_bdd_pair_late,2748,20,54960,20190,2376,0,0,,Continue only with a new nonlinear hidden-state/sharing basis; this shard's tested families did not close the reference gap.,,,,ex286_r25_delta_shared_bdd_pair_late,,,
ex287,unknown,unknown-sym-r25,,ex287_r25_delta_shared_bdd_pair_late,4126,25,103150,27390,5782,0,0,,Continue only with a new nonlinear hidden-state/sharing basis; this shard's tested families did not close the reference gap.,,,,ex287_r25_delta_shared_bdd_pair_late,,,
ex285,unknown,unknown-sym-r25,,ex285_r25_delta_shared_bdd_pair_late,1789,20,35780,13175,5499,0,0,,Continue only with a new nonlinear hidden-state/sharing basis; this shard's tested families did not close the reference gap.,,,,ex285_r25_delta_shared_bdd_pair_late,,,
ex288,unknown,unknown-sym-r25,,ex288_r25_delta_shared_bdd_pair_late,5471,24,131304,31598,16394,0,0,,Continue only with a new nonlinear hidden-state/sharing basis; this shard's tested families did not close the reference gap.,,,,ex288_r25_delta_shared_bdd_pair_late,,,
ex297,unknown,unknown-large-r25,EVALUATED_NO_FRONTEND_IMPROVEMENT,ex297_r25_cell_basis_odd_outer_even_inner_abc_g_aig,,,693720,,225900,0,0,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-large-r25/ex297/logs/ex297_r25_cell_basis_odd_outer_even_inner_abc_g_aig.evaluate.py.log,,official evaluate.py OK; 38540/18/693720,,,,,,
ex299,unknown,unknown-large-r25,EVALUATED_NO_FRONTEND_IMPROVEMENT,ex299_r25_cell_basis_odd_outer_even_inner_abc_g_aig,,,3229732,,1013807,0,0,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-large-r25/ex299/logs/ex299_r25_cell_basis_odd_outer_even_inner_abc_g_aig.evaluate.py.log,,official evaluate.py OK; 146806/22/3229732,,,,,,
ex294,unknown,unknown-large-r25,EVALUATED_NO_FRONTEND_IMPROVEMENT,ex294_r25_bdd_mod4_output_planes_abc_g_aig,,,249619,,133365,0,0,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-large-r25/ex294/logs/ex294_r25_bdd_mod4_output_planes_abc_g_aig.evaluate.py.log,,official evaluate.py OK; 10853/23/249619,,,,,,
ex295,unknown,unknown-large-r25,EVALUATED_NO_FRONTEND_IMPROVEMENT,ex295_r25_cell_basis_odd_outer_even_inner_abc_g_aig,,,154848,,68064,0,0,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-large-r25/ex295/logs/ex295_r25_cell_basis_odd_outer_even_inner_abc_g_aig.evaluate.py.log,,official evaluate.py OK; 9678/16/154848,,,,,,
ex292,unknown,unknown-large-r25,EVALUATED_FRONTEND_IMPROVEMENT,ex292_r25_bdd_mod4_output_planes_abc_g_aig,,,135780,,84854,1,0,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-large-r25/ex292/logs/ex292_r25_bdd_mod4_output_planes_abc_g_aig.evaluate.py.log,,official evaluate.py OK; 6789/20/135780,,,,,,
ex241,float_fp8,fp8-r25,blocker_no_material_candidate,,,,,15544,7224,0,0,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/fp8-r25/ex241/notes/high_level_dossier.md,derive a shallow E4 product leading/round path; avoid nested product-table and BDD replay,,,,,,,
