case,domain,agent_id,candidate_id,method_signature,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes,status,official_output_dir,runtime_sec
ex286,unknown,unknown-sym-r25,ex286_r25_weight_layer_decision_forest,ex286|hamming_weight_preserving_lossy_routing_normalizer|fixed_popcount_layer_decision_forest|shared_popcount_layer_decoder_and_layer_trees|yosys_abc_g_aig|official_evaluate|full_word_layer_forest,,1,10763,34,365942,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/verilog/ex286_r25_weight_layer_decision_forest.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/aigs/ex286_r25_weight_layer_decision_forest.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/logs/ex286_r25_weight_layer_decision_forest.evaluate.py.log,official evaluate.py OK,OK,,17.277
ex286,unknown,unknown-sym-r25,ex286_r25_delta_shared_bdd_pair_late,ex286|hamming_weight_preserving_lossy_routing_normalizer|input_xor_delta_coordinate_shared_bdd|single_delta_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|delta_xor_reconstruction,,1,2748,20,54960,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/verilog/ex286_r25_delta_shared_bdd_pair_late.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/aigs/ex286_r25_delta_shared_bdd_pair_late.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/logs/ex286_r25_delta_shared_bdd_pair_late.evaluate.py.log,official evaluate.py OK,OK,,1.373
ex286,unknown,unknown-sym-r25,ex286_r25_gray_output_shared_bdd_pair_late,ex286|hamming_weight_preserving_lossy_routing_normalizer|output_gray_coordinate_shared_bdd|single_gray_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|gray_prefix_xor_reconstruction,,1,2715,42,114030,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/verilog/ex286_r25_gray_output_shared_bdd_pair_late.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/aigs/ex286_r25_gray_output_shared_bdd_pair_late.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex286/logs/ex286_r25_gray_output_shared_bdd_pair_late.evaluate.py.log,official evaluate.py OK,OK,,1.405
ex287,unknown,unknown-sym-r25,ex287_r25_weight_layer_decision_forest,ex287|hamming_weight_preserving_lossy_routing_normalizer|fixed_popcount_layer_decision_forest|shared_popcount_layer_decoder_and_layer_trees|yosys_abc_g_aig|official_evaluate|full_word_layer_forest,,1,9244,36,332784,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/verilog/ex287_r25_weight_layer_decision_forest.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/aigs/ex287_r25_weight_layer_decision_forest.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/logs/ex287_r25_weight_layer_decision_forest.evaluate.py.log,official evaluate.py OK,OK,,29.005
ex287,unknown,unknown-sym-r25,ex287_r25_delta_shared_bdd_pair_late,ex287|hamming_weight_preserving_lossy_routing_normalizer|input_xor_delta_coordinate_shared_bdd|single_delta_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|delta_xor_reconstruction,,1,4126,25,103150,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/verilog/ex287_r25_delta_shared_bdd_pair_late.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/aigs/ex287_r25_delta_shared_bdd_pair_late.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/logs/ex287_r25_delta_shared_bdd_pair_late.evaluate.py.log,official evaluate.py OK,OK,,2.242
ex287,unknown,unknown-sym-r25,ex287_r25_gray_output_shared_bdd_pair_late,ex287|hamming_weight_preserving_lossy_routing_normalizer|output_gray_coordinate_shared_bdd|single_gray_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|gray_prefix_xor_reconstruction,,1,3795,45,170775,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/verilog/ex287_r25_gray_output_shared_bdd_pair_late.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/aigs/ex287_r25_gray_output_shared_bdd_pair_late.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex287/logs/ex287_r25_gray_output_shared_bdd_pair_late.evaluate.py.log,official evaluate.py OK,OK,,2.266
ex285,unknown,unknown-sym-r25,ex285_r25_weight_layer_decision_forest,ex285|hamming_weight_preserving_lossy_routing_normalizer|fixed_popcount_layer_decision_forest|shared_popcount_layer_decoder_and_layer_trees|yosys_abc_g_aig|official_evaluate|full_word_layer_forest,,1,4888,32,156416,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/verilog/ex285_r25_weight_layer_decision_forest.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/aigs/ex285_r25_weight_layer_decision_forest.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/logs/ex285_r25_weight_layer_decision_forest.evaluate.py.log,official evaluate.py OK,OK,,6.548
ex285,unknown,unknown-sym-r25,ex285_r25_delta_shared_bdd_pair_late,ex285|hamming_weight_preserving_lossy_routing_normalizer|input_xor_delta_coordinate_shared_bdd|single_delta_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|delta_xor_reconstruction,,1,1789,20,35780,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/verilog/ex285_r25_delta_shared_bdd_pair_late.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/aigs/ex285_r25_delta_shared_bdd_pair_late.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/logs/ex285_r25_delta_shared_bdd_pair_late.evaluate.py.log,official evaluate.py OK,OK,,0.904
ex285,unknown,unknown-sym-r25,ex285_r25_gray_output_shared_bdd_pair_late,ex285|hamming_weight_preserving_lossy_routing_normalizer|output_gray_coordinate_shared_bdd|single_gray_bdd_node_pool_pair_late_order|yosys_abc_g_aig|official_evaluate|gray_prefix_xor_reconstruction,,1,1709,41,70069,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/verilog/ex285_r25_gray_output_shared_bdd_pair_late.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/aigs/ex285_r25_gray_output_shared_bdd_pair_late.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex285/logs/ex285_r25_gray_output_shared_bdd_pair_late.evaluate.py.log,official evaluate.py OK,OK,,0.904
ex288,unknown,unknown-sym-r25,ex288_r25_weight_layer_decision_forest,ex288|hamming_weight_preserving_lossy_routing_normalizer|fixed_popcount_layer_decision_forest|shared_popcount_layer_decoder_and_layer_trees|yosys_abc_g_aig|official_evaluate|full_word_layer_forest,,1,29457,38,1119366,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex288/verilog/ex288_r25_weight_layer_decision_forest.v,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex288/aigs/ex288_r25_weight_layer_decision_forest.aig,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-sym-r25/ex288/logs/ex288_r25_weight_layer_decision_forest.evaluate.py.log,official evaluate.py OK,OK,,78.274
