agent_id,domain,case,candidate,method_signature,status,equivalent,area,delay,adp,verilog_path,aig_path,log_path,source_csv,notes,candidate_id,baseline_frontend_adp,reference_adp,evaluate_log,runtime_sec,old_adp,evaluate_status,output_dir,beats_frontend,evaluate_log_path,hypothesis,hypothesis_family,representation,sharing_strategy,synth_flow,eval_dir,frontend_target_adp,delta_vs_target,beats_target,variant,shared_structure,verified_truth,ADP,frontend_best_adp,delta_vs_frontend,timestamp,run_id,family,synth_status,current_best_adp,improvement_vs_frontend,improvement_vs_current,source_path,yosys_script,synth_log,returncode,yosys_log_path,old_frontend_adp,improvement,beats_current,delta_vs_current,current_frontend_adp,delta_vs_current_best,yosys_log,eval_output_dir,synth_elapsed_sec,evaluate_elapsed_sec,high_level_description,threshold,delta_vs_threshold,beats_threshold
unknown-breakthrough-a,unknown,ex286,ex286_shared_raw_anf_bank,,OK,1,26813,630,16892190,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex286/verilog/ex286_shared_raw_anf_bank.v,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex286/aigs/ex286_shared_raw_anf_bank.aig,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex286/logs/ex286_shared_raw_anf_bank.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-a/evaluation_results.csv,,ex286_shared_raw_anf_bank,20190,2376,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex286/logs/ex286_shared_raw_anf_bank.evaluate.py.log,0.260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-a,unknown,ex286,ex286_popcount_layer_literal_case,,OK,1,13609,28,381052,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex286/verilog/ex286_popcount_layer_literal_case.v,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex286/aigs/ex286_popcount_layer_literal_case.aig,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex286/logs/ex286_popcount_layer_literal_case.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-a/evaluation_results.csv,,ex286_popcount_layer_literal_case,20190,2376,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex286/logs/ex286_popcount_layer_literal_case.evaluate.py.log,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-a,unknown,ex287,ex287_shared_raw_anf_bank,,OK,1,49917,1491,74426247,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex287/verilog/ex287_shared_raw_anf_bank.v,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex287/aigs/ex287_shared_raw_anf_bank.aig,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex287/logs/ex287_shared_raw_anf_bank.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-a/evaluation_results.csv,,ex287_shared_raw_anf_bank,26880,5782,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex287/logs/ex287_shared_raw_anf_bank.evaluate.py.log,0.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-a,unknown,ex287,ex287_popcount_layer_literal_case,,OK,1,20630,23,474490,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex287/verilog/ex287_popcount_layer_literal_case.v,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex287/aigs/ex287_popcount_layer_literal_case.aig,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex287/logs/ex287_popcount_layer_literal_case.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-a/evaluation_results.csv,,ex287_popcount_layer_literal_case,26880,5782,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex287/logs/ex287_popcount_layer_literal_case.evaluate.py.log,0.350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex297,ex297_ubb_pairxor_edgebands_0_3_10_13,ex297|cyclic_2bit_symbol_output_vector_cofactor|pairxor_edgebands|pairsel_base_plus_pairxor_low_high_bands|yosys_internal_abc_g_aig|official_evaluate|bits_0_1_2_3_10_11_12_13,OK,1,26649,16,426384,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex297/verilog/ex297_ubb_pairxor_edgebands_0_3_10_13.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex297/aigs/ex297_ubb_pairxor_edgebands_0_3_10_13.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex297/logs/ex297_ubb_pairxor_edgebands_0_3_10_13.yosys.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/evaluation_results.csv,snapshot_baseline_frontend_adp=425024,ex297_ubb_pairxor_edgebands_0_3_10_13,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex297/logs/ex297_ubb_pairxor_edgebands_0_3_10_13.evaluate.py.log,,,OK,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex297/official_outputs/ex297_ubb_pairxor_edgebands_0_3_10_13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex297,ex297_ubb_pairxor_even_cells_0_1_4_5_8_9_12_13,ex297|cyclic_2bit_symbol_output_vector_cofactor|pairxor_alternating_cells|pairsel_base_plus_pairxor_alternating_cell_pairs|yosys_internal_abc_g_aig|official_evaluate|bits_0_1_4_5_8_9_12_13,OK,1,26632,16,426112,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex297/verilog/ex297_ubb_pairxor_even_cells_0_1_4_5_8_9_12_13.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex297/aigs/ex297_ubb_pairxor_even_cells_0_1_4_5_8_9_12_13.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex297/logs/ex297_ubb_pairxor_even_cells_0_1_4_5_8_9_12_13.yosys.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/evaluation_results.csv,snapshot_baseline_frontend_adp=425024,ex297_ubb_pairxor_even_cells_0_1_4_5_8_9_12_13,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex297/logs/ex297_ubb_pairxor_even_cells_0_1_4_5_8_9_12_13.evaluate.py.log,,,OK,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex297/official_outputs/ex297_ubb_pairxor_even_cells_0_1_4_5_8_9_12_13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex285,ex285_ubb_boundary_edge_octet,ex285|hamming_weight_route_output_vector_cofactor|boundary_edge_octet|decision_tree_base_plus_route_boundary_edge_bands|yosys_internal_abc_g_aig|official_evaluate|bits_0_1_2_3_8_9_10_11,OK,1,800,16,12800,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex285/verilog/ex285_ubb_boundary_edge_octet.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex285/aigs/ex285_ubb_boundary_edge_octet.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex285/logs/ex285_ubb_boundary_edge_octet.yosys.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/evaluation_results.csv,snapshot_baseline_frontend_adp=12800,ex285_ubb_boundary_edge_octet,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex285/logs/ex285_ubb_boundary_edge_octet.evaluate.py.log,,,OK,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex285/official_outputs/ex285_ubb_boundary_edge_octet,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex285,ex285_ubb_boundary_even_lane,ex285|hamming_weight_route_output_vector_cofactor|boundary_even_lane|decision_tree_base_plus_route_boundary_even_lane|yosys_internal_abc_g_aig|official_evaluate|bits_0_2_4_6_8_10,OK,1,800,16,12800,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex285/verilog/ex285_ubb_boundary_even_lane.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex285/aigs/ex285_ubb_boundary_even_lane.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex285/logs/ex285_ubb_boundary_even_lane.yosys.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/evaluation_results.csv,snapshot_baseline_frontend_adp=12800,ex285_ubb_boundary_even_lane,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex285/logs/ex285_ubb_boundary_even_lane.evaluate.py.log,,,OK,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex285/official_outputs/ex285_ubb_boundary_even_lane,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex288,ex288_ubb_onehot_wide_boundary,ex288|hamming_weight_route_output_vector_cofactor|onehot_wide_boundary|keybdd_base_plus_onehot_boundary_outer_six|yosys_internal_abc_g_aig|official_evaluate|bits_0_1_2_12_13_14,OK,1,2278,15,34170,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex288/verilog/ex288_ubb_onehot_wide_boundary.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex288/aigs/ex288_ubb_onehot_wide_boundary.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex288/logs/ex288_ubb_onehot_wide_boundary.yosys.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/evaluation_results.csv,snapshot_baseline_frontend_adp=31598,ex288_ubb_onehot_wide_boundary,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex288/logs/ex288_ubb_onehot_wide_boundary.evaluate.py.log,,,OK,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex288/official_outputs/ex288_ubb_onehot_wide_boundary,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex288,ex288_ubb_mixed_boundary_twohot_cells,ex288|hamming_weight_route_multi_donor_cofactor|onehot_edges_twohot_midcells|keybdd_base_plus_boundary_and_twohot_output_groups|yosys_internal_abc_g_aig|official_evaluate|bits_0_1_13_14_and_4_5_8_9,OK,1,2263,15,33945,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex288/verilog/ex288_ubb_mixed_boundary_twohot_cells.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex288/aigs/ex288_ubb_mixed_boundary_twohot_cells.aig,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex288/logs/ex288_ubb_mixed_boundary_twohot_cells.yosys.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/evaluation_results.csv,snapshot_baseline_frontend_adp=31598,ex288_ubb_mixed_boundary_twohot_cells,,,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex288/logs/ex288_ubb_mixed_boundary_twohot_cells.evaluate.py.log,,,OK,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-b/ex288/official_outputs/ex288_ubb_mixed_boundary_twohot_cells,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
