agent_id,domain,case,candidate,method_signature,shared_structure,result,area,delay,adp,source_csv,notes,candidate_id,hypothesis_family,diagnostic,report_path,log_path,aig_path,old_adp,descriptor_bits,output_grouping,structure_family,shared_nodes_or_terms,outputs_covered,expected_benefit,observed_qor,timestamp,family,structure,source_modules,selected_bits,order,node_count,status,equivalent,representation,transform,variable_order,anchor_key,classes,selected_output_bits,descriptor_conflicts,bdd_nodes,run_id,source_label,selector,variant,high_level_description,invariants,previous_failed_descriptions,sharing_strategy,verilog_path,evaluate_log,outcome
unknown-breakthrough-a,unknown,ex286,ex286_route_compare_exchange_greedy_screen,,fixed compare-exchange stages reused across all output bits,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-a/shared_structure_report.csv,,ex286_route_compare_exchange_greedy_screen,compact routing/state descriptor with shared transition logic,bit_mismatches=44086; full_row_matches=44; stages=9,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex286/diagnostics/ex286_compare_exchange_screen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-a,unknown,ex286,ex286_shared_raw_anf_bank,,single monomial wire bank shared by all output XOR roots,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-a/shared_structure_report.csv,,ex286_shared_raw_anf_bank,GF(2)/ANF shared roots plus full residual output,"{""max_terms_per_bit"": 1687, ""min_terms_per_bit"": 281, ""shared_terms"": 3134, ""sum_terms"": 14765}",/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex286/notes/high_level_dossier.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-a,unknown,ex286,ex286_popcount_layer_literal_case,,"shared popcount shell, per-layer full-word literal cases",,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-a/shared_structure_report.csv,,ex286_popcount_layer_literal_case,split decision graph with full-word outputs,"{""case_rows"": 8192, ""largest_layer_rows"": 1716, ""weight_layers"": 14}",/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex286/notes/high_level_dossier.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-a,unknown,ex287,ex287_route_compare_exchange_greedy_screen,,fixed compare-exchange stages reused across all output bits,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-a/shared_structure_report.csv,,ex287_route_compare_exchange_greedy_screen,compact routing/state descriptor with shared transition logic,bit_mismatches=97996; full_row_matches=34; stages=20,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex287/diagnostics/ex287_compare_exchange_screen.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-a,unknown,ex287,ex287_shared_raw_anf_bank,,single monomial wire bank shared by all output XOR roots,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-a/shared_structure_report.csv,,ex287_shared_raw_anf_bank,GF(2)/ANF shared roots plus full residual output,"{""max_terms_per_bit"": 2803, ""min_terms_per_bit"": 281, ""shared_terms"": 5252, ""sum_terms"": 27860}",/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex287/notes/high_level_dossier.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-a,unknown,ex287,ex287_popcount_layer_literal_case,,"shared popcount shell, per-layer full-word literal cases",,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-a/shared_structure_report.csv,,ex287_popcount_layer_literal_case,split decision graph with full-word outputs,"{""case_rows"": 16384, ""largest_layer_rows"": 3432, ""weight_layers"": 15}",/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex287/notes/high_level_dossier.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex297,ex297_ubb_pairxor_edgebands_0_3_10_13,,r73 pairsel base plus r74 pairxor/celllocal donor,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/shared_structure_report.csv,frontend-only source-level exact donor/output-vector cofactor,ex297_ubb_pairxor_edgebands_0_3_10_13,,,,,,,edge cell-pair bands,two 4-bit bands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex297,ex297_ubb_pairxor_even_cells_0_1_4_5_8_9_12_13,,r73 pairsel base plus r74 pairxor/celllocal donor,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/shared_structure_report.csv,frontend-only source-level exact donor/output-vector cofactor,ex297_ubb_pairxor_even_cells_0_1_4_5_8_9_12_13,,,,,,,alternating ring cells,four 2-bit cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex285,ex285_ubb_boundary_edge_octet,,decision-tree base plus route-decode boundary residual helper,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/shared_structure_report.csv,frontend-only source-level exact donor/output-vector cofactor,ex285_ubb_boundary_edge_octet,,,,,,,outer edge octet,two 4-bit edge bands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex285,ex285_ubb_boundary_even_lane,,decision-tree base plus route-decode boundary residual helper,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/shared_structure_report.csv,frontend-only source-level exact donor/output-vector cofactor,ex285_ubb_boundary_even_lane,,,,,,,even output lane,six interleaved outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
