agent_id,domain,case,candidate,method_signature,sim_status,log_path,source_csv,notes,candidate_id,simulation_type,passed,mismatches,aig_path,area,delay,adp,old_adp,status,simulation_run,reason,timestamp,tool,simulation_status,simulation,sample_count,equivalent,run_id,simulation_used
unknown-breakthrough-a,unknown,ex286,ex286_route_compare_exchange_greedy_screen,,,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex286/diagnostics/ex286_compare_exchange_screen.csv,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-a/simulation_results.csv,diagnostic compare-exchange route screen; not synthesized because it is not exact,ex286_route_compare_exchange_greedy_screen,python_truth_exhaustive,0,44086,,,,,,,,,,,,,,,,
unknown-breakthrough-a,unknown,ex286,ex286_shared_raw_anf_bank,,,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex286/notes/high_level_dossier.md,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-a/simulation_results.csv,generated directly from ex286 truth table under abc_xf convention,ex286_shared_raw_anf_bank,python_truth_by_construction,1,0,,,,,,,,,,,,,,,,
unknown-breakthrough-a,unknown,ex286,ex286_popcount_layer_literal_case,,,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex286/notes/high_level_dossier.md,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-a/simulation_results.csv,generated directly from ex286 truth table under abc_xf convention,ex286_popcount_layer_literal_case,python_truth_by_construction,1,0,,,,,,,,,,,,,,,,
unknown-breakthrough-a,unknown,ex287,ex287_route_compare_exchange_greedy_screen,,,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex287/diagnostics/ex287_compare_exchange_screen.csv,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-a/simulation_results.csv,diagnostic compare-exchange route screen; not synthesized because it is not exact,ex287_route_compare_exchange_greedy_screen,python_truth_exhaustive,0,97996,,,,,,,,,,,,,,,,
unknown-breakthrough-a,unknown,ex287,ex287_shared_raw_anf_bank,,,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex287/notes/high_level_dossier.md,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-a/simulation_results.csv,generated directly from ex287 truth table under abc_xf convention,ex287_shared_raw_anf_bank,python_truth_by_construction,1,0,,,,,,,,,,,,,,,,
unknown-breakthrough-a,unknown,ex287,ex287_popcount_layer_literal_case,,,/home/b10507053/ALS_Final_Project/student/work/ex204_ex299_frontend_breakthrough_20260614_1051/unknown-breakthrough-a/ex287/notes/high_level_dossier.md,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-a/simulation_results.csv,generated directly from ex287 truth table under abc_xf convention,ex287_popcount_layer_literal_case,python_truth_by_construction,1,0,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex297,ex297_ubb_pairxor_edgebands_0_3_10_13,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/simulation_results.csv,official evaluate.py used for acceptance,ex297_ubb_pairxor_edgebands_0_3_10_13,,,,,,,,,not_run,,,,,,,,,,
unknown-breakthrough-b,unknown,ex297,ex297_ubb_pairxor_even_cells_0_1_4_5_8_9_12_13,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/simulation_results.csv,official evaluate.py used for acceptance,ex297_ubb_pairxor_even_cells_0_1_4_5_8_9_12_13,,,,,,,,,not_run,,,,,,,,,,
unknown-breakthrough-b,unknown,ex285,ex285_ubb_boundary_edge_octet,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/simulation_results.csv,official evaluate.py used for acceptance,ex285_ubb_boundary_edge_octet,,,,,,,,,not_run,,,,,,,,,,
unknown-breakthrough-b,unknown,ex285,ex285_ubb_boundary_even_lane,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/simulation_results.csv,official evaluate.py used for acceptance,ex285_ubb_boundary_even_lane,,,,,,,,,not_run,,,,,,,,,,
