agent_id,domain,case,candidate,method_signature,old_area,old_delay,old_adp,new_area,new_delay,new_adp,improvement_adp,verilog_path,aig_path,log_path,source_csv,notes,r2_baseline_adp,improvement_vs_r2,r3_best_adp,improvement_vs_r3,r4_best_adp,improvement_vs_snapshot,improvement_vs_r4,evaluate_log_path,candidate_id,hypothesis,hypothesis_family,representation,sharing_strategy,synth_flow,eval_dir,equivalent,status,area,delay,adp,frontend_target_adp,reference_adp,delta_vs_target,beats_target,previous_adp,new_candidate_id,timestamp,family,evaluate_log,yosys_log_path,variant,shared_structure,verified_truth,ADP,frontend_best_adp,current_best_adp,delta_vs_frontend,delta_vs_current,beats_frontend,beats_current,run_id,high_level_description
fp8-breakthrough-r2,float_fp8,ex247,ex247_r2_special_lowpat_boolean_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|special-case shell plus direct low-underflow pattern bits|shared divide-by-zero/zero shell and Boolean low-pattern residual|abc_g_aig_frontend|official_evaluate|selected_low_underflow_bits,363,23,8349,361,23,8303,46,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough-r2/ex247/verilog/ex247_r2_special_lowpat_boolean_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough-r2/ex247/aigs/ex247_r2_special_lowpat_boolean_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough-r2/ex247/logs/ex247_r2_special_lowpat_boolean_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough-r2/best_improvements.csv,Adds an explicit non-NaN special shell and limits residual rewrite to low-underflow bits.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough-r2/ex247/logs/ex247_r2_special_lowpat_boolean_abc_g_aig_frontend.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex247-breakthrough-r3,float_fp8,ex247,ex247_r3_factored_lowpred_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|special-case shell with factored onehot low-underflow predicates|shared pat/step onehots feed all low residual output bits|abc_g_aig_frontend|official_evaluate|selected_low_underflow_bits,363,23,8349,354,23,8142,207,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/verilog/ex247_r3_factored_lowpred_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/aigs/ex247_r3_factored_lowpred_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/logs/ex247_r3_factored_lowpred_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/ex247-breakthrough-r3/best_improvements.csv,Factors the r2 low residual into reusable pat/step predicates before output packing.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/logs/ex247_r3_factored_lowpred_abc_g_aig_frontend.yosys.log,8303,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex247-breakthrough-r3,float_fp8,ex247,ex247_r3_lowpred_grouped_output_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|factored low predicates plus exponent/mantissa grouped output|shared pat/step onehots and shared zero/sat/low/linear field-group predicates|abc_g_aig_frontend|official_evaluate|low_predicates_plus_field_groups,363,23,8349,355,23,8165,184,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/verilog/ex247_r3_lowpred_grouped_output_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/aigs/ex247_r3_lowpred_grouped_output_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/logs/ex247_r3_lowpred_grouped_output_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/ex247-breakthrough-r3/best_improvements.csv,Combines the r3 factored low residual with field-group output selection.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/logs/ex247_r3_lowpred_grouped_output_abc_g_aig_frontend.yosys.log,8303,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex247-breakthrough-r3,float_fp8,ex247,ex247_r3_r2_anchor_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|r2 special shell and Boolean low-pattern residual copied as r3 control|shared divide-by-zero/zero shell and direct low-underflow Boolean residual|abc_g_aig_frontend|official_evaluate|selected_low_underflow_bits,363,23,8349,361,23,8303,46,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/verilog/ex247_r3_r2_anchor_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/aigs/ex247_r3_r2_anchor_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/logs/ex247_r3_r2_anchor_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/ex247-breakthrough-r3/best_improvements.csv,Control row to verify r3 runner reproduces the r2 source-level result.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/logs/ex247_r3_r2_anchor_abc_g_aig_frontend.yosys.log,8303,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex247-breakthrough-r3,float_fp8,ex247,ex247_r3_low_value_decoder_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|special-case shell with low-underflow value-class predicates|shared is1/is2/is4 predicates generate the low residual magnitude|abc_g_aig_frontend|official_evaluate|selected_low_underflow_value_classes,363,23,8349,361,23,8303,46,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/verilog/ex247_r3_low_value_decoder_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/aigs/ex247_r3_low_value_decoder_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/logs/ex247_r3_low_value_decoder_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/ex247-breakthrough-r3/best_improvements.csv,Tests explicit value classes instead of per-bit r2 formulas.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/logs/ex247_r3_low_value_decoder_abc_g_aig_frontend.yosys.log,8303,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex247-breakthrough-r3,float_fp8,ex247,ex247_r3_combined_sat_low_bits_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|special-case shell with selected saturation and low residual bits merged|shared class predicates directly OR saturation constants with low/linear bits|abc_g_aig_frontend|official_evaluate|selected_sat_low_linear_bits,363,23,8349,361,23,8303,46,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/verilog/ex247_r3_combined_sat_low_bits_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/aigs/ex247_r3_combined_sat_low_bits_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/logs/ex247_r3_combined_sat_low_bits_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/ex247-breakthrough-r3/best_improvements.csv,Combines low-pattern residual with selected saturation/normal result bits.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/logs/ex247_r3_combined_sat_low_bits_abc_g_aig_frontend.yosys.log,8303,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex247-breakthrough-r3,float_fp8,ex247,ex247_r3_lowcase_bdd_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|special-case shell plus small case residual for low output bits only|shared shell and a four-input residual BDD-like case for changed low bits|abc_g_aig_frontend|official_evaluate|low_bits_residual_case,363,23,8349,362,23,8326,23,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/verilog/ex247_r3_lowcase_bdd_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/aigs/ex247_r3_lowcase_bdd_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/logs/ex247_r3_lowcase_bdd_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/ex247-breakthrough-r3/best_improvements.csv,Compares compact residual case logic against explicit r2 predicates.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r3/ex247/logs/ex247_r3_lowcase_bdd_abc_g_aig_frontend.yosys.log,8303,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex247-breakthrough-r4,float_fp8,ex247,ex247_r4_tail_direct_lowpred_min_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|tail-only bound table with minimized low-underflow predicates|derived region predicates and compact pat/step low residual share the tail table|abc_g_aig_frontend|official_evaluate|tail_direct_min_lowpred,363,23,8349,251,26,6526,1823,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r4/ex247/verilog/ex247_r4_tail_direct_lowpred_min_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r4/ex247/aigs/ex247_r4_tail_direct_lowpred_min_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r4/ex247/logs/ex247_r4_tail_direct_lowpred_min_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/ex247-breakthrough-r4/best_improvements.csv,Existing r4 artifact folded into the shard CSV from its official evaluate log.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r4/ex247/logs/ex247_r4_tail_direct_lowpred_min_abc_g_aig_frontend.yosys.log,8303,1777,8142,1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex247-breakthrough-r4,float_fp8,ex247,ex247_r4_tail_table_direct_region_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|tail-only bound table with direct derived region predicates|bound table stores offset/mant/pat only; zero and saturation bounds derive from offset and mant|abc_g_aig_frontend|official_evaluate|tail_table_direct_region,363,23,8349,251,26,6526,1823,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r4/ex247/verilog/ex247_r4_tail_table_direct_region_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r4/ex247/aigs/ex247_r4_tail_table_direct_region_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r4/ex247/logs/ex247_r4_tail_table_direct_region_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/ex247-breakthrough-r4/best_improvements.csv,Existing r4 artifact folded into the shard CSV from its official evaluate log.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r4/ex247/logs/ex247_r4_tail_table_direct_region_abc_g_aig_frontend.yosys.log,8303,1777,8142,1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex247-breakthrough-r4,float_fp8,ex247,ex247_r4_range_direct_lowcase_residual_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|range-derived offset with direct lowcase residual|offset derives from significand range comparisons while low residual stays case-local|abc_g_aig_frontend|official_evaluate|range_direct_lowcase_residual,363,23,8349,235,28,6580,1769,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r4/ex247/verilog/ex247_r4_range_direct_lowcase_residual_abc_g_aig_frontend.v,student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r4/ex247/aigs/ex247_r4_range_direct_lowcase_residual_abc_g_aig_frontend.aig,student/runs/float_fp8/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r4/ex247/logs/ex247_r4_range_direct_lowcase_residual_abc_g_aig_frontend.evaluate.py.log,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/ex247-breakthrough-r4/best_improvements.csv,Existing r4 artifact folded into the shard CSV from its official evaluate log.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/ex247-breakthrough-r4/ex247/logs/ex247_r4_range_direct_lowcase_residual_abc_g_aig_frontend.yosys.log,8303,1723,8142,1562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
