case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,notes
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_resyn2rs_area_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow resyn2rs_area,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; balance; resub -K 6; rewrite; resub -K 6 -N 2; refactor; resub -K 8; balance; resub -K 8 -N 2; rewrite; resub -K 10; rewrite -z; resub -K 10 -N 2; balance; resub -K 12; refactor -z; resub -K 12 -N 2; rewrite -z; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_compress2rs_area_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow compress2rs_area,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; balance -l; resub -K 6 -l; rewrite -l; resub -K 6 -N 2 -l; refactor -l; resub -K 8 -l; balance -l; resub -K 8 -N 2 -l; rewrite -l; resub -K 10 -l; rewrite -z -l; resub -K 10 -N 2 -l; balance -l; resub -K 12 -l; refactor -z -l; resub -K 12 -N 2 -l; rewrite -z -l; balance -l
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_mfs_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow mfs_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; mfs; dc2; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_mfs_rwz_mfs_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow mfs_rwz_mfs,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; mfs; rewrite -z; mfs; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_ssw_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow ssw_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; ssw; dc2; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_fraig_mfs_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow fraig_mfs_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; fraig; mfs; dc2; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_dchoice_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow dchoice_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; dchoice; dc2; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_choice_if4_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow choice_if4_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; choice; if -K 4; strash; dc2; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_compress_l_no_dc_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow compress_l_no_dc,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; balance -l; rewrite -l; refactor -l; rewrite -z -l; refactor -z -l; balance -l
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_resub_deep_rf_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow resub_deep_rf,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; resub -K 8 -N 2; resub -K 10 -N 2; rewrite -z; refactor -z; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_dc2_scorr_resyn_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow dc2_scorr_resyn,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; dc2; scorr; dc2; balance; rewrite -z; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_dc2_lcorr_resyn_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow dc2_lcorr_resyn,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; dc2; lcorr; dc2; balance; rewrite -z; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_rw_resub_loop5_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow rw_resub_loop5,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; rewrite; rewrite -z; resub -K 6 -N 2; rewrite -z; resub -K 8 -N 2; refactor -z; rewrite -z; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_area_then_delay_recover_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow area_then_delay_recover,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; balance -l; rewrite -l; refactor -l; rewrite -z -l; refactor -z -l; balance; rewrite; rewrite -z; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_gia_dc2_put_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow gia_dc2_put,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; &get; &dc2; &put; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_gia_dch_put_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow gia_dch_put,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; &get; &dch; &put; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_gia_dc2_rw_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow gia_dc2_rw,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; &get; &dc2; &put; rewrite; rewrite -z; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_if4_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow if4_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; if -K 4; strash; dc2; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_if5_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow if5_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; if -K 5; strash; dc2; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_if6_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow if6_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; if -K 6; strash; dc2; balance
ex247,float_fp8,local-fp8-extra-r48,ex247_r48_dc2_if6_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow dc2_if6_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; dc2; if -K 6; strash; dc2; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_resyn2rs_area_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow resyn2rs_area,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; balance; resub -K 6; rewrite; resub -K 6 -N 2; refactor; resub -K 8; balance; resub -K 8 -N 2; rewrite; resub -K 10; rewrite -z; resub -K 10 -N 2; balance; resub -K 12; refactor -z; resub -K 12 -N 2; rewrite -z; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_compress2rs_area_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow compress2rs_area,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; balance -l; resub -K 6 -l; rewrite -l; resub -K 6 -N 2 -l; refactor -l; resub -K 8 -l; balance -l; resub -K 8 -N 2 -l; rewrite -l; resub -K 10 -l; rewrite -z -l; resub -K 10 -N 2 -l; balance -l; resub -K 12 -l; refactor -z -l; resub -K 12 -N 2 -l; rewrite -z -l; balance -l
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_mfs_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow mfs_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; mfs; dc2; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_mfs_rwz_mfs_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow mfs_rwz_mfs,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; mfs; rewrite -z; mfs; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_ssw_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow ssw_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; ssw; dc2; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_fraig_mfs_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow fraig_mfs_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; fraig; mfs; dc2; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_dchoice_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow dchoice_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; dchoice; dc2; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_choice_if4_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow choice_if4_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; choice; if -K 4; strash; dc2; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_compress_l_no_dc_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow compress_l_no_dc,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; balance -l; rewrite -l; refactor -l; rewrite -z -l; refactor -z -l; balance -l
