case,candidate_id,status,area,delay,adp,expected_adp,aig_path,notes
ex240,ex240_semantic_add_same_grs_diff_param8_synth_preset_aig,OK,590,51,30090,30090,student/seeds/float_fp8/ex240_ex254_current/ex240/aigs/ex240_semantic_add_same_grs_diff_param8_synth_preset_aig.aig,copied from verified source CSV during 20260608 float_fp8 seed curation
ex241,ex241_semantic_mul_product_nested_exp_synth_preset_aig,OK,536,29,15544,15544,student/seeds/float_fp8/ex240_ex254_current/ex241/aigs/ex241_semantic_mul_product_nested_exp_synth_preset_aig.aig,copied from verified source CSV during 20260608 float_fp8 seed curation
ex242,ex242_semantic_div_field_sparse_clean_synth_preset_aig,OK,1266,20,25320,25320,student/seeds/float_fp8/ex240_ex254_current/ex242/aigs/ex242_semantic_div_field_sparse_clean_synth_preset_aig.aig,copied from verified source CSV during 20260608 float_fp8 seed curation
ex243,ex243_semantic_fmod_modsig_nested_delta_abc_g_aig,OK,1790,27,48330,48330,student/seeds/float_fp8/ex240_ex254_current/ex243/aigs/ex243_semantic_fmod_modsig_nested_delta_abc_g_aig.aig,copied from verified source CSV during 20260608 float_fp8 seed curation
ex244,ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig,OK,301,34,10234,10234,student/seeds/float_fp8/ex240_ex254_current/ex244/aigs/ex244_semantic_hypot_delta_maxeff_bdd_expfirst_synth_preset_aig.aig,copied from verified source CSV during 20260608 float_fp8 seed curation
ex245,ex245_semantic_add_gap_class_synth_preset_aig,OK,701,34,23834,23834,student/seeds/float_fp8/ex240_ex254_current/ex245/aigs/ex245_semantic_add_gap_class_synth_preset_aig.aig,copied from verified source CSV during 20260608 float_fp8 seed curation
ex246,ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig,OK,341,22,7502,7502,student/seeds/float_fp8/ex240_ex254_current/ex246/aigs/ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig.aig,copied from verified source CSV during 20260608 float_fp8 seed curation
ex247,ex247_semantic_div_bound_smallpat_nested_den_synth_preset_aig,OK,365,25,9125,9125,student/seeds/float_fp8/ex240_ex254_current/ex247/aigs/ex247_semantic_div_bound_smallpat_nested_den_synth_preset_aig.aig,copied from verified source CSV during 20260608 float_fp8 seed curation
ex248,ex248_semantic_fmod_periodic_rem_abc_g_aig,OK,285,30,8550,8550,student/seeds/float_fp8/ex240_ex254_current/ex248/aigs/ex248_semantic_fmod_periodic_rem_abc_g_aig.aig,copied from verified source CSV during 20260608 float_fp8 seed curation
ex249,ex249_semantic_hypot_threshold_rawexp_synth_preset_aig,OK,168,26,4368,4368,student/seeds/float_fp8/ex240_ex254_current/ex249/aigs/ex249_semantic_hypot_threshold_rawexp_synth_preset_aig.aig,copied from verified source CSV during 20260608 float_fp8 seed curation
ex250,ex250_semantic_fp4_dot2_magarith_qcase_synth_preset_aig,OK,413,41,16933,16933,student/seeds/float_fp8/ex240_ex254_current/ex250/aigs/ex250_semantic_fp4_dot2_magarith_qcase_synth_preset_aig.aig,copied from verified source CSV during 20260608 float_fp8 seed curation
ex251,ex251_semantic_int3_dot2_arith_qcase_abc_g_aig,OK,495,38,18810,18810,student/seeds/float_fp8/ex240_ex254_current/ex251/aigs/ex251_semantic_int3_dot2_arith_qcase_abc_g_aig.aig,copied from verified source CSV during 20260608 float_fp8 seed curation
ex252,ex252_semantic_u2_dot4_handmul_balanced_qcase_default,OK,145,21,3045,3045,student/seeds/float_fp8/ex240_ex254_current/ex252/aigs/ex252_semantic_u2_dot4_handmul_balanced_qcase_default.aig,copied from verified source CSV during 20260608 float_fp8 seed curation
ex253,ex253_semantic_u2_sum8_popcount_laneqcase_default,OK,126,18,2268,2268,student/seeds/float_fp8/ex240_ex254_current/ex253/aigs/ex253_semantic_u2_sum8_popcount_laneqcase_default.aig,copied from verified source CSV during 20260608 float_fp8 seed curation
ex254,ex254_semantic_e4add_fp4product_grs_magfactored_abc_g_aig,OK,662,55,36410,36410,student/seeds/float_fp8/ex240_ex254_current/ex254/aigs/ex254_semantic_e4add_fp4product_grs_magfactored_abc_g_aig.aig,copied from verified source CSV during 20260608 float_fp8 seed curation
