case,encoded_bit,field_kind,field_index,support_size,support,ones,notes
ex286,0,pair_count,0,13,0:1:2:3:4:5:6:7:8:9:10:11:12,3913,raw input support for encoded output field
ex286,1,pair_count,0,13,0:1:2:3:4:5:6:7:8:9:10:11:12,2043,raw input support for encoded output field
ex286,2,pair_count,1,13,0:1:2:3:4:5:6:7:8:9:10:11:12,4096,raw input support for encoded output field
ex286,3,pair_count,1,13,0:1:2:3:4:5:6:7:8:9:10:11:12,2048,raw input support for encoded output field
ex286,4,pair_count,2,13,0:1:2:3:4:5:6:7:8:9:10:11:12,4291,raw input support for encoded output field
ex286,5,pair_count,2,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1878,raw input support for encoded output field
ex286,6,pair_count,3,10,0:1:2:3:4:5:6:7:10:11,4096,raw input support for encoded output field
ex286,7,pair_count,3,10,0:1:2:3:4:5:6:7:10:11,2048,raw input support for encoded output field
ex286,8,pair_count,4,13,0:1:2:3:4:5:6:7:8:9:10:11:12,3775,raw input support for encoded output field
ex286,9,pair_count,4,13,0:1:2:3:4:5:6:7:8:9:10:11:12,2305,raw input support for encoded output field
ex286,10,pair_count,5,13,0:1:2:3:4:5:6:7:8:9:10:11:12,4096,raw input support for encoded output field
ex286,11,pair_count,5,13,0:1:2:3:4:5:6:7:8:9:10:11:12,2048,raw input support for encoded output field
ex286,12,odd_tail,0,13,0:1:2:3:4:5:6:7:8:9:10:11:12,4241,raw input support for encoded output field
ex286,13,orientation,0,13,0:1:2:3:4:5:6:7:8:9:10:11:12,2972,raw input support for encoded output field
ex286,14,orientation,1,12,0:1:2:3:4:5:6:7:8:9:10:11,3616,raw input support for encoded output field
ex286,15,orientation,2,13,0:1:2:3:4:5:6:7:8:9:10:11:12,2073,raw input support for encoded output field
ex287,0,pair_count,0,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,8718,raw input support for encoded output field
ex287,1,pair_count,0,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,3679,raw input support for encoded output field
ex287,2,pair_count,1,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,8192,raw input support for encoded output field
ex287,3,pair_count,1,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,4096,raw input support for encoded output field
ex287,4,pair_count,2,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,7630,raw input support for encoded output field
ex287,5,pair_count,2,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,4191,raw input support for encoded output field
ex287,6,pair_count,3,10,0:1:2:3:4:5:6:7:11:12,8192,raw input support for encoded output field
ex287,7,pair_count,3,10,0:1:2:3:4:5:6:7:11:12,4096,raw input support for encoded output field
ex287,8,pair_count,4,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,7666,raw input support for encoded output field
ex287,9,pair_count,4,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,4513,raw input support for encoded output field
ex287,10,pair_count,5,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,8192,raw input support for encoded output field
ex287,11,pair_count,5,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,4096,raw input support for encoded output field
ex287,12,pair_count,6,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,8754,raw input support for encoded output field
ex287,13,pair_count,6,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,4001,raw input support for encoded output field
ex287,14,orientation,0,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,8128,raw input support for encoded output field
ex288,0,pair_count,0,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15657,raw input support for encoded output field
ex288,1,pair_count,0,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,8436,raw input support for encoded output field
ex288,2,pair_count,1,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,16045,raw input support for encoded output field
ex288,3,pair_count,1,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,8252,raw input support for encoded output field
ex288,4,pair_count,2,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15595,raw input support for encoded output field
ex288,5,pair_count,2,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,8483,raw input support for encoded output field
ex288,6,pair_count,3,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,17715,raw input support for encoded output field
ex288,7,pair_count,3,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,7433,raw input support for encoded output field
ex288,8,pair_count,4,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15623,raw input support for encoded output field
ex288,9,pair_count,4,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,8692,raw input support for encoded output field
ex288,10,pair_count,5,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,16323,raw input support for encoded output field
ex288,11,pair_count,5,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,8332,raw input support for encoded output field
ex288,12,pair_count,6,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15765,raw input support for encoded output field
ex288,13,pair_count,6,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,8605,raw input support for encoded output field
ex288,14,odd_tail,0,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,16571,raw input support for encoded output field
ex288,15,orientation,0,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11866,raw input support for encoded output field
ex288,16,orientation,1,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,12161,raw input support for encoded output field
ex288,17,orientation,2,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11937,raw input support for encoded output field
ex288,18,orientation,3,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,8764,raw input support for encoded output field
ex289,0,pair_count,0,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,33744,raw input support for encoded output field
ex289,1,pair_count,0,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15683,raw input support for encoded output field
