round,run_id,agent_id,case,domain,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,shared_nodes,residual_key,residual_entries,output_grouping,evidence_path,notes,shard_csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex204,bf16,ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_14_bh2_abc_g_aig,bf16_log2_direct,,16,tests whether bit11 override is area-only overhead under aig flow,1531,17,26027,shared exponent base plus one selected output-bit table,round24 arithmetic-base hilo3 with only bit14 truth-derived correction,,grouped word output,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-log-tight-r95/ex204/logs/ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_14_bh2_abc_g_aig.evaluate.py.log,log2 arithmetic base delta_mode=hilo3 items=8591 bit_overrides=14 bit_items=7; official evaluate.py OK; tests whether bit11 override is area-only overhead under aig flow,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/shared_structure_report.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex205,bf16,ex205_r95_bf16_log10_transform_source_reuse_out_sign_abc_g_aig,bf16_log10_transform,,16,tiny source recut aimed at the 413 ADP threshold gap,4450,16,71200,same field decode but removes duplicate selected sign-bit block,current source reusing out_sign instead of duplicate bit15 block,,field-reassembled word output,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-log-tight-r95/ex205/logs/ex205_r95_bf16_log10_transform_source_reuse_out_sign_abc_g_aig.evaluate.py.log,current ex205 seed reusing existing out_sign block instead of duplicate bit_15 block; official evaluate.py OK; tiny source recut aimed at the 413 ADP threshold gap,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/shared_structure_report.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex204,bf16,ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_11_bh2_abc_g_aig,bf16_log2_direct,,16,tests whether bit14 override is the only delay-critical output,1511,17,25687,shared exponent base plus one selected output-bit table,round24 arithmetic-base hilo3 with only bit11 truth-derived correction,,grouped word output,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-log-tight-r95/ex204/logs/ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_11_bh2_abc_g_aig.evaluate.py.log,log2 arithmetic base delta_mode=hilo3 items=8591 bit_overrides=11 bit_items=33; official evaluate.py OK; tests whether bit14 override is the only delay-critical output,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/shared_structure_report.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex204,bf16,ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_11_14_cmp_abc_g_aig,bf16_log2_direct,,16,"cmp renderer was previously blocked, so this is not a replayed official row",1544,17,26248,shared exponent base plus comparator-coded selected output bits,comparator-run selected-bit correction over arithmetic exponent base,,grouped word output,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-log-tight-r95/ex204/logs/ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_11_14_cmp_abc_g_aig.evaluate.py.log,"log2 arithmetic base delta_mode=hilo3 items=8591 bit_overrides=11_14 bit_items=31; official evaluate.py OK; cmp renderer was previously blocked, so this is not a replayed official row",student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/shared_structure_report.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex204,bf16,ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_14_cmp_abc_g_aig,bf16_log2_direct,,16,narrow cmp variant to reduce selected-bit overhead,1534,17,26078,shared exponent base plus one comparator-coded selected output bit,single bit14 comparator-run correction over arithmetic exponent base,,grouped word output,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-log-tight-r95/ex204/logs/ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_14_cmp_abc_g_aig.evaluate.py.log,log2 arithmetic base delta_mode=hilo3 items=8591 bit_overrides=14 bit_items=4; official evaluate.py OK; narrow cmp variant to reduce selected-bit overhead,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/shared_structure_report.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex204,bf16,ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_11_cmp_abc_g_aig,bf16_log2_direct,,16,narrow cmp variant to reduce selected-bit overhead,1527,18,27486,shared exponent base plus one comparator-coded selected output bit,single bit11 comparator-run correction over arithmetic exponent base,,grouped word output,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-log-tight-r95/ex204/logs/ex204_r95_bf16_log2_direct_log2_arithbase_delta_hilo3_bits_11_cmp_abc_g_aig.evaluate.py.log,log2 arithmetic base delta_mode=hilo3 items=8591 bit_overrides=11 bit_items=27; official evaluate.py OK; narrow cmp variant to reduce selected-bit overhead,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/shared_structure_report.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex205,bf16,ex205_r95_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh2_abc_g_aig,bf16_log10,,16,old bh2 was measured under older default flow; this checks current aig flow,4444,16,71104,shared sign/exponent/mantissa field decode plus selected sign bit,current separate field split with bit15 bh2 under current aig flow,,field-reassembled word output,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-log-tight-r95/ex205/logs/ex205_r95_bf16_log10_sep_fields_e3_m3_s0_bits_15_bh2_abc_g_aig.evaluate.py.log,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=7913; sep bit overrides bits=15 bit_hi_bits=2 bit_items=8; official evaluate.py OK; old bh2 was measured under older default flow; this checks current aig flow,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/shared_structure_report.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex205,bf16,ex205_r95_bf16_log10_sep_fields_e4_m3_s0_bits_15_bh1_abc_g_aig,bf16_log10,,16,"field-level recut, not another word-mode hilo sweep",4454,16,71264,shared field decode with finer exponent grouping,separate field split with exp_hi4 mant_hi3 and selected sign bit,,field-reassembled word output,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-log-tight-r95/ex205/logs/ex205_r95_bf16_log10_sep_fields_e4_m3_s0_bits_15_bh1_abc_g_aig.evaluate.py.log,"separate fields exp_hi=4 mant_hi=3 sign_hi=0 items=7986; sep bit overrides bits=15 bit_hi_bits=1 bit_items=8; official evaluate.py OK; field-level recut, not another word-mode hilo sweep",student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/shared_structure_report.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex205,bf16,ex205_r95_bf16_log10_sep_fields_e3_m4_s0_bits_15_bh1_abc_g_aig,bf16_log10,,16,"field-level recut, not another full-word hilo sweep",4554,17,77418,shared field decode with finer mantissa grouping,separate field split with exp_hi3 mant_hi4 and selected sign bit,,field-reassembled word output,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-log-tight-r95/ex205/logs/ex205_r95_bf16_log10_sep_fields_e3_m4_s0_bits_15_bh1_abc_g_aig.evaluate.py.log,"separate fields exp_hi=3 mant_hi=4 sign_hi=0 items=7669; sep bit overrides bits=15 bit_hi_bits=1 bit_items=8; official evaluate.py OK; field-level recut, not another full-word hilo sweep",student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/shared_structure_report.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex205,bf16,ex205_r95_bf16_log10_sep_fields_e4_m2_s0_bits_15_bh1_abc_g_aig,bf16_log10,,16,cross-field recut for lower area at delay 16,4553,17,77401,shared field decode balancing exponent and mantissa tables,separate field split with exp_hi4 mant_hi2 and selected sign bit,,field-reassembled word output,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-log-tight-r95/ex205/logs/ex205_r95_bf16_log10_sep_fields_e4_m2_s0_bits_15_bh1_abc_g_aig.evaluate.py.log,separate fields exp_hi=4 mant_hi=2 sign_hi=0 items=10618; sep bit overrides bits=15 bit_hi_bits=1 bit_items=8; official evaluate.py OK; cross-field recut for lower area at delay 16,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/shared_structure_report.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex205,bf16,ex205_r95_bf16_log10_sep_fields_e2_m4_s0_bits_15_bh1_abc_g_aig,bf16_log10,,16,opposite cross-field recut for lower area at delay 16,4543,16,72688,shared field decode balancing exponent and mantissa tables,separate field split with exp_hi2 mant_hi4 and selected sign bit,,field-reassembled word output,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-log-tight-r95/ex205/logs/ex205_r95_bf16_log10_sep_fields_e2_m4_s0_bits_15_bh1_abc_g_aig.evaluate.py.log,separate fields exp_hi=2 mant_hi=4 sign_hi=0 items=7686; sep bit overrides bits=15 bit_hi_bits=1 bit_items=8; official evaluate.py OK; opposite cross-field recut for lower area at delay 16,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/shared_structure_report.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex205,bf16,ex205_r95_bf16_log10_sep_fields_e3_m3_s0_bits_15_cmp_abc_g_aig,bf16_log10,,16,tests non-hi-lo sign-bit source factoring,4444,16,71104,shared field decode plus comparator-coded sign correction,current separate field split with comparator-run selected sign bit,,field-reassembled word output,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-log-tight-r95/ex205/logs/ex205_r95_bf16_log10_sep_fields_e3_m3_s0_bits_15_cmp_abc_g_aig.evaluate.py.log,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=7913; sep bit overrides bits=15 bit_hi_bits=cmp bit_items=8; official evaluate.py OK; tests non-hi-lo sign-bit source factoring,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/shared_structure_report.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-log-tight-r95,ex205,bf16,ex205_r95_bf16_log10_transform_source_compact_assign_abc_g_aig,bf16_log10_transform,,16,tiny source recut to see whether Yosys already canonicalizes explicit bit list,4444,16,71104,same field decode but simpler final output wiring,current source with compact output concatenation,,field-reassembled word output,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-log-tight-r95/ex205/logs/ex205_r95_bf16_log10_transform_source_compact_assign_abc_g_aig.evaluate.py.log,current ex205 selected-bit seed with compact field concatenation; official evaluate.py OK; tiny source recut to see whether Yosys already canonicalizes explicit bit list,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-log-tight-r95/shared_structure_report.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-power-tight-r95,ex214,bf16,ex214_r95_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_cmp_caseattrs,current default/exception bit13 comparator with case-attribute source recut,,16,lower frontend area/delay through source-level field or selected-output sharing,337,11,3707,,bf16_reciprocal_square,,BF16 field decode plus selected-output source repair,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-power-tight-r95/ex214/logs/ex214_r95_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_cmp_caseattrs.evaluate.py.log,semantic model exact over 65536 inputs; legacy bf16_verilog_search default_expr_exception_case; exceptions=48896; default=zero; matches=16640; selected bit overrides bits=13 bit_hi_bits=cmp bit_items=36; source case attributes parallel_case full_case; official evaluate.py OK; synth_aig=student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-power-tight-r95/ex214/aigs/ex214_r95_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_cmp_caseattrs.aig; yosys_log=student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-power-tight-r95/ex214/logs/ex214_r95_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_cmp_caseattrs.yosys.log; runtime_sec=17.712,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-power-tight-r95/shared_structure_report.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-power-tight-r95,ex214,bf16,ex214_r95_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_bh1_caseattrs,same default/exception base with low-delay hi1 selected-bit13 table,,16,lower frontend area/delay through source-level field or selected-output sharing,340,11,3740,,bf16_reciprocal_square,,BF16 field decode plus selected-output source repair,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-power-tight-r95/ex214/logs/ex214_r95_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_bh1_caseattrs.evaluate.py.log,semantic model exact over 65536 inputs; legacy bf16_verilog_search default_expr_exception_case; exceptions=48896; default=zero; matches=16640; selected bit overrides bits=13 bit_hi_bits=1 bit_items=98; source case attributes parallel_case full_case; official evaluate.py OK; synth_aig=student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-power-tight-r95/ex214/aigs/ex214_r95_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_bh1_caseattrs.aig; yosys_log=student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-power-tight-r95/ex214/logs/ex214_r95_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_bh1_caseattrs.yosys.log; runtime_sec=18.789,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-power-tight-r95/shared_structure_report.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-power-tight-r95,ex214,bf16,ex214_r95_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_15_cmp_caseattrs,default/exception base with paired bit13 plus constant-sign comparator extraction,,16,lower frontend area/delay through source-level field or selected-output sharing,334,12,4008,,bf16_reciprocal_square,,BF16 field decode plus selected-output source repair,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-power-tight-r95/ex214/logs/ex214_r95_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_15_cmp_caseattrs.evaluate.py.log,semantic model exact over 65536 inputs; legacy bf16_verilog_search default_expr_exception_case; exceptions=48896; default=zero; matches=16640; selected bit overrides bits=13_15 bit_hi_bits=cmp bit_items=36; source case attributes parallel_case full_case; official evaluate.py OK; synth_aig=student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-power-tight-r95/ex214/aigs/ex214_r95_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_15_cmp_caseattrs.aig; yosys_log=student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-power-tight-r95/ex214/logs/ex214_r95_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_15_cmp_caseattrs.yosys.log; runtime_sec=17.675,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-power-tight-r95/shared_structure_report.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-power-tight-r95,ex214,bf16,ex214_r95_bf16_reciprocal_square_delta_pair_mant64_hilo3_bits_13_cmp,mant64 delta-pair base with selected bit13 comparator,,16,lower frontend area/delay through source-level field or selected-output sharing,340,12,4080,,bf16_reciprocal_square,,BF16 field decode plus selected-output source repair,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-power-tight-r95/ex214/logs/ex214_r95_bf16_reciprocal_square_delta_pair_mant64_hilo3_bits_13_cmp.evaluate.py.log,semantic model exact over 65536 inputs; delta pair base_policy=mant64 delta_mode=hilo3 items=16530; output bit overrides bits=13 bit_hi_bits=cmp bit_items=36; official evaluate.py OK; synth_aig=student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-power-tight-r95/ex214/aigs/ex214_r95_bf16_reciprocal_square_delta_pair_mant64_hilo3_bits_13_cmp.aig; yosys_log=student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-power-tight-r95/ex214/logs/ex214_r95_bf16_reciprocal_square_delta_pair_mant64_hilo3_bits_13_cmp.yosys.log; runtime_sec=5.874,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-power-tight-r95/shared_structure_report.csv
round95,frontend_gt15_bf16_unknown_round95_20260614_0627,sub-bf16-power-tight-r95,ex214,bf16,ex214_r95_bf16_reciprocal_square_hilo3_word_mode_bits_13_cmp,hilo3 word table recut with selected bit13 comparator,,16,lower frontend area/delay through source-level field or selected-output sharing,557,12,6684,,bf16_reciprocal_square,,BF16 field decode plus selected-output source repair,student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-power-tight-r95/ex214/logs/ex214_r95_bf16_reciprocal_square_hilo3_word_mode_bits_13_cmp.evaluate.py.log,semantic model exact over 65536 inputs; hi_lo split field_mode=False hi_bits=3 default_mode=default_override items=32560; generic hilo word bit overrides bits=13 bit_hi_bits=cmp bit_items=36; official evaluate.py OK; synth_aig=student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-power-tight-r95/ex214/aigs/ex214_r95_bf16_reciprocal_square_hilo3_word_mode_bits_13_cmp.aig; yosys_log=student/work/frontend_gt15_bf16_unknown_round95_20260614_0627/sub-bf16-power-tight-r95/ex214/logs/ex214_r95_bf16_reciprocal_square_hilo3_word_mode_bits_13_cmp.yosys.log; runtime_sec=22.751,student/frontend_campaigns/campaigns/frontend_gt15_bf16_unknown_round95_20260614_0627/agent_shards/sub-bf16-power-tight-r95/shared_structure_report.csv
