case,candidate_id,simulator,status,vector_count,log_path,agent_id,notes,shard_csv,domain,simulation_pass,patterns,method_signature,testbench_path,sim_command,sim_pass,vectors_tested,failure_summary
ex223,ex223_r75_nested_low14_hi5_manual15_14_directspecial_abc_g_aig,iverilog,not_run,0,,sub-fp16-redesc-r75,Official evaluate.py used as authority; iverilog not needed for truth-derived source.,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/simulation_results.csv,fp16,not_run,,,,,,,
ex223,ex223_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig,iverilog,not_run,0,,sub-fp16-redesc-r75,Official evaluate.py used as authority; iverilog not needed for truth-derived source.,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/simulation_results.csv,fp16,not_run,,,,,,,
ex225,ex225_r75_sparse_low14_hi5_directspecial_abc_g_aig,iverilog,not_run,0,,sub-fp16-redesc-r75,Official evaluate.py used as authority; iverilog not needed for truth-derived source.,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/simulation_results.csv,fp16,not_run,,,,,,,
ex225,ex225_r75_sparse_low14_hi5_manual15_directspecial_abc_g_aig,iverilog,not_run,0,,sub-fp16-redesc-r75,Official evaluate.py used as authority; iverilog not needed for truth-derived source.,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/simulation_results.csv,fp16,not_run,,,,,,,
ex225,ex225_r75_sparse_low14_hi5_manual15_14_directspecial_abc_g_aig,iverilog,not_run,0,,sub-fp16-redesc-r75,Official evaluate.py used as authority; iverilog not needed for truth-derived source.,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/simulation_results.csv,fp16,not_run,,,,,,,
ex225,ex225_r75_nested_low12_hi5_directspecial_abc_g_aig,iverilog,not_run,0,,sub-fp16-redesc-r75,Official evaluate.py used as authority; iverilog not needed for truth-derived source.,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/simulation_results.csv,fp16,not_run,,,,,,,
ex225,ex225_r75_nested_low12_hi5_manual15_directspecial_abc_g_aig,iverilog,not_run,0,,sub-fp16-redesc-r75,Official evaluate.py used as authority; iverilog not needed for truth-derived source.,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/simulation_results.csv,fp16,not_run,,,,,,,
ex225,ex225_r75_nested_low13_hi5_manual15_14_13_directspecial_abc_g_aig,iverilog,not_run,0,,sub-fp16-redesc-r75,Official evaluate.py used as authority; iverilog not needed for truth-derived source.,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp16-redesc-r75/simulation_results.csv,fp16,not_run,,,,,,,
ex240,ex240_ex240_r75_final_packed_mux_repo_yosys,not_run,not_run,,,sub-fp8-addhypot-redesc-r75,official evaluate.py used for final equivalence,agent_shards/sub-fp8-addhypot-redesc-r75/simulation_results.csv,float_fp8,not_run,,,,,,,
ex240,ex240_ex240_r75_diff_gapcase_final_mux_repo_yosys,not_run,not_run,,,sub-fp8-addhypot-redesc-r75,official evaluate.py used for final equivalence,agent_shards/sub-fp8-addhypot-redesc-r75/simulation_results.csv,float_fp8,not_run,,,,,,,
