round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,shard_csv,candidate_id,variant,aig_path,,blocked_reason,next_non_repeated_route_hypothesis,evidence_path,outcome,failure_reason,family,next_non_repeated_hypothesis
85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp16-int-hybrid-r85,ex223,fp16,blocked_repeat_of_round84_highword_grouping,truth_cofactor_highword_runs_plus_low_nested_lut,single multi-bit highword predicate tree shares high output boundaries,ex223|fp16_log_r84_highword5_low11_hi5_grouped|truth_cofactor_highword_runs_plus_low_nested_lut|shared_positive_normal_decode_and_output_word_grouping|yosys_abc_g_aig|official_evaluate|not_r80_special_or_hi6_xor_not_r81_affine_not_r82_low12hi4,,,,,Active round85 direction is output-group residual replacement with exact per-bit source hybrids under shard work path.,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp16-int-hybrid-r85/failed_hypotheses.csv,,,,,,,,blocked_prior_evidence,round84 official equivalent nonwinning ADP 204649 and assignment forbids r84 highword replay,blocked_repeat,
85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp16-int-hybrid-r85,ex225,fp16,blocked_repeat_of_round84_highword_grouping,truth_cofactor_highword_runs_plus_low_nested_lut,single multi-bit highword predicate tree shares high output boundaries,ex225|fp16_log10_r84_highword4_low12_hi5_grouped|truth_cofactor_highword_runs_plus_low_nested_lut|shared_positive_normal_decode_and_output_word_grouping|yosys_abc_g_aig|official_evaluate|not_r80_special_or_hi6_xor_not_r81_affine_not_r82_low12hi4,,,,,Active round85 direction is targeted positive-normal output residual replacement instead of highword replay.,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp16-int-hybrid-r85/failed_hypotheses.csv,,,,,,,,blocked_prior_evidence,round84 official equivalent nonwinning ADP 219830 and assignment forbids r84 highword replay,blocked_repeat,
85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp16-int-hybrid-r85,ex260,integer,blocked_repeat_of_round84_wordhit_cover,output_word_hit_cover,one predicate per product word drives all output bits,ex260|signed_low4_high4_multiply_r84_truth_wordhit_cover|output_word_hit_cover|shared_product_value_predicates|yosys_abc_g_aig|official_evaluate|not_baugh_booth_signed_digit_sign_quadrant,,,,,Active round85 direction is exact per-bit source hybrid over current signed compressor boundaries.,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp16-int-hybrid-r85/failed_hypotheses.csv,,,,,,,,blocked_prior_evidence,round84 official equivalent nonwinning ADP 6768 and assignment requests materially different compressor/output clusters,blocked_repeat,
85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp16-int-hybrid-r85,ex266,integer,blocked_repeat_of_round84_wordhit_cover,output_word_hit_cover,one predicate per quotient word drives all quotient bits,ex266|unsigned_low5_high5_divide_r84_quotient_wordhit_cover|output_word_hit_cover|shared_quotient_value_predicates|yosys_abc_g_aig|official_evaluate|not_wordmux_threshold_reciprocal_restoring,,,,,Active round85 direction is exact per-bit quotient source hybrid rather than wordhit or wordmux spelling replay.,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp16-int-hybrid-r85/failed_hypotheses.csv,,,,,,,,blocked_prior_evidence,round84 official equivalent nonwinning ADP 6318 and assignment requests materially different quotient output clusters,blocked_repeat,
85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp16-int-hybrid-r85,ex223,fp16,fp16_log,positive-normal selected high-bit residual over frontend-best source,shared base decode plus exact per-bit output cluster replacement,ex223|fp16_log_r85_output_group_residual_replace|positive_normal_selected_bit_residual_over_frontend_best|shared_decode_plus_exact_bit_cluster_replacement|yosys_abc_g_aig|abc_xf_official_evaluate|not_r84_highword_not_r80_special,,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex223/verilog/ex223_r85_output_group_residual.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex223/logs/ex223_r85_output_group_residual_abc_g_aig.yosys.log,selected output bits 15/14/13,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp16-int-hybrid-r85/failed_hypotheses.csv,ex223_r85_output_group_residual_abc_g_aig,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex223/aigs/ex223_r85_output_group_residual_abc_g_aig.aig,,,,,equivalent_nonwinning,official equivalent but did not beat frontend best ADP 203490,r85_exact_output_cluster_hybrid,
85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp16-int-hybrid-r85,ex225,fp16,fp16_log10,positive-normal selected high and residual-bit replacement over frontend-best source,shared base decode plus exact per-bit output cluster replacement,ex225|fp16_log10_r85_output_group_residual_replace|positive_normal_selected_bit_residual_over_frontend_best|shared_decode_plus_exact_bit_cluster_replacement|yosys_abc_g_aig|abc_xf_official_evaluate|not_r84_highword_not_r80_special,,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex225/verilog/ex225_r85_output_group_residual.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex225/logs/ex225_r85_output_group_residual_abc_g_aig.yosys.log,selected output bits 15/14/13/12/9,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp16-int-hybrid-r85/failed_hypotheses.csv,ex225_r85_output_group_residual_abc_g_aig,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex225/aigs/ex225_r85_output_group_residual_abc_g_aig.aig,,,,,equivalent_nonwinning,official equivalent but did not beat frontend best ADP 218595,r85_exact_output_cluster_hybrid,
85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp16-int-hybrid-r85,ex260,integer,signed_low4_high4_multiply,current signed compressor with exact selected product-bit clusters,current shared compressor plus exact per-bit source replacements,ex260|signed_low4_high4_multiply_r85_exact_output_cluster_hybrid|current_compressor_with_exact_selected_output_clusters|per_bit_source_hybrid_not_wordhit|yosys_abc_g_aig|abc_xf_official_evaluate|not_r84_wordcover_not_r75_csel,,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex260/verilog/ex260_r85_output_cluster_hybrid.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex260/logs/ex260_r85_output_cluster_hybrid_abc_g_aig.yosys.log,selected output bits 7/6/5,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp16-int-hybrid-r85/failed_hypotheses.csv,ex260_r85_output_cluster_hybrid_abc_g_aig,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex260/aigs/ex260_r85_output_cluster_hybrid_abc_g_aig.aig,,,,,equivalent_nonwinning,official equivalent but did not beat frontend best ADP 1131,r85_exact_output_cluster_hybrid,
85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp16-int-hybrid-r85,ex266,integer,unsigned_low5_high5_divide_dbz_sat,current quotient classifier with exact selected quotient-bit clusters,current shared quotient classifier plus exact per-bit source replacements,ex266|unsigned_low5_high5_divide_r85_exact_quotient_cluster_hybrid|current_classifier_with_exact_selected_quotient_clusters|per_bit_source_hybrid_not_wordhit_or_wordmux_spelling|yosys_abc_g_aig|abc_xf_official_evaluate|not_r84_wordcover_not_r75_wordmux,,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex266/verilog/ex266_r85_quotient_cluster_hybrid.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex266/logs/ex266_r85_quotient_cluster_hybrid_abc_g_aig.yosys.log,selected output bits 4/3,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp16-int-hybrid-r85/failed_hypotheses.csv,ex266_r85_quotient_cluster_hybrid_abc_g_aig,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex266/aigs/ex266_r85_quotient_cluster_hybrid_abc_g_aig.aig,,,,,equivalent_nonwinning,official equivalent but did not beat frontend best ADP 1480,r85_exact_output_cluster_hybrid,
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-top-hybrid-r85,ex247,float_fp8,E5M2FN packed low-over-high division,active low-underflow residual boolean replacement,shared invalid/sign/exponent-delta/denominator-bound shell with explicit low_from_pat bit expressions,ex247|E5M2FN packed low-over-high division|active low-underflow residual boolean replacement|shared invalid/sign/exponent-delta/denominator-bound shell with explicit low_from_pat bit expressions|repo_yosys_frontend|official_evaluate|residual_active_region,equivalent_no_frontend_gain,official OK ADP 9200 did not beat frontend 7291,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex247/verilog/ex247_r85_lowpat_boolean.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex247/logs/ex247_r85_lowpat_boolean.evaluate.py.log,official evaluate.py OK; synth_eval_sec=0.803; eval_sec=0.503,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-top-hybrid-r85/failed_hypotheses.csv,ex247_r85_lowpat_boolean,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex247/aigs/ex247_r85_lowpat_boolean.aig,,,try different quotient-boundary decomposition or lower-cost residual sharing,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex247/logs/ex247_r85_lowpat_boolean.evaluate.py.log,,,,
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-top-hybrid-r85,ex246,float_fp8,E5M2FN packed multiply,product mantissa residual SOP replacement,shared sign/exponent-sum/product shell with independently exact mantissa residual expressions; mant_sop_cubes_bit0_30_bit1_27_valid_keys_978,ex246|E5M2FN packed multiply|product mantissa residual SOP replacement|shared sign/exponent-sum/product shell with independently exact mantissa residual expressions; mant_sop_cubes_bit0_30_bit1_27_valid_keys_978|repo_yosys_frontend|official_evaluate|residual_active_region,equivalent_no_frontend_gain,official OK ADP 9528 did not beat frontend 6888,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex246/verilog/ex246_r85_mant_residual_sop.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex246/logs/ex246_r85_mant_residual_sop.evaluate.py.log,official evaluate.py OK; synth_eval_sec=0.994; eval_sec=0.456,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-top-hybrid-r85/failed_hypotheses.csv,ex246_r85_mant_residual_sop,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex246/aigs/ex246_r85_mant_residual_sop.aig,,,try different quotient-boundary decomposition or lower-cost residual sharing,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex246/logs/ex246_r85_mant_residual_sop.evaluate.py.log,,,,
