round,run_id,agent_id,case,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,notes,shard_csv,shared_structure,descriptor_bits,output_grouping,family,purpose,area,delay,adp,expected_verilog_path,expected_aig_path
85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp16-int-hybrid-r85,ex223,ex223_r85_output_group_residual_abc_g_aig,,,,,,,,official_status=OK,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp16-int-hybrid-r85/shared_structure_report.csv,base source plus exact selected output-bit replacement,,15/14/13,r85_exact_output_cluster_hybrid,test output-group residual replacement without round84 highword or wordhit replay,10713,19,203547,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex223/verilog/ex223_r85_output_group_residual.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex223/aigs/ex223_r85_output_group_residual_abc_g_aig.aig
85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp16-int-hybrid-r85,ex225,ex225_r85_output_group_residual_abc_g_aig,,,,,,,,official_status=OK,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp16-int-hybrid-r85/shared_structure_report.csv,base source plus exact selected output-bit replacement,,15/14/13/12/9,r85_exact_output_cluster_hybrid,test output-group residual replacement without round84 highword or wordhit replay,11616,19,220704,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex225/verilog/ex225_r85_output_group_residual.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex225/aigs/ex225_r85_output_group_residual_abc_g_aig.aig
85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp16-int-hybrid-r85,ex260,ex260_r85_output_cluster_hybrid_abc_g_aig,,,,,,,,official_status=OK,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp16-int-hybrid-r85/shared_structure_report.csv,base source plus exact selected output-bit replacement,,7/6/5,r85_exact_output_cluster_hybrid,test output-group residual replacement without round84 highword or wordhit replay,125,12,1500,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex260/verilog/ex260_r85_output_cluster_hybrid.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex260/aigs/ex260_r85_output_cluster_hybrid_abc_g_aig.aig
85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp16-int-hybrid-r85,ex266,ex266_r85_quotient_cluster_hybrid_abc_g_aig,,,,,,,,official_status=OK,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp16-int-hybrid-r85/shared_structure_report.csv,base source plus exact selected output-bit replacement,,4/3,r85_exact_output_cluster_hybrid,test output-group residual replacement without round84 highword or wordhit replay,156,12,1872,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex266/verilog/ex266_r85_quotient_cluster_hybrid.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp16-int-hybrid-r85/ex266/aigs/ex266_r85_quotient_cluster_hybrid_abc_g_aig.aig
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-top-hybrid-r85,ex247,r85_active_div_residual,planned_active_region_residual,0,8,replace only expensive low-underflow residual while preserving denominator-bound semantic shell,,,,checkpoint before candidate generation,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-top-hybrid-r85/shared_structure_report.csv,shared special/sign/exponent-delta/denominator predicates plus independent exact residual expressions,,residual_active_region,,,,,,,
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-top-hybrid-r85,ex246,r85_active_product_residual,planned_product_residual,0,8,seek lower-area delay-21/22 product magnitude residual without product-code replay,,,,checkpoint before candidate generation,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-top-hybrid-r85/shared_structure_report.csv,shared special/sign/exponent-sum/product predicates plus independently exact product residual expressions,,residual_output_cluster,,,,,,,
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-top-hybrid-r85,ex244,r85_active_hypot_delta_residual,planned_delta_residual,0,8,replace high-cost max-plus-delta residual clusters without whole-word/nibble descriptor tables,,,,checkpoint before candidate generation,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-top-hybrid-r85/shared_structure_report.csv,shared nan/max/min/effective-exp/gap/saturation predicates plus independently exact delta residual expressions,,residual_output_cluster,,,,,,,
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-top-hybrid-r85,ex247,ex247_r85_lowpat_boolean,active_region_residual,5,7,reduce low-underflow residual decode without changing denominator-bound shell,368,25,9200,official evaluate.py OK; synth_eval_sec=0.803; eval_sec=0.503,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-top-hybrid-r85/shared_structure_report.csv,shared invalid/sign/exponent-delta/denominator-bound shell with explicit low_from_pat bit expressions,,active_region_residual,,,,,,,
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-top-hybrid-r85,ex246,ex246_r85_mant_residual_sop,active_region_residual,5,7,reduce low-underflow residual decode without changing denominator-bound shell,397,24,9528,official evaluate.py OK; synth_eval_sec=0.994; eval_sec=0.456,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-top-hybrid-r85/shared_structure_report.csv,shared sign/exponent-sum/product shell with independently exact mantissa residual expressions; mant_sop_cubes_bit0_30_bit1_27_valid_keys_978,,active_region_residual,,,,,,,
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-top-hybrid-r85,ex244,ex244_r85_delta_residual_sop,active_region_residual,5,7,reduce low-underflow residual decode without changing denominator-bound shell,472,41,19352,official evaluate.py OK; synth_eval_sec=0.887; eval_sec=0.489,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-top-hybrid-r85/shared_structure_report.csv,shared nan/max/min/effective-exp/gap shell with independently exact delta-bit residual expressions; delta_sop_cubes_bit0_45_bit1_47_bit2_27_valid_keys_2472,,active_region_residual,,,,,,,
