case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,notes
ex200,ex200_bf16_exp_semantic_exp_predecoded_active_luts,bf16_exp_daz_rne_ftz,semantic_exp_predecoded_active_luts,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_predecoded_active_luts.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_predecoded_active_luts.aig,1,1,3728,18,67104,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic predecoded active LUTs items=3893; exact over 65536 inputs
ex200,ex200_bf16_exp_semantic_exp_hybrid_low_runs48,bf16_exp_daz_rne_ftz,semantic_exp_hybrid_low_runs48,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_hybrid_low_runs48.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_hybrid_low_runs48.aig,1,1,4103,17,69751,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic hybrid low-run compression max_runs=48; compressed_exps=15; full_exps=15; items=2501; exact over 65536 inputs
ex200,ex200_bf16_exp_semantic_exp_hybrid_low_runs20,bf16_exp_daz_rne_ftz,semantic_exp_hybrid_low_runs20,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_hybrid_low_runs20.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_hybrid_low_runs20.aig,1,1,3809,18,68562,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic hybrid low-run compression max_runs=20; compressed_exps=11; full_exps=19; items=2724; exact over 65536 inputs
ex200,ex200_bf16_exp_semantic_exp_default_one_per_exp_full_casez_runs,bf16_exp_daz_rne_ftz,semantic_exp_default_one_per_exp_full_casez_runs,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_per_exp_full_casez_runs.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_per_exp_full_casez_runs.aig,1,1,4316,18,77688,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one per-exp full casez runs items=2397; exact over 65536 inputs
ex200,ex200_bf16_exp_semantic_exp_default_one_bool_saturation,bf16_exp_daz_rne_ftz,semantic_exp_default_one_bool_saturation,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_bool_saturation.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_bool_saturation.aig,1,1,3725,18,67050,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one boolean saturation items=3841; exact over 65536 inputs
ex200,ex200_bf16_exp_semantic_exp_delta_add,bf16_exp_daz_rne_ftz,semantic_exp_delta_add,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_delta_add.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_delta_add.aig,1,1,3736,45,168120,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic base plus delta table items=3863; exact over 65536 inputs
ex200,ex200_bf16_exp_semantic_exp_bitplane_casez,bf16_exp_daz_rne_ftz,semantic_exp_bitplane_casez,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_bitplane_casez.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_bitplane_casez.aig,1,1,4329,17,73593,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic bitplane casez items=5646; exact over 65536 inputs
ex200,ex200_bf16_exp_semantic_exp_default_one_casez_active_first,bf16_exp_daz_rne_ftz,semantic_exp_default_one_casez_active_first,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_casez_active_first.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_casez_active_first.aig,1,1,3728,17,63376,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one casez active-first items=3863; exact over 65536 inputs
ex200,ex200_bf16_exp_semantic_exp_default_one_sign_split_casez,bf16_exp_daz_rne_ftz,semantic_exp_default_one_sign_split_casez,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_sign_split_casez.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_sign_split_casez.aig,1,1,3706,18,66708,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one sign-split casez items=3863; exact over 65536 inputs
ex200,ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation,bf16_exp_daz_rne_ftz,semantic_exp_default_one_parallel_casez_saturation,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/verilog/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.v,student/work/ex200_frontend_bf16_semantic_20260605_0748/ex200/aigs/ex200_bf16_exp_semantic_exp_default_one_parallel_casez_saturation.aig,1,1,3717,17,63189,truth table equals DAZ + exp + BF16 RNE + FTZ; semantic default-one parallel casez saturation items=3863; exact over 65536 inputs
