case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,method_signature,status,reason,verilog_path,aig_path,log_path,evidence_path,notes
ex246,float_fp8,sub-fp8-muldiv-r62,ex246_r62_product_class_smallpat_semantic_default,E5M2FN packed multiply with product-class small residual pattern,semantic product-class source with formulaic 2-bit low-boundary residual / default,"shared sign xor, exponent sum, reachable product class, zero/saturation predicates, and tiny low-boundary pattern decoder",ex246|E5M2FN packed multiply|semantic product-class small residual pattern|shared sign xor exponent sum product class low-boundary pattern predicates|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|product_class_small_residual|default,equivalent_but_no_frontend_gain,,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex246/verilog/ex246_r62_product_class_smallpat_semantic.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex246/aigs/ex246_r62_product_class_smallpat_semantic_default.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex246/logs/ex246_r62_product_class_smallpat_semantic_default.evaluate.py.log,,official OK 388/25/9700; frontend_best_adp=6888; reference_adp=2805
ex246,float_fp8,sub-fp8-muldiv-r62,ex246_r62_product_class_smallpat_semantic_synth_preset_aig,E5M2FN packed multiply with product-class small residual pattern,semantic product-class source with formulaic 2-bit low-boundary residual / synth_preset_aig,"shared sign xor, exponent sum, reachable product class, zero/saturation predicates, and tiny low-boundary pattern decoder",ex246|E5M2FN packed multiply|semantic product-class small residual pattern|shared sign xor exponent sum product class low-boundary pattern predicates|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|product_class_small_residual|synth_preset_aig,equivalent_but_no_frontend_gain,,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex246/verilog/ex246_r62_product_class_smallpat_semantic.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex246/aigs/ex246_r62_product_class_smallpat_semantic_synth_preset_aig.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex246/logs/ex246_r62_product_class_smallpat_semantic_synth_preset_aig.evaluate.py.log,,official OK 371/24/8904; frontend_best_adp=6888; reference_adp=2805
ex246,float_fp8,sub-fp8-muldiv-r62,ex246_r62_keybdd_exp_product_default,E5M2FN packed multiply with semantic-key cofactor output grouping,reduced BDD/cofactor source over exponent-sum then product bits / default,"shared sign xor, exponent sum/product key, and cross-output BDD cofactors for selected product boundary behavior",ex246|E5M2FN packed multiply|semantic-key cofactor output grouping|shared sign xor exponent sum product key BDD cofactors|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|exp_then_product_cofactor|default,equivalent_but_no_frontend_gain,,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex246/verilog/ex246_r62_keybdd_exp_product.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex246/aigs/ex246_r62_keybdd_exp_product_default.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex246/logs/ex246_r62_keybdd_exp_product_default.evaluate.py.log,,official OK 377/28/10556; frontend_best_adp=6888; reference_adp=2805
ex246,float_fp8,sub-fp8-muldiv-r62,ex246_r62_keybdd_exp_product_synth_preset_aig,E5M2FN packed multiply with semantic-key cofactor output grouping,reduced BDD/cofactor source over exponent-sum then product bits / synth_preset_aig,"shared sign xor, exponent sum/product key, and cross-output BDD cofactors for selected product boundary behavior",ex246|E5M2FN packed multiply|semantic-key cofactor output grouping|shared sign xor exponent sum product key BDD cofactors|yosys_rtl_official_evaluate|exact_e5m2fn_mul_high_times_low|exp_then_product_cofactor|synth_preset_aig,equivalent_but_no_frontend_gain,,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex246/verilog/ex246_r62_keybdd_exp_product.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex246/aigs/ex246_r62_keybdd_exp_product_synth_preset_aig.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex246/logs/ex246_r62_keybdd_exp_product_synth_preset_aig.evaluate.py.log,,official OK 386/26/10036; frontend_best_adp=6888; reference_adp=2805
ex247,float_fp8,sub-fp8-muldiv-r62,ex247_r62_selected_bit0_cofactor_default,E5M2FN packed low-over-high division with selected-bit residual cofactor,sigpair class source with output bit 0 replaced by semantic-key BDD residual / default,"shared special shell, exponent delta, sigpair class table, and selected output-bit BDD residual",ex247|E5M2FN packed low-over-high division|selected-bit residual cofactor bit0|shared special shell exponent delta sigpair class and bit0 BDD residual|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|selected_bit0_residual_cofactor|default,equivalent_but_no_frontend_gain,,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex247/verilog/ex247_r62_selected_bit0_cofactor.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex247/aigs/ex247_r62_selected_bit0_cofactor_default.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex247/logs/ex247_r62_selected_bit0_cofactor_default.evaluate.py.log,,official OK 566/22/12452; frontend_best_adp=7291; reference_adp=2975
ex247,float_fp8,sub-fp8-muldiv-r62,ex247_r62_selected_bit0_cofactor_synth_preset_aig,E5M2FN packed low-over-high division with selected-bit residual cofactor,sigpair class source with output bit 0 replaced by semantic-key BDD residual / synth_preset_aig,"shared special shell, exponent delta, sigpair class table, and selected output-bit BDD residual",ex247|E5M2FN packed low-over-high division|selected-bit residual cofactor bit0|shared special shell exponent delta sigpair class and bit0 BDD residual|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|selected_bit0_residual_cofactor|synth_preset_aig,equivalent_but_no_frontend_gain,,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex247/verilog/ex247_r62_selected_bit0_cofactor.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex247/aigs/ex247_r62_selected_bit0_cofactor_synth_preset_aig.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex247/logs/ex247_r62_selected_bit0_cofactor_synth_preset_aig.evaluate.py.log,,official OK 538/21/11298; frontend_best_adp=7291; reference_adp=2975
ex247,float_fp8,sub-fp8-muldiv-r62,ex247_r62_qclass_smallpat_nested_den_default,E5M2FN packed low-over-high division with quotient-class small residual pattern,denominator-nested quotient class plus formulaic low-underflow pattern / default,"shared special shell, exponent delta, denominator-nested quotient predicates, rounding/saturation predicates, and tiny low-boundary pattern decoder",ex247|E5M2FN packed low-over-high division|quotient-class small residual pattern|shared special shell exponent delta denominator quotient class low-boundary pattern predicates|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|qclass_small_residual|default,equivalent_but_no_frontend_gain,,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex247/verilog/ex247_r62_qclass_smallpat_nested_den.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex247/aigs/ex247_r62_qclass_smallpat_nested_den_default.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex247/logs/ex247_r62_qclass_smallpat_nested_den_default.evaluate.py.log,,official OK 343/30/10290; frontend_best_adp=7291; reference_adp=2975
ex247,float_fp8,sub-fp8-muldiv-r62,ex247_r62_qclass_smallpat_nested_den_synth_preset_aig,E5M2FN packed low-over-high division with quotient-class small residual pattern,denominator-nested quotient class plus formulaic low-underflow pattern / synth_preset_aig,"shared special shell, exponent delta, denominator-nested quotient predicates, rounding/saturation predicates, and tiny low-boundary pattern decoder",ex247|E5M2FN packed low-over-high division|quotient-class small residual pattern|shared special shell exponent delta denominator quotient class low-boundary pattern predicates|yosys_rtl_official_evaluate|exact_e5m2fn_div_low_over_high|qclass_small_residual|synth_preset_aig,equivalent_but_no_frontend_gain,,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex247/verilog/ex247_r62_qclass_smallpat_nested_den.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex247/aigs/ex247_r62_qclass_smallpat_nested_den_synth_preset_aig.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-muldiv-r62/ex247/logs/ex247_r62_qclass_smallpat_nested_den_synth_preset_aig.evaluate.py.log,,official OK 309/30/9270; frontend_best_adp=7291; reference_adp=2975
ex285,unknown,sub-unk285-r62,,mixed source structures from output invariant classes,,,ex285|mixed_source_structure|output_value_casez_cube_cover|output_grouped_invariant_class_cubes|yosys_internal_abc_g_aig|official_evaluate|full_word_output_value_groups,equivalent_but_no_frontend_improvement,ADP 53154 does not beat current frontend ADP 11033,student/work/frontend_source_parallel_round62_20260613_0907/sub-unk285-r62/ex285/verilog/ex285_r62_output_value_cube_cover.v,,,student/work/frontend_source_parallel_round62_20260613_0907/sub-unk285-r62/ex285/logs/ex285_r62_output_value_cube_cover_abc_g_aig.evaluate.py.log,exact source-only candidate; keep as evidence but do not repeat unchanged
ex285,unknown,sub-unk285-r62,,output grouping by invariant classes,,,ex285|output_grouping_by_invariant_classes|singlepair45_orbit_case|shared_swap45_orbit_descriptor|yosys_internal_abc_g_aig|official_evaluate|full_word_orbit_groups,equivalent_but_no_frontend_improvement,ADP 62262 does not beat current frontend ADP 11033,student/work/frontend_source_parallel_round62_20260613_0907/sub-unk285-r62/ex285/verilog/ex285_r62_singlepair45_orbit_case.v,,,student/work/frontend_source_parallel_round62_20260613_0907/sub-unk285-r62/ex285/logs/ex285_r62_singlepair45_orbit_case_abc_g_aig.evaluate.py.log,exact source-only candidate; keep as evidence but do not repeat unchanged
