case,domain,agent_id,candidate_id,source_family,simulator,simulation_type,simulation_pass,passed,status,rows_checked,mismatches,log_path,evidence_path,notes
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_outbit_grouped_split_norm_default_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_outbit_grouped_split_norm_extra_share_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_outbit_grouped_split_norm_abc_g_aig_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_outbit_grouped_split_norm_synth_preset_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_branch_pack_function_split_norm_default_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_branch_pack_function_split_norm_extra_share_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_branch_pack_function_split_norm_abc_g_aig_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_branch_pack_function_split_norm_synth_preset_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_same_delta_diff_quant_default_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_same_delta_diff_quant_extra_share_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_same_delta_diff_quant_abc_g_aig_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_same_delta_diff_quant_synth_preset_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_field_delta_selected_residual_default_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_field_delta_selected_residual_extra_share_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_field_delta_selected_residual_abc_g_aig_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_field_delta_selected_residual_synth_preset_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_outbit_grouped_current_delta_default_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_outbit_grouped_current_delta_extra_share_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_outbit_grouped_current_delta_abc_g_aig_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_outbit_grouped_current_delta_synth_preset_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_delta_bit_sat_shared_default_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_delta_bit_sat_shared_extra_share_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_delta_bit_sat_shared_abc_g_aig_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_delta_bit_sat_shared_synth_preset_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_sig_gap_threshold_formula_default_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_sig_gap_threshold_formula_extra_share_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_sig_gap_threshold_formula_abc_g_aig_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_sig_gap_threshold_formula_synth_preset_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_delta_bit_orbits_default_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_delta_bit_orbits_extra_share_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_delta_bit_orbits_abc_g_aig_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_delta_bit_orbits_synth_preset_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_outbit_grouped_rawexp_default_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_outbit_grouped_rawexp_extra_share_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_outbit_grouped_rawexp_abc_g_aig_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_outbit_grouped_rawexp_synth_preset_raw,,,,not_run,,,,,,,official evaluate.py used for final verification
