case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,sharing_strategy,synth_flow,structure,shared_nodes,output_bits,prior_low_value_signatures_avoided,status,evidence,evidence_path,result,notes
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_outbit_grouped_split_norm_default_raw,FP8 source predicate/table restructuring,ex240_r62_outbit_grouped_split_norm + default + raw,field decode plus same-gap split norm with per-output-bit NaN/mag mux grouping,,,,,,,,,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_outbit_grouped_split_norm_extra_share_raw,FP8 source predicate/table restructuring,ex240_r62_outbit_grouped_split_norm + extra_share + raw,field decode plus same-gap split norm with per-output-bit NaN/mag mux grouping,,,,,,,,,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_outbit_grouped_split_norm_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_r62_outbit_grouped_split_norm + abc_g_aig + raw,field decode plus same-gap split norm with per-output-bit NaN/mag mux grouping,,,,,,,,,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_outbit_grouped_split_norm_synth_preset_raw,FP8 source predicate/table restructuring,ex240_r62_outbit_grouped_split_norm + synth_preset + raw,field decode plus same-gap split norm with per-output-bit NaN/mag mux grouping,,,,,,,,,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_branch_pack_function_split_norm_default_raw,FP8 source predicate/table restructuring,ex240_r62_branch_pack_function_split_norm + default + raw,field decode plus same/diff branch output selection factored into one pack function,,,,,,,,,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_branch_pack_function_split_norm_extra_share_raw,FP8 source predicate/table restructuring,ex240_r62_branch_pack_function_split_norm + extra_share + raw,field decode plus same/diff branch output selection factored into one pack function,,,,,,,,,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_branch_pack_function_split_norm_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_r62_branch_pack_function_split_norm + abc_g_aig + raw,field decode plus same/diff branch output selection factored into one pack function,,,,,,,,,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_branch_pack_function_split_norm_synth_preset_raw,FP8 source predicate/table restructuring,ex240_r62_branch_pack_function_split_norm + synth_preset + raw,field decode plus same/diff branch output selection factored into one pack function,,,,,,,,,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_same_delta_diff_quant_default_raw,FP8 source predicate/table restructuring,ex240_r62_same_delta_diff_quant + default + raw,same-sign residual delta table plus shared diff quantizer formula,,,,,,,,,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_same_delta_diff_quant_extra_share_raw,FP8 source predicate/table restructuring,ex240_r62_same_delta_diff_quant + extra_share + raw,same-sign residual delta table plus shared diff quantizer formula,,,,,,,,,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_same_delta_diff_quant_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_r62_same_delta_diff_quant + abc_g_aig + raw,same-sign residual delta table plus shared diff quantizer formula,,,,,,,,,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_same_delta_diff_quant_synth_preset_raw,FP8 source predicate/table restructuring,ex240_r62_same_delta_diff_quant + synth_preset + raw,same-sign residual delta table plus shared diff quantizer formula,,,,,,,,,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_field_delta_selected_residual_default_raw,FP8 source predicate/table restructuring,ex240_r62_field_delta_selected_residual + default + raw,same-sign delta and selected diff residual table keyed by shared field decode,,,,,,,,,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_field_delta_selected_residual_extra_share_raw,FP8 source predicate/table restructuring,ex240_r62_field_delta_selected_residual + extra_share + raw,same-sign delta and selected diff residual table keyed by shared field decode,,,,,,,,,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_field_delta_selected_residual_abc_g_aig_raw,FP8 source predicate/table restructuring,ex240_r62_field_delta_selected_residual + abc_g_aig + raw,same-sign delta and selected diff residual table keyed by shared field decode,,,,,,,,,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_field_delta_selected_residual_synth_preset_raw,FP8 source predicate/table restructuring,ex240_r62_field_delta_selected_residual + synth_preset + raw,same-sign delta and selected diff residual table keyed by shared field decode,,,,,,,,,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_outbit_grouped_current_delta_default_raw,FP8 source predicate/table restructuring,ex244_r62_outbit_grouped_current_delta + default + raw,current max-eff delta BDD with per-output-bit NaN/mag mux grouping,,,,,,,,,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_outbit_grouped_current_delta_extra_share_raw,FP8 source predicate/table restructuring,ex244_r62_outbit_grouped_current_delta + extra_share + raw,current max-eff delta BDD with per-output-bit NaN/mag mux grouping,,,,,,,,,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_outbit_grouped_current_delta_abc_g_aig_raw,FP8 source predicate/table restructuring,ex244_r62_outbit_grouped_current_delta + abc_g_aig + raw,current max-eff delta BDD with per-output-bit NaN/mag mux grouping,,,,,,,,,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_outbit_grouped_current_delta_synth_preset_raw,FP8 source predicate/table restructuring,ex244_r62_outbit_grouped_current_delta + synth_preset + raw,current max-eff delta BDD with per-output-bit NaN/mag mux grouping,,,,,,,,,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_delta_bit_sat_shared_default_raw,FP8 source predicate/table restructuring,ex244_r62_delta_bit_sat_shared + default + raw,delta bits exposed as shared increment predicates with explicit saturation sharing,,,,,,,,,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
