case,domain,agent_id,candidate_id,method_signature,status,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_outbit_grouped_split_norm_default_raw,,,1,641,45,28845,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/verilog/ex240_r62_outbit_grouped_split_norm.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/aigs/ex240_ex240_r62_outbit_grouped_split_norm_default_raw.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/logs/ex240_ex240_r62_outbit_grouped_split_norm_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/logs/ex240_r62_outbit_grouped_split_norm_default.yosys.log; abc_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/logs/ex240_ex240_r62_outbit_grouped_split_norm_default_raw.abc.log; synth_sec=0.515; abc_sec=0.000; eval_sec=0.876
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_outbit_grouped_split_norm_extra_share_raw,,,1,638,46,29348,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/verilog/ex240_r62_outbit_grouped_split_norm.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/aigs/ex240_ex240_r62_outbit_grouped_split_norm_extra_share_raw.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/logs/ex240_ex240_r62_outbit_grouped_split_norm_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/logs/ex240_r62_outbit_grouped_split_norm_extra_share.yosys.log; abc_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/logs/ex240_ex240_r62_outbit_grouped_split_norm_extra_share_raw.abc.log; synth_sec=0.491; abc_sec=0.000; eval_sec=0.846
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_outbit_grouped_split_norm_abc_g_aig_raw,,,1,626,45,28170,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/verilog/ex240_r62_outbit_grouped_split_norm.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/aigs/ex240_ex240_r62_outbit_grouped_split_norm_abc_g_aig_raw.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/logs/ex240_ex240_r62_outbit_grouped_split_norm_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/logs/ex240_r62_outbit_grouped_split_norm_abc_g_aig.yosys.log; abc_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/logs/ex240_ex240_r62_outbit_grouped_split_norm_abc_g_aig_raw.abc.log; synth_sec=0.508; abc_sec=0.000; eval_sec=0.850
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_outbit_grouped_split_norm_synth_preset_raw,,,1,613,44,26972,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/verilog/ex240_r62_outbit_grouped_split_norm.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/aigs/ex240_ex240_r62_outbit_grouped_split_norm_synth_preset_raw.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/logs/ex240_ex240_r62_outbit_grouped_split_norm_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/logs/ex240_r62_outbit_grouped_split_norm_synth_preset.yosys.log; abc_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_outbit_grouped_split_norm/logs/ex240_ex240_r62_outbit_grouped_split_norm_synth_preset_raw.abc.log; synth_sec=0.626; abc_sec=0.000; eval_sec=0.855
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_branch_pack_function_split_norm_default_raw,,,1,645,45,29025,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/verilog/ex240_r62_branch_pack_function_split_norm.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/aigs/ex240_ex240_r62_branch_pack_function_split_norm_default_raw.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/logs/ex240_ex240_r62_branch_pack_function_split_norm_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/logs/ex240_r62_branch_pack_function_split_norm_default.yosys.log; abc_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/logs/ex240_ex240_r62_branch_pack_function_split_norm_default_raw.abc.log; synth_sec=0.507; abc_sec=0.000; eval_sec=0.843
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_branch_pack_function_split_norm_extra_share_raw,,,1,634,47,29798,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/verilog/ex240_r62_branch_pack_function_split_norm.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/aigs/ex240_ex240_r62_branch_pack_function_split_norm_extra_share_raw.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/logs/ex240_ex240_r62_branch_pack_function_split_norm_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/logs/ex240_r62_branch_pack_function_split_norm_extra_share.yosys.log; abc_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/logs/ex240_ex240_r62_branch_pack_function_split_norm_extra_share_raw.abc.log; synth_sec=0.495; abc_sec=0.000; eval_sec=0.880
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_branch_pack_function_split_norm_abc_g_aig_raw,,,1,624,45,28080,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/verilog/ex240_r62_branch_pack_function_split_norm.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/aigs/ex240_ex240_r62_branch_pack_function_split_norm_abc_g_aig_raw.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/logs/ex240_ex240_r62_branch_pack_function_split_norm_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/logs/ex240_r62_branch_pack_function_split_norm_abc_g_aig.yosys.log; abc_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/logs/ex240_ex240_r62_branch_pack_function_split_norm_abc_g_aig_raw.abc.log; synth_sec=0.512; abc_sec=0.000; eval_sec=0.840
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_branch_pack_function_split_norm_synth_preset_raw,,,1,582,46,26772,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/verilog/ex240_r62_branch_pack_function_split_norm.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/aigs/ex240_ex240_r62_branch_pack_function_split_norm_synth_preset_raw.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/logs/ex240_ex240_r62_branch_pack_function_split_norm_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/logs/ex240_r62_branch_pack_function_split_norm_synth_preset.yosys.log; abc_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_branch_pack_function_split_norm/logs/ex240_ex240_r62_branch_pack_function_split_norm_synth_preset_raw.abc.log; synth_sec=0.635; abc_sec=0.000; eval_sec=0.848
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_same_delta_diff_quant_default_raw,,,1,1129,90,101610,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_same_delta_diff_quant/verilog/ex240_r62_same_delta_diff_quant.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_same_delta_diff_quant/aigs/ex240_ex240_r62_same_delta_diff_quant_default_raw.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_same_delta_diff_quant/logs/ex240_ex240_r62_same_delta_diff_quant_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_same_delta_diff_quant/logs/ex240_r62_same_delta_diff_quant_default.yosys.log; abc_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_same_delta_diff_quant/logs/ex240_ex240_r62_same_delta_diff_quant_default_raw.abc.log; synth_sec=0.689; abc_sec=0.000; eval_sec=0.839
ex240,float_fp8,sub-fp8-addhyp-r62,ex240_ex240_r62_same_delta_diff_quant_extra_share_raw,,,1,1145,92,105340,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_same_delta_diff_quant/verilog/ex240_r62_same_delta_diff_quant.v,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_same_delta_diff_quant/aigs/ex240_ex240_r62_same_delta_diff_quant_extra_share_raw.aig,student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_same_delta_diff_quant/logs/ex240_ex240_r62_same_delta_diff_quant_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_same_delta_diff_quant/logs/ex240_r62_same_delta_diff_quant_extra_share.yosys.log; abc_log=student/work/frontend_source_parallel_round62_20260613_0907/sub-fp8-addhyp-r62/ex240/ex240_r62_same_delta_diff_quant/logs/ex240_ex240_r62_same_delta_diff_quant_extra_share_raw.abc.log; synth_sec=0.719; abc_sec=0.000; eval_sec=0.856
