case,candidate_id,simulator,status,log_path,agent_id,run_id,notes
ex246,ex246_semantic_mul_threshold_pred_norm_synth_preset_aig,,,,,ex200_ex299_frontend_refgap_round16_20260612_2233,Skipped; official evaluate.py was run for this candidate.
ex246,ex246_semantic_mul_sigpair_minlogic_full_synth_preset_aig,,,,,ex200_ex299_frontend_refgap_round16_20260612_2233,Skipped; official evaluate.py was run for this candidate.
ex246,ex246_semantic_mul_sigprodcode_residual_seed12_synth_preset_aig,,,,,ex200_ex299_frontend_refgap_round16_20260612_2233,Skipped; official evaluate.py was run for this candidate.
ex244,ex244_semantic_hypot_delta_maxeff_bdd_mixed_synth_preset_aig,,,,,ex200_ex299_frontend_refgap_round16_20260612_2233,Skipped; official evaluate.py was run for this candidate.
ex244,ex244_semantic_hypot_direct_result_residual_synth_preset_aig,,,,,ex200_ex299_frontend_refgap_round16_20260612_2233,Skipped; official evaluate.py was run for this candidate.
ex244,ex244_semantic_hypot_threshold_maxeff_packed_synth_preset_aig,,,,,ex200_ex299_frontend_refgap_round16_20260612_2233,Skipped; official evaluate.py was run for this candidate.
ex247,ex247_semantic_div_sigpair_minlogic_full_synth_preset_aig,,,,,ex200_ex299_frontend_refgap_round16_20260612_2233,Skipped; official evaluate.py was run for this candidate.
ex249,ex249_semantic_hypot_delta_bdd_alt_order_synth_preset_aig,,,,,ex200_ex299_frontend_refgap_round16_20260612_2233,Skipped; official evaluate.py was run for this candidate.
ex240,ex240_semantic_add_same_grs_diff_grs_synth_preset_aig,,,,,ex200_ex299_frontend_refgap_round16_20260612_2233,Skipped; official evaluate.py was run for this candidate.
ex225,ex225_outputcofactor_hi8_low8_abc_g_aig,iverilog,not_run,,,ex200_ex299_frontend_refgap_round16_20260612_2233,debug simulation skipped; official evaluate.py was used for candidate acceptance
ex223,ex223_outputcofactor_hi8_low8_abc_g_aig,iverilog,not_run,,,ex200_ex299_frontend_refgap_round16_20260612_2233,debug simulation skipped; official evaluate.py was used for candidate acceptance
ex204,ex204_outputcofactor_hi8_low8_abc_g_gates,iverilog,not_run,,,ex200_ex299_frontend_refgap_round16_20260612_2233,debug simulation skipped; official evaluate.py was used for candidate acceptance
