round,run_id,agent_id,case,candidate_id,simulator,status,patterns,log_path,notes,shard_csv,method_signature,simulated,sim_status,sim_log
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex260,ex260_r84_wordhit_cover_abc_g_aig,official_evaluate.py,not_run,0,student/runs/integer/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex260/official_eval/ex260_r84_wordhit_cover_abc_g_aig/ex260_r84_wordhit_cover_abc_g_aig.evaluate.py.log,official evaluate.py used as final equivalence authority,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/simulation_results.csv,,,,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex266,ex266_r84_wordhit_cover_abc_g_aig,official_evaluate.py,not_run,0,student/runs/integer/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex266/official_eval/ex266_r84_wordhit_cover_abc_g_aig/ex266_r84_wordhit_cover_abc_g_aig.evaluate.py.log,official evaluate.py used as final equivalence authority,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/simulation_results.csv,,,,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex223,ex223_r84_highword5_low11_hi5_abc_g_aig,not_run,not_run,0,,official evaluate.py used for equivalence,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/simulation_results.csv,,,,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex225,ex225_r84_highword4_low12_hi5_abc_g_aig,not_run,not_run,0,,official evaluate.py used for equivalence,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/simulation_results.csv,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex247,ex247_r84_desc_word_case,not_run,not_run,0,,official evaluate.py is the acceptance check for this shard,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/simulation_results.csv,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex247,ex247_r84_desc_nibble_cofactor,not_run,not_run,0,,official evaluate.py is the acceptance check for this shard,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/simulation_results.csv,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex246,ex246_r84_desc_word_case,not_run,not_run,0,,official evaluate.py is the acceptance check for this shard,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/simulation_results.csv,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex244,ex244_r84_desc_word_case,not_run,not_run,0,,official evaluate.py is the acceptance check for this shard,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/simulation_results.csv,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex246,ex246_r84_desc_nibble_cofactor,not_run,not_run,0,,official evaluate.py is the acceptance check for this shard,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/simulation_results.csv,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex244,ex244_r84_desc_nibble_cofactor,not_run,not_run,0,,official evaluate.py is the acceptance check for this shard,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/simulation_results.csv,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-unknown-descriptor-r84,ex297,ex297_r84_cyclic2_symbol_descriptor,truth_conflict_screen,completed_diagnostic,31_descriptor_rows,student/work/frontend_radical_parallel_round84_20260613_2103/sub-unknown-descriptor-r84/ex297/diagnostics/ex297_r84_descriptor_diagnostics.csv,no RTL emitted because compact exact descriptor was not found,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-descriptor-r84/simulation_results.csv,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-unknown-descriptor-r84,ex299,ex299_r84_cyclic2_symbol_descriptor,truth_conflict_screen,completed_diagnostic,32_descriptor_rows,student/work/frontend_radical_parallel_round84_20260613_2103/sub-unknown-descriptor-r84/ex299/diagnostics/ex299_r84_descriptor_diagnostics.csv,no RTL emitted because compact exact descriptor was not found,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-descriptor-r84/simulation_results.csv,,,,
,,sub-unknown-route-r84,ex285,ex285_r84_sorted_position_descriptor,,,,,Exactness follows from current exact frontend fallback plus conflict-free truth-derived delta groups; official evaluate.py is the validity check.,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-route-r84/simulation_results.csv,ex285|hamming_weight_preserving_lossy_routing_normalizer|sorted_position_descriptor|shared_popcount_layer_plus_coarse_sorted_one-position_bounds|yosys_internal_abc_g_aig|official_evaluate|full_word_delta_groups,0,not_run,
