round,run_id,agent_id,case,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,status,notes,shard_csv,method_signature
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex260,ex260_r84_wordhit_cover_abc_g_aig,1,564,12,6768,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex260/verilog/ex260_r84_wordhit_cover.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex260/aigs/ex260_r84_wordhit_cover_abc_g_aig.aig,student/runs/integer/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex260/official_eval/ex260_r84_wordhit_cover_abc_g_aig/ex260_r84_wordhit_cover_abc_g_aig.evaluate.py.log,OK,source-free grouped output cover; materially different from recent arithmetic compressor and signed-digit families,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/evaluation_results.csv,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex266,ex266_r84_wordhit_cover_abc_g_aig,1,486,13,6318,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex266/verilog/ex266_r84_wordhit_cover.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex266/aigs/ex266_r84_wordhit_cover_abc_g_aig.aig,student/runs/integer/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex266/official_eval/ex266_r84_wordhit_cover_abc_g_aig/ex266_r84_wordhit_cover_abc_g_aig.evaluate.py.log,OK,source-free grouped quotient cover; materially different from current cofactor wordmux spelling and serial recurrence families,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/evaluation_results.csv,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex223,ex223_r84_highword5_low11_hi5_abc_g_aig,1,10771,19,204649,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex223/verilog/ex223_r84_highword5_low11_hi5.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex223/aigs/ex223_r84_highword5_low11_hi5_abc_g_aig.aig,student/runs/fp16/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex223/official_eval/ex223_r84_highword5_low11_hi5_abc_g_aig/ex223_r84_highword5_low11_hi5_abc_g_aig.evaluate.py.log,OK,highword grouped positive-normal run tree plus exact low nested LUT; high_width=5; low_width=11; nested_hi=5; nested_lo=5; high_runs=45; high_max_runs=7; high_const_groups=24; low_items=30720; special_const_groups=33; special_full_groups=1; special_items=1057; official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/evaluation_results.csv,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex225,ex225_r84_highword4_low12_hi5_abc_g_aig,1,11570,19,219830,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex225/verilog/ex225_r84_highword4_low12_hi5.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex225/aigs/ex225_r84_highword4_low12_hi5_abc_g_aig.aig,student/runs/fp16/frontend_radical_parallel_round84_20260613_2103/sub-arith-fp16-r84/ex225/official_eval/ex225_r84_highword4_low12_hi5_abc_g_aig/ex225_r84_highword4_low12_hi5_abc_g_aig.evaluate.py.log,OK,highword grouped positive-normal run tree plus exact low nested LUT; high_width=4; low_width=12; nested_hi=5; nested_lo=5; high_runs=38; high_max_runs=4; high_const_groups=26; low_items=30720; special_const_groups=33; special_full_groups=1; special_items=1057; official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/evaluation_results.csv,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex247,ex247_r84_desc_word_case,1,1795,30,53850,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex247/verilog/ex247_r84_desc_word_case.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex247/aigs/ex247_r84_desc_word_case.aig,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex247/logs/ex247_r84_desc_word_case.evaluate.py.log,OK,descriptor key exactness checked during generation,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/evaluation_results.csv,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex247,ex247_r84_desc_nibble_cofactor,1,3297,32,105504,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex247/verilog/ex247_r84_desc_nibble_cofactor.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex247/aigs/ex247_r84_desc_nibble_cofactor.aig,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex247/logs/ex247_r84_desc_nibble_cofactor.evaluate.py.log,OK,descriptor key exactness checked during generation,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/evaluation_results.csv,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex246,ex246_r84_desc_word_case,1,994,29,28826,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex246/verilog/ex246_r84_desc_word_case.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex246/aigs/ex246_r84_desc_word_case.aig,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex246/logs/ex246_r84_desc_word_case.evaluate.py.log,OK,descriptor key exactness checked during generation,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/evaluation_results.csv,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex244,ex244_r84_desc_word_case,1,1472,35,51520,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex244/verilog/ex244_r84_desc_word_case.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex244/aigs/ex244_r84_desc_word_case.aig,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex244/logs/ex244_r84_desc_word_case.evaluate.py.log,OK,descriptor key exactness checked during generation,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/evaluation_results.csv,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex246,ex246_r84_desc_nibble_cofactor,1,715,32,22880,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex246/verilog/ex246_r84_desc_nibble_cofactor.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex246/aigs/ex246_r84_desc_nibble_cofactor.aig,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex246/logs/ex246_r84_desc_nibble_cofactor.evaluate.py.log,OK,descriptor key exactness checked during generation,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/evaluation_results.csv,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex244,ex244_r84_desc_nibble_cofactor,1,1384,39,53976,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex244/verilog/ex244_r84_desc_nibble_cofactor.v,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex244/aigs/ex244_r84_desc_nibble_cofactor.aig,student/work/frontend_radical_parallel_round84_20260613_2103/sub-fp8-structural-r84/ex244/logs/ex244_r84_desc_nibble_cofactor.evaluate.py.log,OK,descriptor key exactness checked during generation,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/evaluation_results.csv,
