round,run_id,agent_id,case,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,notes,shard_csv,shared_structure,descriptor_bits,output_grouping,method_signature,status,observations,next_action
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex260,ex260_r84_wordhit_cover_abc_g_aig,truth_output_word_hit_cover,nonzero_output_words,all,test if shared word predicates expose lower-delay multi-output logic,564,12,6768,source-free grouped output cover; materially different from recent arithmetic compressor and signed-digit families,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/shared_structure_report.csv,one hit wire per nonzero output word,input_word,whole output word,,,,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex266,ex266_r84_wordhit_cover_abc_g_aig,truth_output_word_hit_cover,nonzero_output_words,all,test if shared word predicates expose lower-delay multi-output logic,486,13,6318,source-free grouped quotient cover; materially different from current cofactor wordmux spelling and serial recurrence families,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/shared_structure_report.csv,one hit wire per nonzero output word,input_word,whole output word,,,,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex223,ex223_r84_highword5_low11_hi5_abc_g_aig,truth_derived_highword_cofactor_grouping,1,16,share high output bit boundaries while preserving exact low LUT,10771,19,204649,highword grouped positive-normal run tree plus exact low nested LUT; high_width=5; low_width=11; nested_hi=5; nested_lo=5; high_runs=45; high_max_runs=7; high_const_groups=24; low_items=30720; special_const_groups=33; special_full_groups=1; special_items=1057,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/shared_structure_report.csv,out_hi grouped word tree,5,highword plus low nested,,,,
84,frontend_radical_parallel_round84_20260613_2103,sub-arith-fp16-r84,ex225,ex225_r84_highword4_low12_hi5_abc_g_aig,truth_derived_highword_cofactor_grouping,1,16,share high output bit boundaries while preserving exact low LUT,11570,19,219830,highword grouped positive-normal run tree plus exact low nested LUT; high_width=4; low_width=12; nested_hi=5; nested_lo=5; high_runs=38; high_max_runs=4; high_const_groups=26; low_items=30720; special_const_groups=33; special_full_groups=1; special_items=1057,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-arith-fp16-r84/shared_structure_report.csv,out_hi grouped word tree,4,highword plus low nested,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex247,r84_planned_denquot_residual,planned_denominator_quotient_residual,0,8,reduce low-boundary table area while avoiding boundary replay,,,,active method_signature ex247 denominator quotient residual PLA with bounded arithmetic reconstruction,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/shared_structure_report.csv,shared denominator/numerator sig decode plus exponent-delta bucket predicates,TBD,full_word,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex246,r84_planned_product_residual,planned_product_exponent_residual,0,8,seek lower-area delay-21/22 product representation without zero-product bypass or sorted product replay,,,,queued method_signature ex246 product exponent residual PLA with bounded arithmetic reconstruction,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/shared_structure_report.csv,shared sign exponent-sum product and saturation/underflow predicates,TBD,full_word,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex244,r84_planned_hypot_residual,planned_hypot_residual,0,8,reduce max/min plus delta decode without sat-delta-tail replay,,,,queued method_signature ex244 hypot residual PLA with bounded saturating increment reconstruction,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/shared_structure_report.csv,shared max/min effective exponent gap and significand predicates,TBD,full_word,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex247,ex247_r84_desc_word_case,descriptor_cofactored_output_grouping,1,8,expose one descriptor shared by all output groups,1795,30,53850,nonwinning rows still record structural evidence,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/shared_structure_report.csv,shared FP8 field descriptor before output lookup,16,full_word,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex247,ex247_r84_desc_nibble_cofactor,descriptor_cofactored_output_grouping,1,8,expose one descriptor shared by all output groups,3297,32,105504,nonwinning rows still record structural evidence,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/shared_structure_report.csv,shared FP8 field descriptor before output lookup,16,nibble_split,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex246,ex246_r84_desc_word_case,descriptor_cofactored_output_grouping,1,8,expose one descriptor shared by all output groups,994,29,28826,nonwinning rows still record structural evidence,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/shared_structure_report.csv,shared FP8 field descriptor before output lookup,14,full_word,,,,
