case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,items,classification,notes
ex236,ex236_formula_high9_8_hi5_abc_g_aig,fp16_cube,formula_high9_8_hi5,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex236/verilog/ex236_formula_high9_8_hi5.v,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex236/aigs/ex236_formula_high9_8_hi5_abc_g_aig.aig,1,1,1,1737,17,29529,17290,1.707866,0,0,1.974,"special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=9,8; low_width=8; nested_hi=5",semantic_formula_exact,"special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=9,8; low_width=8; nested_hi=5"
ex236,ex236_formula_high9_8_hi6_abc_g_aig,fp16_cube,formula_high9_8_hi6,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex236/verilog/ex236_formula_high9_8_hi6.v,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex236/aigs/ex236_formula_high9_8_hi6_abc_g_aig.aig,1,1,1,2042,18,36756,17290,2.125853,0,0,2.100,"special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=9,8; low_width=8; nested_hi=6",semantic_formula_exact,"special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=9,8; low_width=8; nested_hi=6"
ex236,ex236_formula_high9_hi5_abc_g_aig,fp16_cube,formula_high9_hi5,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex236/verilog/ex236_formula_high9_hi5.v,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex236/aigs/ex236_formula_high9_hi5_abc_g_aig.aig,1,1,1,1829,18,32922,17290,1.904106,0,0,2.001,special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=9; low_width=9; nested_hi=5,semantic_formula_exact,special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=9; low_width=9; nested_hi=5
ex236,ex236_formula_high9_hi6_abc_g_aig,fp16_cube,formula_high9_hi6,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex236/verilog/ex236_formula_high9_hi6.v,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex236/aigs/ex236_formula_high9_hi6_abc_g_aig.aig,1,1,1,1961,17,33337,17290,1.928109,0,0,2.035,special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=9; low_width=9; nested_hi=6,semantic_formula_exact,special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=9; low_width=9; nested_hi=6
ex236,ex236_formula_highnone_hi5_abc_g_aig,fp16_cube,formula_highnone_hi5,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex236/verilog/ex236_formula_highnone_hi5.v,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex236/aigs/ex236_formula_highnone_hi5_abc_g_aig.aig,1,1,1,1714,17,29138,17290,1.685252,0,0,1.956,special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5,semantic_formula_exact,special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=5
ex236,ex236_formula_highnone_hi6_abc_g_aig,fp16_cube,formula_highnone_hi6,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex236/verilog/ex236_formula_highnone_hi6.v,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex236/aigs/ex236_formula_highnone_hi6_abc_g_aig.aig,1,1,1,2003,17,34051,17290,1.969404,0,0,2.025,special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=6,semantic_formula_exact,special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=3; exp_delta_max=2; mant_high=; low_width=10; nested_hi=6
ex238,ex238_formula_high9_8_hi5_abc_g_aig,fp16_reciprocal_cube,formula_high9_8_hi5,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex238/verilog/ex238_formula_high9_8_hi5.v,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex238/aigs/ex238_formula_high9_8_hi5_abc_g_aig.aig,1,1,1,1836,18,33048,16549,1.996979,0,0,1.993,"special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=9,8; low_width=8; nested_hi=5",semantic_formula_exact,"special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=9,8; low_width=8; nested_hi=5"
ex238,ex238_formula_high9_8_hi6_abc_g_aig,fp16_reciprocal_cube,formula_high9_8_hi6,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex238/verilog/ex238_formula_high9_8_hi6.v,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex238/aigs/ex238_formula_high9_8_hi6_abc_g_aig.aig,1,1,1,1967,16,31472,16549,1.901746,0,0,2.116,"special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=9,8; low_width=8; nested_hi=6",semantic_formula_exact,"special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=9,8; low_width=8; nested_hi=6"
ex238,ex238_formula_high9_hi5_abc_g_aig,fp16_reciprocal_cube,formula_high9_hi5,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex238/verilog/ex238_formula_high9_hi5.v,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex238/aigs/ex238_formula_high9_hi5_abc_g_aig.aig,1,1,1,1820,19,34580,16549,2.089552,0,0,2.074,special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=9; low_width=9; nested_hi=5,semantic_formula_exact,special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=9; low_width=9; nested_hi=5
ex238,ex238_formula_high9_hi6_abc_g_aig,fp16_reciprocal_cube,formula_high9_hi6,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex238/verilog/ex238_formula_high9_hi6.v,student/work/ex236_ex238_frontend_fp16_cube_formula_20260608_0802/ex238/aigs/ex238_formula_high9_hi6_abc_g_aig.aig,1,1,1,1940,16,31040,16549,1.875642,0,0,2.178,special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=9; low_width=9; nested_hi=6,semantic_formula_exact,special_const=40; special_full=6; special_items=6184; exp_delta_width=2; exp_delta_runs=4; exp_delta_max=3; mant_high=9; low_width=9; nested_hi=6
