round,run_id,agent_id,case,domain,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,shared_nodes,residual_key,residual_entries,output_grouping,evidence_path,notes,family,shared_structure,shard_csv,descriptor,keys,conflict_keys,node_count,max_outputs_per_key
,,sub-bf16-logmodel-r97,ex204,,ex204_r97_ab_h3_b10_11_14_abc_g_gates,,,,,,,,,,,grouped word output,,flow=abc_g_gates; ADP=26588; target=22769,selected_output_new_bit,shared exponent base plus mantissa delta and bit10/11/14 predicates,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/shared_structure_report.csv,,,,,
,,sub-bf16-logmodel-r97,ex204,,ex204_r97_ab_h3_b10_11_14_default_and,,,,,,,,,,,grouped word output,,flow=default_and; ADP=26520; target=22769,selected_output_new_bit,shared exponent base plus mantissa delta and bit10/11/14 predicates,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/shared_structure_report.csv,,,,,
,,sub-bf16-logmodel-r97,ex204,,ex204_r97_ab_h3_b11_12_14_abc_g_gates,,,,,,,,,,,grouped word output,,flow=abc_g_gates; ADP=27360; target=22769,selected_output_new_bit,shared exponent base plus mantissa delta and bit11/12/14 predicates,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/shared_structure_report.csv,,,,,
,,sub-bf16-logmodel-r97,ex204,,ex204_r97_sf_e2m3_b11_14_abc_g_gates,,,,,,,,,,,separate output fields,,flow=abc_g_gates; ADP=34384; target=22769,field_shell_recut,separate field decode plus selected bit11/14 predicates,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/shared_structure_report.csv,,,,,
,,sub-bf16-logmodel-r97,ex205,,ex205_r97_exprun_m2_default_and,,,,,,,,,,,separate sign/exponent/mantissa fields,,flow=default_and; ADP=88830; target=70691,semantic_exp_runs,log10 exponent range runs plus mantissa-separate residual,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/shared_structure_report.csv,,,,,
,,sub-bf16-logmodel-r97,ex205,,ex205_r97_h3word_b14_15_abc_g_aig,,,,,,,,,,,full word with selected bits,,flow=abc_g_aig; ADP=71664; target=70691,word_shell_selected_bits,word-mode mantissa hi3 shell plus selected bit14/15 predicates,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/shared_structure_report.csv,,,,,
,,sub-bf16-logmodel-r97,ex205,,ex205_r97_sf_e2m3_b15_abc_g_aig,,,,,,,,,,,separate output fields,,flow=abc_g_aig; ADP=71520; target=70691,field_shell_recut,coarser exponent field decode plus selected sign predicate,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/shared_structure_report.csv,,,,,
,,sub-bf16-logmodel-r97,ex205,,ex205_r97_sf_e3m3_b14_15_abc_g_aig,,,,,,,,,,,separate output fields,,flow=abc_g_aig; ADP=71040; target=70691,selected_output_extra_bit,current-style field decode plus non-sign selected bit14 and sign bit15 predicates,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/shared_structure_report.csv,,,,,
,,sub-bf16-logmodel-r97,ex205,,ex205_r97_sf_e3m3_b14_15_default_and,,,,,,,,,,,separate output fields,,flow=default_and; ADP=75667; target=70691,selected_output_extra_bit,current-style field decode plus non-sign selected bit14 and sign bit15 predicates,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex216,,ex216_r97_cube_selected_predicate_overlay_bits_12_cmp_abc_and,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex216/logs/ex216_r97_cube_selected_predicate_overlay_bits_12_cmp_abc_and.evaluate.py.log,selected exact output predicate overlay bits=12 mode=cmp items=52,selected_predicate_overlay,shared sign_exp/mant decode plus selected output correction,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/shared_structure_report.csv,,,,,
