round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,candidate_id,failure_reason,reuse_policy,next_action,evidence_path,family,variant,flow,aig_path,shard_csv,keys,conflict_keys,node_count,max_outputs_per_key
,,sub-bf16-logmodel-r97,ex204,,,,,,OFFICIAL_OK_WORSE_QOR,official evaluate.py OK at 1564/17/26588 but worse than current frontend 24576 and target 22769,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/verilog/ex204_r97_ab_h3_b10_11_14_abc_g_gates.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/logs/ex204_r97_ab_h3_b10_11_14_abc_g_gates.evaluate.py.log,,ex204_r97_ab_h3_b10_11_14_abc_g_gates,,,,,selected_output_new_bit,log2_arithbase_delta_hilo3_bits_10_11_14_bh2,abc_g_gates,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/aigs/ex204_r97_ab_h3_b10_11_14_abc_g_gates.aig,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/failed_hypotheses.csv,,,,
,,sub-bf16-logmodel-r97,ex204,,,,,,OFFICIAL_OK_WORSE_QOR,official evaluate.py OK at 1560/17/26520 but worse than current frontend 24576 and target 22769,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/verilog/ex204_r97_ab_h3_b10_11_14_default_and.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/logs/ex204_r97_ab_h3_b10_11_14_default_and.evaluate.py.log,,ex204_r97_ab_h3_b10_11_14_default_and,,,,,selected_output_new_bit,log2_arithbase_delta_hilo3_bits_10_11_14_bh2,default_and,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/aigs/ex204_r97_ab_h3_b10_11_14_default_and.aig,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/failed_hypotheses.csv,,,,
,,sub-bf16-logmodel-r97,ex204,,,,,,OFFICIAL_OK_WORSE_QOR,official evaluate.py OK at 1520/18/27360 but extra delay made it worse than current frontend 24576,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/verilog/ex204_r97_ab_h3_b11_12_14_abc_g_gates.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/logs/ex204_r97_ab_h3_b11_12_14_abc_g_gates.evaluate.py.log,,ex204_r97_ab_h3_b11_12_14_abc_g_gates,,,,,selected_output_new_bit,log2_arithbase_delta_hilo3_bits_11_12_14_bh2,abc_g_gates,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/aigs/ex204_r97_ab_h3_b11_12_14_abc_g_gates.aig,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/failed_hypotheses.csv,,,,
,,sub-bf16-logmodel-r97,ex204,,,,,,BLOCKED,assignment and manual judgments mark equality/full-run selected-bit replays as do_not_repeat_as_is,,,,ex204_r97_blocker_round26_equality_fullrun_replay,,,,,blocked_replay,round26 equality/full-run selected-bit replay,not_run,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/failed_hypotheses.csv,,,,
,,sub-bf16-logmodel-r97,ex204,,,,,,OFFICIAL_OK_WORSE_QOR,official evaluate.py OK at 2149/16/34384 but field shell table is too large versus current frontend 24576,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/verilog/ex204_r97_sf_e2m3_b11_14_abc_g_gates.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/logs/ex204_r97_sf_e2m3_b11_14_abc_g_gates.evaluate.py.log,,ex204_r97_sf_e2m3_b11_14_abc_g_gates,,,,,field_shell_recut,sep_fields_e2_m3_s0_bits_11_14_bh2,abc_g_gates,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/aigs/ex204_r97_sf_e2m3_b11_14_abc_g_gates.aig,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/failed_hypotheses.csv,,,,
,,sub-bf16-logmodel-r97,ex205,,,,,,BLOCKED,round96 current-copy/source-flow variants tied or worsened current frontend and are replay risk,,,,ex205_r97_blocker_round96_current_source_flow,,,,,blocked_replay,round96 current field-decode flow variants,not_run,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/failed_hypotheses.csv,,,,
,,sub-bf16-logmodel-r97,ex205,,,,,,OFFICIAL_OK_WORSE_QOR,official evaluate.py OK at 4935/18/88830 but exponent-run mantissa-separate table is too large and deep,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/verilog/ex205_r97_exprun_m2_default_and.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_exprun_m2_default_and.evaluate.py.log,,ex205_r97_exprun_m2_default_and,,,,,semantic_exp_runs,log10_exp_runs_mant_sep_m2,default_and,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/aigs/ex205_r97_exprun_m2_default_and.aig,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/failed_hypotheses.csv,,,,
,,sub-bf16-logmodel-r97,ex205,,,,,,OFFICIAL_OK_WORSE_QOR,official evaluate.py OK at 4479/16/71664 but worse than current frontend 71104,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/verilog/ex205_r97_h3word_b14_15_abc_g_aig.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_h3word_b14_15_abc_g_aig.evaluate.py.log,,ex205_r97_h3word_b14_15_abc_g_aig,,,,,word_shell_selected_bits,hilo3_word_mode_bits_14_15_bh1,abc_g_aig,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/aigs/ex205_r97_h3word_b14_15_abc_g_aig.aig,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/failed_hypotheses.csv,,,,
,,sub-bf16-logmodel-r97,ex205,,,,,,OFFICIAL_OK_WORSE_QOR,official evaluate.py OK at 4470/16/71520 but worse than current frontend 71104,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/verilog/ex205_r97_sf_e2m3_b15_abc_g_aig.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_sf_e2m3_b15_abc_g_aig.evaluate.py.log,,ex205_r97_sf_e2m3_b15_abc_g_aig,,,,,field_shell_recut,sep_fields_e2_m3_s0_bits_15_bh1,abc_g_aig,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/aigs/ex205_r97_sf_e2m3_b15_abc_g_aig.aig,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/failed_hypotheses.csv,,,,
,,sub-bf16-logmodel-r97,ex205,,,,,,OFFICIAL_OK_GAP_REMAINS,official evaluate.py OK at 4440/16/71040 improves current frontend 71104 but misses target 70691,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/verilog/ex205_r97_sf_e3m3_b14_15_abc_g_aig.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_sf_e3m3_b14_15_abc_g_aig.evaluate.py.log,,ex205_r97_sf_e3m3_b14_15_abc_g_aig,,,,,selected_output_extra_bit,sep_fields_e3_m3_s0_bits_14_15_bh1,abc_g_aig,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/aigs/ex205_r97_sf_e3m3_b14_15_abc_g_aig.aig,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/failed_hypotheses.csv,,,,
