round,run_id,agent_id,case,domain,candidate_id,family,hypothesis,representation,sharing_strategy,shared_structure,synth_flow,method_signature,verilog_path,aig_path,log_path,evaluate_log,official_status,equivalent,simulation_pass,area,delay,adp,reference_adp,frontend_best_adp,target_adp,beats_frontend,beats_target,notes,variant,verified_truth,shard_csv,method_signature_original
round97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-logmodel-r97,ex204,bf16,ex204_r97_ab_h3_b10_11_14_default_and,selected_output_new_bit,bf16_log2,log2_arithbase_delta_hilo3_bits_10_11_14_bh2,frontend source-level shared decode/predicate factoring,shared BF16 field/special decode and selected correction predicates,default_and,ex204|selected_output_new_bit|log2_arithbase_delta_hilo3_bits_10_11_14_bh2|shared exponent base plus mantissa delta and bit10/11/14 predicates|default_and|DAZ_log2_BF16_RNE_FTZ_canonical_NaN|grouped word output,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/verilog/ex204_r97_ab_h3_b10_11_14_default_and.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/aigs/ex204_r97_ab_h3_b10_11_14_default_and.aig,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/logs/ex204_r97_ab_h3_b10_11_14_default_and.evaluate.py.log,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/logs/ex204_r97_ab_h3_b10_11_14_default_and.evaluate.py.log,OK,1,,1560,17,26520,15180,24576,22769,0,0,log2 arithmetic base delta_mode=hilo3 items=8591 bit_overrides=10_11_14 bit_items=78; official_evaluate=student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/logs/ex204_r97_ab_h3_b10_11_14_default_and.evaluate.py.log,log2_arithbase_delta_hilo3_bits_10_11_14_bh2,1,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/candidates.csv,
round97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-logmodel-r97,ex204,bf16,ex204_r97_ab_h3_b10_11_14_abc_g_gates,selected_output_new_bit,bf16_log2,log2_arithbase_delta_hilo3_bits_10_11_14_bh2,frontend source-level shared decode/predicate factoring,shared BF16 field/special decode and selected correction predicates,abc_g_gates,ex204|selected_output_new_bit|log2_arithbase_delta_hilo3_bits_10_11_14_bh2|shared exponent base plus mantissa delta and bit10/11/14 predicates|abc_g_gates|DAZ_log2_BF16_RNE_FTZ_canonical_NaN|grouped word output,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/verilog/ex204_r97_ab_h3_b10_11_14_abc_g_gates.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/aigs/ex204_r97_ab_h3_b10_11_14_abc_g_gates.aig,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/logs/ex204_r97_ab_h3_b10_11_14_abc_g_gates.evaluate.py.log,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/logs/ex204_r97_ab_h3_b10_11_14_abc_g_gates.evaluate.py.log,OK,1,,1564,17,26588,15180,24576,22769,0,0,log2 arithmetic base delta_mode=hilo3 items=8591 bit_overrides=10_11_14 bit_items=78; official_evaluate=student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/logs/ex204_r97_ab_h3_b10_11_14_abc_g_gates.evaluate.py.log,log2_arithbase_delta_hilo3_bits_10_11_14_bh2,1,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/candidates.csv,
round97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-logmodel-r97,ex204,bf16,ex204_r97_ab_h3_b11_12_14_abc_g_gates,selected_output_new_bit,bf16_log2,log2_arithbase_delta_hilo3_bits_11_12_14_bh2,frontend source-level shared decode/predicate factoring,shared BF16 field/special decode and selected correction predicates,abc_g_gates,ex204|selected_output_new_bit|log2_arithbase_delta_hilo3_bits_11_12_14_bh2|shared exponent base plus mantissa delta and bit11/12/14 predicates|abc_g_gates|DAZ_log2_BF16_RNE_FTZ_canonical_NaN|grouped word output,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/verilog/ex204_r97_ab_h3_b11_12_14_abc_g_gates.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/aigs/ex204_r97_ab_h3_b11_12_14_abc_g_gates.aig,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/logs/ex204_r97_ab_h3_b11_12_14_abc_g_gates.evaluate.py.log,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/logs/ex204_r97_ab_h3_b11_12_14_abc_g_gates.evaluate.py.log,OK,1,,1520,18,27360,15180,24576,22769,0,0,log2 arithmetic base delta_mode=hilo3 items=8591 bit_overrides=11_12_14 bit_items=73; official_evaluate=student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/logs/ex204_r97_ab_h3_b11_12_14_abc_g_gates.evaluate.py.log,log2_arithbase_delta_hilo3_bits_11_12_14_bh2,1,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/candidates.csv,
round97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-logmodel-r97,ex204,bf16,ex204_r97_sf_e2m3_b11_14_abc_g_gates,field_shell_recut,bf16_log2,sep_fields_e2_m3_s0_bits_11_14_bh2,frontend source-level shared decode/predicate factoring,shared BF16 field/special decode and selected correction predicates,abc_g_gates,ex204|field_shell_recut|sep_fields_e2_m3_s0_bits_11_14_bh2|separate field decode plus selected bit11/14 predicates|abc_g_gates|DAZ_log2_BF16_RNE_FTZ_canonical_NaN|separate output fields,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/verilog/ex204_r97_sf_e2m3_b11_14_abc_g_gates.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/aigs/ex204_r97_sf_e2m3_b11_14_abc_g_gates.aig,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/logs/ex204_r97_sf_e2m3_b11_14_abc_g_gates.evaluate.py.log,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/logs/ex204_r97_sf_e2m3_b11_14_abc_g_gates.evaluate.py.log,OK,1,,2149,16,34384,15180,24576,22769,0,0,separate fields exp_hi=2 mant_hi=3 sign_hi=0 items=8835; sep bit overrides bits=11_14 bit_hi_bits=2 bit_items=40; official_evaluate=student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex204/logs/ex204_r97_sf_e2m3_b11_14_abc_g_gates.evaluate.py.log,sep_fields_e2_m3_s0_bits_11_14_bh2,1,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/candidates.csv,
round97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-logmodel-r97,ex205,bf16,ex205_r97_sf_e3m3_b14_15_abc_g_aig,selected_output_extra_bit,bf16_log10,sep_fields_e3_m3_s0_bits_14_15_bh1,frontend source-level shared decode/predicate factoring,shared BF16 field/special decode and selected correction predicates,abc_g_aig,ex205|selected_output_extra_bit|sep_fields_e3_m3_s0_bits_14_15_bh1|current-style field decode plus non-sign selected bit14 and sign bit15 predicates|abc_g_aig|DAZ_log10_BF16_RNE_FTZ_canonical_NaN|separate output fields,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/verilog/ex205_r97_sf_e3m3_b14_15_abc_g_aig.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/aigs/ex205_r97_sf_e3m3_b14_15_abc_g_aig.aig,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_sf_e3m3_b14_15_abc_g_aig.evaluate.py.log,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_sf_e3m3_b14_15_abc_g_aig.evaluate.py.log,OK,1,,4440,16,71040,47128,71104,70691,1,0,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=7913; sep bit overrides bits=14_15 bit_hi_bits=1 bit_items=50; official_evaluate=student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_sf_e3m3_b14_15_abc_g_aig.evaluate.py.log,sep_fields_e3_m3_s0_bits_14_15_bh1,1,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/candidates.csv,
round97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-logmodel-r97,ex205,bf16,ex205_r97_sf_e2m3_b15_abc_g_aig,field_shell_recut,bf16_log10,sep_fields_e2_m3_s0_bits_15_bh1,frontend source-level shared decode/predicate factoring,shared BF16 field/special decode and selected correction predicates,abc_g_aig,ex205|field_shell_recut|sep_fields_e2_m3_s0_bits_15_bh1|coarser exponent field decode plus selected sign predicate|abc_g_aig|DAZ_log10_BF16_RNE_FTZ_canonical_NaN|separate output fields,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/verilog/ex205_r97_sf_e2m3_b15_abc_g_aig.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/aigs/ex205_r97_sf_e2m3_b15_abc_g_aig.aig,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_sf_e2m3_b15_abc_g_aig.evaluate.py.log,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_sf_e2m3_b15_abc_g_aig.evaluate.py.log,OK,1,,4470,16,71520,47128,71104,70691,0,0,separate fields exp_hi=2 mant_hi=3 sign_hi=0 items=7930; sep bit overrides bits=15 bit_hi_bits=1 bit_items=8; official_evaluate=student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_sf_e2m3_b15_abc_g_aig.evaluate.py.log,sep_fields_e2_m3_s0_bits_15_bh1,1,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/candidates.csv,
round97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-logmodel-r97,ex205,bf16,ex205_r97_h3word_b14_15_abc_g_aig,word_shell_selected_bits,bf16_log10,hilo3_word_mode_bits_14_15_bh1,frontend source-level shared decode/predicate factoring,shared BF16 field/special decode and selected correction predicates,abc_g_aig,ex205|word_shell_selected_bits|hilo3_word_mode_bits_14_15_bh1|word-mode mantissa hi3 shell plus selected bit14/15 predicates|abc_g_aig|DAZ_log10_BF16_RNE_FTZ_canonical_NaN|full word with selected bits,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/verilog/ex205_r97_h3word_b14_15_abc_g_aig.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/aigs/ex205_r97_h3word_b14_15_abc_g_aig.aig,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_h3word_b14_15_abc_g_aig.evaluate.py.log,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_h3word_b14_15_abc_g_aig.evaluate.py.log,OK,1,,4479,16,71664,47128,71104,70691,0,0,hi_lo split field_mode=False hi_bits=3 default_mode=default_override items=7626; generic hilo word bit overrides bits=14_15 bit_hi_bits=1 bit_items=50; official_evaluate=student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_h3word_b14_15_abc_g_aig.evaluate.py.log,hilo3_word_mode_bits_14_15_bh1,1,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/candidates.csv,
round97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-logmodel-r97,ex205,bf16,ex205_r97_sf_e3m3_b14_15_default_and,selected_output_extra_bit,bf16_log10,sep_fields_e3_m3_s0_bits_14_15_bh1,frontend source-level shared decode/predicate factoring,shared BF16 field/special decode and selected correction predicates,default_and,ex205|selected_output_extra_bit|sep_fields_e3_m3_s0_bits_14_15_bh1|current-style field decode plus non-sign selected bit14 and sign bit15 predicates|default_and|DAZ_log10_BF16_RNE_FTZ_canonical_NaN|separate output fields,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/verilog/ex205_r97_sf_e3m3_b14_15_default_and.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/aigs/ex205_r97_sf_e3m3_b14_15_default_and.aig,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_sf_e3m3_b14_15_default_and.evaluate.py.log,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_sf_e3m3_b14_15_default_and.evaluate.py.log,OK,1,,4451,17,75667,47128,71104,70691,0,0,separate fields exp_hi=3 mant_hi=3 sign_hi=0 items=7913; sep bit overrides bits=14_15 bit_hi_bits=1 bit_items=50; official_evaluate=student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_sf_e3m3_b14_15_default_and.evaluate.py.log,sep_fields_e3_m3_s0_bits_14_15_bh1,1,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/candidates.csv,
round97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-logmodel-r97,ex205,bf16,ex205_r97_exprun_m2_default_and,semantic_exp_runs,bf16_log10,log10_exp_runs_mant_sep_m2,frontend source-level shared decode/predicate factoring,shared BF16 field/special decode and selected correction predicates,default_and,ex205|semantic_exp_runs|log10_exp_runs_mant_sep_m2|log10 exponent range runs plus mantissa-separate residual|default_and|DAZ_log10_BF16_RNE_FTZ_canonical_NaN|separate sign/exponent/mantissa fields,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/verilog/ex205_r97_exprun_m2_default_and.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/aigs/ex205_r97_exprun_m2_default_and.aig,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_exprun_m2_default_and.evaluate.py.log,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_exprun_m2_default_and.evaluate.py.log,OK,1,,4935,18,88830,47128,71104,70691,0,0,log10 positive exp range runs plus mant sep mhi=2 exp_items=194 items=10458; official_evaluate=student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-logmodel-r97/ex205/logs/ex205_r97_exprun_m2_default_and.evaluate.py.log,log10_exp_runs_mant_sep_m2,1,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/candidates.csv,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex216,bf16,ex216_r97_cube_selected_predicate_overlay_bits_12_cmp_abc_and,selected_predicate_overlay,bf16_cube,current_frontend_source_with_exact_selected_bit_overlay,reuse current source sharing; replace selected output bit predicates,shared sign_exp/mant decode plus selected output correction,abc_and,ex216|round97_bf16_rootpower|bf16_cube|current_frontend_source_with_exact_selected_bit_overlay|reuse current source sharing; replace selected output bit predicates|abc_and|abc_read_truth_xf|variant:ex216_ex216_r97_cube_selected_predicate_overlay_bits_12_cmp_abc_and,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex216/verilog/ex216_r97_cube_selected_predicate_overlay_bits_12_cmp_abc_and.v,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex216/official_eval/ex216_r97_cube_selected_predicate_overlay_bits_12_cmp_abc_and/ex216.aig,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex216/logs/ex216_r97_cube_selected_predicate_overlay_bits_12_cmp_abc_and.yosys.log,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex216/logs/ex216_r97_cube_selected_predicate_overlay_bits_12_cmp_abc_and.evaluate.py.log,OK,1,not_run,502,15,7530,3357,5772,5035,0,0,official evaluate.py OK; selected exact output predicate overlay bits=12 mode=cmp items=52,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/candidates.csv,ex216|round97_bf16_rootpower|bf16_cube|current_frontend_source_with_exact_selected_bit_overlay|reuse current source sharing; replace selected output bit predicates|abc_and|abc_read_truth_xf
