round,run_id,agent_id,case,domain,candidate_id,simulation_tool,status,patterns,log_path,notes,method_signature,simulation,shard_csv,simulation_status
,,sub-bf16-logmodel-r97,ex204,,ex204_r97_ab_h3_b10_11_14_abc_g_gates,,skipped,,,truth-derived renderer plus official evaluate.py OK,,not_run,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/simulation_results.csv,
,,sub-bf16-logmodel-r97,ex204,,ex204_r97_ab_h3_b10_11_14_default_and,,skipped,,,truth-derived renderer plus official evaluate.py OK,,not_run,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/simulation_results.csv,
,,sub-bf16-logmodel-r97,ex204,,ex204_r97_ab_h3_b11_12_14_abc_g_gates,,skipped,,,truth-derived renderer plus official evaluate.py OK,,not_run,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/simulation_results.csv,
,,sub-bf16-logmodel-r97,ex204,,ex204_r97_sf_e2m3_b11_14_abc_g_gates,,skipped,,,truth-derived renderer plus official evaluate.py OK,,not_run,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/simulation_results.csv,
,,sub-bf16-logmodel-r97,ex205,,ex205_r97_exprun_m2_default_and,,skipped,,,truth-derived renderer plus official evaluate.py OK,,not_run,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/simulation_results.csv,
,,sub-bf16-logmodel-r97,ex205,,ex205_r97_h3word_b14_15_abc_g_aig,,skipped,,,truth-derived renderer plus official evaluate.py OK,,not_run,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/simulation_results.csv,
,,sub-bf16-logmodel-r97,ex205,,ex205_r97_sf_e2m3_b15_abc_g_aig,,skipped,,,truth-derived renderer plus official evaluate.py OK,,not_run,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/simulation_results.csv,
,,sub-bf16-logmodel-r97,ex205,,ex205_r97_sf_e3m3_b14_15_abc_g_aig,,skipped,,,truth-derived renderer plus official evaluate.py OK,,not_run,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/simulation_results.csv,
,,sub-bf16-logmodel-r97,ex205,,ex205_r97_sf_e3m3_b14_15_default_and,,skipped,,,truth-derived renderer plus official evaluate.py OK,,not_run,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-logmodel-r97/simulation_results.csv,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex216,,ex216_r97_cube_selected_predicate_overlay_bits_12_cmp_abc_and,,,,,official evaluate.py used for acceptance,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/simulation_results.csv,not_run
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex216,,ex216_r97_cube_selected_predicate_overlay_bits_11_cmp_abc_and,,,,,official evaluate.py used for acceptance,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/simulation_results.csv,not_run
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex216,,ex216_r97_cube_small_lut_selected_overlay_bits_12_bh2_abc_and,,,,,official evaluate.py used for acceptance,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/simulation_results.csv,not_run
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex218,,ex218_r97_reciprocal_cube_selected_predicate_overlay_bits_14_cmp_abc_aig,,,,,official evaluate.py used for acceptance,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/simulation_results.csv,not_run
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex218,,ex218_r97_reciprocal_cube_selected_predicate_overlay_bits_13_cmp_abc_aig,,,,,official evaluate.py used for acceptance,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/simulation_results.csv,not_run
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex218,,ex218_r97_reciprocal_cube_small_lut_selected_overlay_bits_12_bh2_abc_aig,,,,,official evaluate.py used for acceptance,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/simulation_results.csv,not_run
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex219,,ex219_r97_reciprocal_cbrt_selected_predicate_overlay_bits_5_cmp_abc_and,,,,,official evaluate.py used for acceptance,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/simulation_results.csv,not_run
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex219,,ex219_r97_reciprocal_cbrt_selected_predicate_overlay_bits_7_cmp_abc_and,,,,,official evaluate.py used for acceptance,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/simulation_results.csv,not_run
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex219,,ex219_r97_reciprocal_cbrt_small_lut_selected_overlay_bits_5_bh2_abc_and,,,,,official evaluate.py used for acceptance,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/simulation_results.csv,not_run
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex216,,ex216_r97_cube_hand_cube_guard_lut_abc_aig,,,,,official evaluate.py used for acceptance,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/simulation_results.csv,not_run
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex216,,ex216_r97_cube_hand_cube_guard_lut_abc_gates,,,,,official evaluate.py used for acceptance,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/simulation_results.csv,not_run
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex218,,ex218_r97_reciprocal_cube_hand_recip_cube_guard_lut_normal_first_abc_aig,,,,,official evaluate.py used for acceptance,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/simulation_results.csv,not_run
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex218,,ex218_r97_reciprocal_cube_hand_recip_cube_guard_lut_normal_first_abc_gates,,,,,official evaluate.py used for acceptance,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/simulation_results.csv,not_run
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex219,,ex219_r97_reciprocal_cbrt_hand_recip_cbrt_guard_lut_expcase_abc_aig,,,,,official evaluate.py used for acceptance,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/simulation_results.csv,not_run
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex219,,ex219_r97_reciprocal_cbrt_hand_recip_cbrt_guard_lut_expcase_abc_gates,,,,,official evaluate.py used for acceptance,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/simulation_results.csv,not_run
