round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,shard_csv
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex223,fp16,fp16_log,current_frontend_best_source_with_compact_shared_special_decode,shared zero/negative/inf/nan constant predicates feeding existing normal source,ex223|fp16_log_round80_source_family|current_frontend_best_source_with_compact_shared_special_decode|shared zero/negative/inf/nan constant predicates feeding existing normal source|yosys_abc_g_aig|abc_xf_official_evaluate|shared_special_constants,equivalent_nonwinning,official OK ADP 204117 did not beat frontend best 203490,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/verilog/ex223_r80_shared_special_constants.v,student/runs/fp16/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/official_logs/ex223_r80_shared_special_constants_abc_g_aig.evaluate.py.log,do not repeat as-is,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/failed_hypotheses.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex223,fp16,fp16_log,positive_normal_mant_hi6_base_word_plus_lo4_xor_residual,shared sign_exp/mant_hi6 base table plus exact low-nibble XOR residual,ex223|fp16_log_round80_source_family|positive_normal_mant_hi6_base_word_plus_lo4_xor_residual|shared sign_exp/mant_hi6 base table plus exact low-nibble XOR residual|yosys_abc_g_aig|abc_xf_official_evaluate|mant_hi6_xor_residual,equivalent_nonwinning,official OK ADP 271100 did not beat frontend best 203490,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/verilog/ex223_r80_mant_hi6_xor_residual.v,student/runs/fp16/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/official_logs/ex223_r80_mant_hi6_xor_residual_abc_g_aig.evaluate.py.log,do not repeat as-is,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/failed_hypotheses.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex225,fp16,fp16_log10,current_frontend_best_source_with_compact_shared_special_decode,shared zero/negative/inf/nan constant predicates feeding existing normal source,ex225|fp16_log10_round80_source_family|current_frontend_best_source_with_compact_shared_special_decode|shared zero/negative/inf/nan constant predicates feeding existing normal source|yosys_abc_g_aig|abc_xf_official_evaluate|shared_special_constants,equivalent_nonwinning,official OK ADP 218633 did not beat frontend best 218595,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/verilog/ex225_r80_shared_special_constants.v,student/runs/fp16/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/official_logs/ex225_r80_shared_special_constants_abc_g_aig.evaluate.py.log,do not repeat as-is,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/failed_hypotheses.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex225,fp16,fp16_log10,positive_normal_mant_hi6_base_word_plus_lo4_xor_residual,shared sign_exp/mant_hi6 base table plus exact low-nibble XOR residual,ex225|fp16_log10_round80_source_family|positive_normal_mant_hi6_base_word_plus_lo4_xor_residual|shared sign_exp/mant_hi6 base table plus exact low-nibble XOR residual|yosys_abc_g_aig|abc_xf_official_evaluate|mant_hi6_xor_residual,equivalent_nonwinning,official OK ADP 252225 did not beat frontend best 218595,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/verilog/ex225_r80_mant_hi6_xor_residual.v,student/runs/fp16/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/official_logs/ex225_r80_mant_hi6_xor_residual_abc_g_aig.evaluate.py.log,do not repeat as-is,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/failed_hypotheses.csv
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex249,float_fp8,deferred lower-priority assigned case,skipped_after_top_priority_rows,case-scoped skip after top-priority official rows,ex249|round80|deferred_after_top_priority|no_global_state_edit,SKIPPED,"round77-round79 already covered raw-exp output grouping, keep-boundary, split delta bits, and sparse semantic keeps; next useful attempt needs a new hypot predicate basis",,,not evaluated in this shard before summary; do not count as a candidate,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/failed_hypotheses.csv
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex241,float_fp8,deferred lower-priority assigned case,skipped_after_top_priority_rows,case-scoped skip after top-priority official rows,ex241|round80|deferred_after_top_priority|no_global_state_edit,SKIPPED,"notes request smaller product/rounding basis; r74-r78 already covered product tables, exception overlay, zero shell, PO grouping, and sparse keeps",,,not evaluated in this shard before summary; do not count as a candidate,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/failed_hypotheses.csv
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex240,float_fp8,deferred lower-priority assigned case,skipped_after_top_priority_rows,case-scoped skip after top-priority official rows,ex240|round80|deferred_after_top_priority|no_global_state_edit,SKIPPED,notes request a smaller diff-sign cancellation normalizer; r75-r79 already covered sign/magnitude output grouping and high-fanout/bit-output variants,,,not evaluated in this shard before summary; do not count as a candidate,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/failed_hypotheses.csv
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex245,float_fp8,deferred lower-priority assigned case,skipped_after_top_priority_rows,case-scoped skip after top-priority official rows,ex245|round80|deferred_after_top_priority|no_global_state_edit,SKIPPED,"notes request active-region residual change; r75-r78 already covered zero shells, PO/output splits, and sparse keeps",,,not evaluated in this shard before summary; do not count as a candidate,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/failed_hypotheses.csv
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex248,float_fp8,deferred lower-priority assigned case,frontend_ratio_sample_skipped,case-scoped skip after top-priority official rows,ex248|round80|deferred_after_top_priority|no_global_state_edit,SKIPPED,lower priority sample; prior notes show periodic remainder is the useful family and r25/r26/r74 variants did not improve,,,not evaluated in this shard before summary; do not count as a candidate,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/failed_hypotheses.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex260,integer,signed_low4_high4_multiply,sign quadrant local product words,one low6 key drives four signed quadrant output words,ex260|signed_low4_high4_multiply|sign quadrant local product words|one low6 key drives four signed quadrant output words|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_r79_boundary_or_booth,equivalent_nonwinning_do_not_repeat_as_is,official equivalent but did not beat current frontend best,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/verilog/ex260_r80_quadrant_word_lut.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/logs/ex260_r80_quadrant_word_lut_abc_g_aig.yosys.log,recorded shard-local only; do not repeat unchanged,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/failed_hypotheses.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex260,integer,signed_low4_high4_multiply,unsigned 4x4 product minus sign-bias rows,shared unsigned product with two sign correction shifts,ex260|signed_low4_high4_multiply|unsigned 4x4 product minus sign-bias rows|shared unsigned product with two sign correction shifts|yosys_synth_preset_d13|abc_xf_official_evaluate|not_r75_r79_boundary_or_booth,equivalent_nonwinning_do_not_repeat_as_is,official equivalent but did not beat current frontend best,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/verilog/ex260_r80_bias_correct_unsigned.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/logs/ex260_r80_bias_correct_unsigned_synth_preset_d13.yosys.log,recorded shard-local only; do not repeat unchanged,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/failed_hypotheses.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex266,integer,unsigned_low5_high5_div_dbz_sat,power-of-two and high-divisor regions plus local direct low region,shared high-divisor q<=2 predicates before low-region division,ex266|unsigned_low5_high5_div_dbz_sat|power-of-two and high-divisor regions plus local direct low region|shared high-divisor q<=2 predicates before low-region division|yosys_synth_preset_d10|abc_xf_official_evaluate|not_r75_r79_wordmux_or_serial_recurrence,equivalent_nonwinning_do_not_repeat_as_is,official equivalent but did not beat current frontend best,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/verilog/ex266_r80_mixed_region_udiv.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/logs/ex266_r80_mixed_region_udiv_synth_preset_d10.yosys.log,recorded shard-local only; do not repeat unchanged,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/failed_hypotheses.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex266,integer,unsigned_low5_high5_div_dbz_sat,parallel q>=16/8/4/2/1 threshold class with exact b=1 residual,top quotient class shares shifted divisor comparisons,ex266|unsigned_low5_high5_div_dbz_sat|parallel q>=16/8/4/2/1 threshold class with exact b=1 residual|top quotient class shares shifted divisor comparisons|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_r79_wordmux_or_serial_recurrence,equivalent_nonwinning_do_not_repeat_as_is,official equivalent but did not beat current frontend best,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/verilog/ex266_r80_parallel_topbits.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/logs/ex266_r80_parallel_topbits_abc_g_aig.yosys.log,recorded shard-local only; do not repeat unchanged,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/failed_hypotheses.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex265,integer,unsigned_low4_high4_div_dbz_sat,power-of-two and high-divisor regions plus local direct low region,shared high-divisor q<=2 predicates before low-region division,ex265|unsigned_low4_high4_div_dbz_sat|power-of-two and high-divisor regions plus local direct low region|shared high-divisor q<=2 predicates before low-region division|yosys_synth_preset_d10|abc_xf_official_evaluate|not_r74_threshold_or_divisor_case_exact,equivalent_nonwinning_do_not_repeat_as_is,official equivalent but did not beat current frontend best,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex265/verilog/ex265_r80_mixed_region_udiv.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex265/logs/ex265_r80_mixed_region_udiv_synth_preset_d10.yosys.log,recorded shard-local only; do not repeat unchanged,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/failed_hypotheses.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex267,integer,unsigned_low6_high6_div_dbz_sat,power-of-two and high-divisor regions plus local direct low region,shared high-divisor q<=2 predicates before low-region division,ex267|unsigned_low6_high6_div_dbz_sat|power-of-two and high-divisor regions plus local direct low region|shared high-divisor q<=2 predicates before low-region division|yosys_synth_preset_d18|abc_xf_official_evaluate|not_r74_threshold_or_divisor_case_exact,equivalent_nonwinning_do_not_repeat_as_is,official equivalent but did not beat current frontend best,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex267/verilog/ex267_r80_mixed_region_udiv.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex267/logs/ex267_r80_mixed_region_udiv_synth_preset_d18.yosys.log,recorded shard-local only; do not repeat unchanged,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/failed_hypotheses.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex270,integer,unsigned_square_x_times_x,balanced adder tree over diagonal and doubled cross terms,each square cross term generated once before balanced source adds,ex270|unsigned_square_x_times_x|balanced adder tree over diagonal and doubled cross terms|each square cross term generated once before balanced source adds|yosys_abc_g_aig|abc_xf_official_evaluate|not_round27_wallace_csel3,equivalent_nonwinning_do_not_repeat_as_is,official equivalent but did not beat current frontend best,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex270/verilog/ex270_r80_square_balanced_term_tree.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex270/logs/ex270_r80_square_balanced_term_tree_abc_g_aig.yosys.log,recorded shard-local only; do not repeat unchanged,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/failed_hypotheses.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex273,integer,unsigned_square_x_times_x,balanced adder tree over diagonal and doubled cross terms,each square cross term generated once before balanced source adds,ex273|unsigned_square_x_times_x|balanced adder tree over diagonal and doubled cross terms|each square cross term generated once before balanced source adds|yosys_synth_preset_d32|abc_xf_official_evaluate|not_r26_wallace_or_bddtop_recut,equivalent_nonwinning_do_not_repeat_as_is,official equivalent but did not beat current frontend best,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex273/verilog/ex273_r80_square_balanced_term_tree.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex273/logs/ex273_r80_square_balanced_term_tree_synth_preset_d32.yosys.log,recorded shard-local only; do not repeat unchanged,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/failed_hypotheses.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex274,integer,unsigned_square_x_times_x,balanced adder tree over diagonal and doubled cross terms,each square cross term generated once before balanced source adds,ex274|unsigned_square_x_times_x|balanced adder tree over diagonal and doubled cross terms|each square cross term generated once before balanced source adds|yosys_synth_preset_d40|abc_xf_official_evaluate|not_r26_wallace_or_bddtop_recut,equivalent_nonwinning_do_not_repeat_as_is,official equivalent but did not beat current frontend best,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex274/verilog/ex274_r80_square_balanced_term_tree.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex274/logs/ex274_r80_square_balanced_term_tree_synth_preset_d40.yosys.log,recorded shard-local only; do not repeat unchanged,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/failed_hypotheses.csv
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex276,integer,unsigned_floor_isqrt_10_to_5,hi6 bucket base root plus up to four shared local threshold corrections,one high bucket word drives all output bits with shared next-root thresholds,ex276|unsigned_floor_isqrt_10_to_5|hi6 bucket base root plus up to four shared local threshold corrections|one high bucket word drives all output bits with shared next-root thresholds|yosys_abc_g_aig|abc_xf_official_evaluate|not_r26_prefix4_per_output_casebits,equivalent_nonwinning_do_not_repeat_as_is,official equivalent but did not beat current frontend best,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex276/verilog/ex276_r80_hi6_interval_wordmux.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex276/logs/ex276_r80_hi6_interval_wordmux_abc_g_aig.yosys.log,recorded shard-local only; do not repeat unchanged,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/failed_hypotheses.csv
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-large-r80,ex299,unknown,mixed selected-output family trading area for delay,tail-cell pairsel bits over current r78 pair89 source,reuse current r78 source and pairsel descriptor only for final cell,ex299|round80_tail_output_cofactor_mix|ex299_r80_static_pairsel_tailcell_14_15|pairsel_tail_bits_14_15_over_r78_pair89_current|yosys_internal_abc_g_aig|official_evaluate|tail_cell_group,SKIPPED_BY_COORDINATOR_FINALIZE,coordinator requested finalize before official result,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-large-r80/ex299/verilog/ex299_r80_static_pairsel_tailcell_14_15.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-large-r80/ex299/logs/ex299_r80_static_pairsel_tailcell_14_15.yosys.log,launched but no accepted official evaluate.py row was produced before finalize,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-large-r80/failed_hypotheses.csv
