round,run_id,agent_id,case,domain,candidate_id,family,hypothesis,representation,sharing_strategy,shared_structure,synth_flow,method_signature,verilog_path,aig_path,log_path,evaluate_log,official_status,equivalent,simulation_pass,area,delay,adp,reference_adp,current_adp,frontend_best_adp,beats_frontend,beats_current,beats_reference,notes,shard_csv,status
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex223,fp16,ex223_r80_shared_special_constants_abc_g_aig,shared_special_constants,fp16_log,current_frontend_best_source_with_compact_shared_special_decode,shared zero/negative/inf/nan constant predicates feeding existing normal source,compact shared special-case constants; current normal path retained,yosys_abc_g_aig,ex223|fp16_log_round80_source_family|current_frontend_best_source_with_compact_shared_special_decode|shared zero/negative/inf/nan constant predicates feeding existing normal source|yosys_abc_g_aig|abc_xf_official_evaluate|shared_special_constants,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/verilog/ex223_r80_shared_special_constants.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/aigs/ex223_r80_shared_special_constants_abc_g_aig.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/logs/ex223_r80_shared_special_constants_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/official_logs/ex223_r80_shared_special_constants_abc_g_aig.evaluate.py.log,OK,1,not_run,10743,19,204117,120549,189468,203490,0,0,0,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/candidates.csv,
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex223,fp16,ex223_r80_mant_hi6_xor_residual_abc_g_aig,mant_hi6_xor_residual,fp16_log,positive_normal_mant_hi6_base_word_plus_lo4_xor_residual,shared sign_exp/mant_hi6 base table plus exact low-nibble XOR residual,base_word_by_sign_exp_mant_hi6; xor residual by mant_lo4; base_items=1920; residual_items=30660; residual_const_groups=4,yosys_abc_g_aig,ex223|fp16_log_round80_source_family|positive_normal_mant_hi6_base_word_plus_lo4_xor_residual|shared sign_exp/mant_hi6 base table plus exact low-nibble XOR residual|yosys_abc_g_aig|abc_xf_official_evaluate|mant_hi6_xor_residual,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/verilog/ex223_r80_mant_hi6_xor_residual.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/aigs/ex223_r80_mant_hi6_xor_residual_abc_g_aig.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/logs/ex223_r80_mant_hi6_xor_residual_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex223/official_logs/ex223_r80_mant_hi6_xor_residual_abc_g_aig.evaluate.py.log,OK,1,not_run,13555,20,271100,120549,189468,203490,0,0,0,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/candidates.csv,
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex225,fp16,ex225_r80_shared_special_constants_abc_g_aig,shared_special_constants,fp16_log10,current_frontend_best_source_with_compact_shared_special_decode,shared zero/negative/inf/nan constant predicates feeding existing normal source,compact shared special-case constants; current normal path retained,yosys_abc_g_aig,ex225|fp16_log10_round80_source_family|current_frontend_best_source_with_compact_shared_special_decode|shared zero/negative/inf/nan constant predicates feeding existing normal source|yosys_abc_g_aig|abc_xf_official_evaluate|shared_special_constants,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/verilog/ex225_r80_shared_special_constants.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/aigs/ex225_r80_shared_special_constants_abc_g_aig.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/logs/ex225_r80_shared_special_constants_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/official_logs/ex225_r80_shared_special_constants_abc_g_aig.evaluate.py.log,OK,1,not_run,11507,19,218633,116676,205656,218595,0,0,0,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/candidates.csv,
round80,frontend_source_parallel_round80_20260613_1915,sub-fp16-source-r80,ex225,fp16,ex225_r80_mant_hi6_xor_residual_abc_g_aig,mant_hi6_xor_residual,fp16_log10,positive_normal_mant_hi6_base_word_plus_lo4_xor_residual,shared sign_exp/mant_hi6 base table plus exact low-nibble XOR residual,base_word_by_sign_exp_mant_hi6; xor residual by mant_lo4; base_items=1920; residual_items=30645; residual_const_groups=5,yosys_abc_g_aig,ex225|fp16_log10_round80_source_family|positive_normal_mant_hi6_base_word_plus_lo4_xor_residual|shared sign_exp/mant_hi6 base table plus exact low-nibble XOR residual|yosys_abc_g_aig|abc_xf_official_evaluate|mant_hi6_xor_residual,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/verilog/ex225_r80_mant_hi6_xor_residual.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/aigs/ex225_r80_mant_hi6_xor_residual_abc_g_aig.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/logs/ex225_r80_mant_hi6_xor_residual_abc_g_aig.yosys.log,student/runs/fp16/frontend_source_parallel_round80_20260613_1915/sub-fp16-source-r80/ex225/official_logs/ex225_r80_mant_hi6_xor_residual_abc_g_aig.evaluate.py.log,OK,1,not_run,13275,19,252225,116676,205656,218595,0,0,0,official evaluate.py OK,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp16-source-r80/candidates.csv,
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex247,,ex247_r80_step_onehot_low_region,,,,,,,,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex247/ex247_r80_step_onehot_low_region/verilog/ex247_r80_step_onehot_low_region.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex247/ex247_r80_step_onehot_low_region/aigs/ex247_r80_step_onehot_low_region.aig,,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex247/ex247_r80_step_onehot_low_region/logs/ex247_r80_step_onehot_low_region.evaluate.py.log,,1,,361,24,8664,,,,,,,source-only; synth_sec=0.356; eval_sec=0.457; synth_code=0; eval_code=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/candidates.csv,evaluated
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex247,,ex247_r80_region_mask_blend,,,,,,,,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex247/ex247_r80_region_mask_blend/verilog/ex247_r80_region_mask_blend.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex247/ex247_r80_region_mask_blend/aigs/ex247_r80_region_mask_blend.aig,,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex247/ex247_r80_region_mask_blend/logs/ex247_r80_region_mask_blend.evaluate.py.log,,1,,363,24,8712,,,,,,,source-only; synth_sec=0.309; eval_sec=0.468; synth_code=0; eval_code=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/candidates.csv,evaluated
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex246,,ex246_r80_zero_product_bypass,,,,,,,,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex246/ex246_r80_zero_product_bypass/verilog/ex246_r80_zero_product_bypass.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex246/ex246_r80_zero_product_bypass/aigs/ex246_r80_zero_product_bypass.aig,,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex246/ex246_r80_zero_product_bypass/logs/ex246_r80_zero_product_bypass.evaluate.py.log,,1,,355,24,8520,,,,,,,source-only; synth_sec=0.567; eval_sec=0.464; synth_code=0; eval_code=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/candidates.csv,evaluated
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex246,,ex246_r80_sorted_sig_product,,,,,,,,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex246/ex246_r80_sorted_sig_product/verilog/ex246_r80_sorted_sig_product.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex246/ex246_r80_sorted_sig_product/aigs/ex246_r80_sorted_sig_product.aig,,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex246/ex246_r80_sorted_sig_product/logs/ex246_r80_sorted_sig_product.evaluate.py.log,,1,,386,27,10422,,,,,,,source-only; synth_sec=0.545; eval_sec=0.459; synth_code=0; eval_code=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/candidates.csv,evaluated
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex244,,ex244_r80_sat_delta_case_tail,,,,,,,,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex244/ex244_r80_sat_delta_case_tail/verilog/ex244_r80_sat_delta_case_tail.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex244/ex244_r80_sat_delta_case_tail/aigs/ex244_r80_sat_delta_case_tail.aig,,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex244/ex244_r80_sat_delta_case_tail/logs/ex244_r80_sat_delta_case_tail.evaluate.py.log,,1,,483,34,16422,,,,,,,source-only; synth_sec=0.349; eval_sec=0.506; synth_code=0; eval_code=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/candidates.csv,evaluated
80,frontend_source_parallel_round80_20260613_1915,sub-fp8-struct-r80,ex244,,ex244_r80_zero_guard_sat_delta_tail,,,,,,,,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex244/ex244_r80_zero_guard_sat_delta_tail/verilog/ex244_r80_zero_guard_sat_delta_tail.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex244/ex244_r80_zero_guard_sat_delta_tail/aigs/ex244_r80_zero_guard_sat_delta_tail.aig,,student/work/frontend_source_parallel_round80_20260613_1915/sub-fp8-struct-r80/ex244/ex244_r80_zero_guard_sat_delta_tail/logs/ex244_r80_zero_guard_sat_delta_tail.evaluate.py.log,,1,,483,34,16422,,,,,,,source-only; synth_sec=0.363; eval_sec=0.504; synth_code=0; eval_code=0,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-fp8-struct-r80/candidates.csv,evaluated
